Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
HALLMARK_BILE_ACID_METABOLISM,93,1,0.033867741735443,0.670957902858486,EFHC1,1,7,0.142857142857143
HALLMARK_MYOGENESIS,144,1,0.0520193751720847,0.670957902858486,IGFBP7,1,7,0.142857142857143
HALLMARK_XENOBIOTIC_METABOLISM,161,1,0.058004589909812,0.670957902858486,FMO3,1,7,0.142857142857143
HALLMARK_KRAS_SIGNALING_UP,163,1,0.0587065986020657,0.670957902858486,SPARCL1,1,7,0.142857142857143
HALLMARK_ADIPOGENESIS,187,1,0.0670957902858486,0.670957902858486,SPARCL1,1,7,0.142857142857143
HALLMARK_ALLOGRAFT_REJECTION,176,0,1,1,"",0,7,0
HALLMARK_ANDROGEN_RESPONSE,96,0,1,1,"",0,7,0
HALLMARK_ANGIOGENESIS,24,0,1,1,"",0,7,0
HALLMARK_APICAL_JUNCTION,159,0,1,1,"",0,7,0
HALLMARK_APICAL_SURFACE,37,0,1,1,"",0,7,0
HALLMARK_APOPTOSIS,148,0,1,1,"",0,7,0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,70,0,1,1,"",0,7,0
HALLMARK_COAGULATION,106,0,1,1,"",0,7,0
HALLMARK_COMPLEMENT,181,0,1,1,"",0,7,0
HALLMARK_DNA_REPAIR,148,0,1,1,"",0,7,0
HALLMARK_E2F_TARGETS,198,0,1,1,"",0,7,0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,150,0,1,1,"",0,7,0
HALLMARK_ESTROGEN_RESPONSE_EARLY,173,0,1,1,"",0,7,0
HALLMARK_ESTROGEN_RESPONSE_LATE,165,0,1,1,"",0,7,0
HALLMARK_FATTY_ACID_METABOLISM,142,0,1,1,"",0,7,0
HALLMARK_G2M_CHECKPOINT,192,0,1,1,"",0,7,0
HALLMARK_GLYCOLYSIS,175,0,1,1,"",0,7,0
HALLMARK_HEDGEHOG_SIGNALING,28,0,1,1,"",0,7,0
HALLMARK_HEME_METABOLISM,168,0,1,1,"",0,7,0
HALLMARK_HYPOXIA,169,0,1,1,"",0,7,0
HALLMARK_IL2_STAT5_SIGNALING,180,0,1,1,"",0,7,0
HALLMARK_IL6_JAK_STAT3_SIGNALING,74,0,1,1,"",0,7,0
HALLMARK_INFLAMMATORY_RESPONSE,180,0,1,1,"",0,7,0
HALLMARK_INTERFERON_ALPHA_RESPONSE,96,0,1,1,"",0,7,0
HALLMARK_INTERFERON_GAMMA_RESPONSE,192,0,1,1,"",0,7,0
HALLMARK_KRAS_SIGNALING_DN,110,0,1,1,"",0,7,0
HALLMARK_MITOTIC_SPINDLE,198,0,1,1,"",0,7,0
HALLMARK_MTORC1_SIGNALING,196,0,1,1,"",0,7,0
HALLMARK_MYC_TARGETS_V1,195,0,1,1,"",0,7,0
HALLMARK_MYC_TARGETS_V2,57,0,1,1,"",0,7,0
HALLMARK_NOTCH_SIGNALING,30,0,1,1,"",0,7,0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,0,1,1,"",0,7,0
HALLMARK_P53_PATHWAY,192,0,1,1,"",0,7,0
HALLMARK_PANCREAS_BETA_CELLS,16,0,1,1,"",0,7,0
HALLMARK_PEROXISOME,95,0,1,1,"",0,7,0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,99,0,1,1,"",0,7,0
HALLMARK_PROTEIN_SECRETION,94,0,1,1,"",0,7,0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,0,1,1,"",0,7,0
HALLMARK_SPERMATOGENESIS,91,0,1,1,"",0,7,0
HALLMARK_TGF_BETA_SIGNALING,52,0,1,1,"",0,7,0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,194,0,1,1,"",0,7,0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,107,0,1,1,"",0,7,0
HALLMARK_UV_RESPONSE_DN,130,0,1,1,"",0,7,0
HALLMARK_UV_RESPONSE_UP,136,0,1,1,"",0,7,0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,38,0,1,1,"",0,7,0
