Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
HALLMARK_INTERFERON_GAMMA_RESPONSE,192,4,4.36332564966656e-05,0.00218166282483328,"OAS3,BST2,IFI44L,ISG15",4,20,0.2
HALLMARK_INTERFERON_ALPHA_RESPONSE,96,3,0.000135047985537278,0.00337619963843196,"BST2,IFI44L,ISG15",3,20,0.15
HALLMARK_TNFA_SIGNALING_VIA_NFKB,194,3,0.00106018369448394,0.017669728241399,"IL23A,SERPINB2,F3",3,20,0.15
HALLMARK_COAGULATION,106,2,0.00551779020303187,0.0592915862038142,"SERPINB2,F3",2,20,0.1
HALLMARK_KRAS_SIGNALING_DN,110,2,0.00592915862038142,0.0592915862038142,"SERPINB2,IFI44L",2,20,0.1
HALLMARK_HEME_METABOLISM,168,2,0.0133760131909873,0.0962896834916688,"SNCA,TFRC",2,20,0.1
HALLMARK_INFLAMMATORY_RESPONSE,180,2,0.0152457002929486,0.0962896834916688,"F3,BST2",2,20,0.1
HALLMARK_COMPLEMENT,181,2,0.015406349358667,0.0962896834916688,"SERPINB2,F3",2,20,0.1
HALLMARK_UV_RESPONSE_DN,130,1,0.128717532809297,0.557685026706244,F3,1,20,0.05
HALLMARK_UV_RESPONSE_UP,136,1,0.134260758584339,0.557685026706244,TFRC,1,20,0.05
HALLMARK_APOPTOSIS,148,1,0.145246859751226,0.557685026706244,EMP1,1,20,0.05
HALLMARK_KRAS_SIGNALING_UP,163,1,0.158793300101973,0.557685026706244,EMP1,1,20,0.05
HALLMARK_HYPOXIA,169,1,0.164154559446076,0.557685026706244,F3,1,20,0.05
HALLMARK_IL2_STAT5_SIGNALING,180,1,0.173899335510911,0.557685026706244,EMP1,1,20,0.05
HALLMARK_P53_PATHWAY,192,1,0.184406874250053,0.557685026706244,CLCA2,1,20,0.05
HALLMARK_MTORC1_SIGNALING,196,1,0.187881081944163,0.557685026706244,TFRC,1,20,0.05
HALLMARK_E2F_TARGETS,198,1,0.189612909080123,0.557685026706244,TFRC,1,20,0.05
HALLMARK_ADIPOGENESIS,187,0,1,1,"",0,20,0
HALLMARK_ALLOGRAFT_REJECTION,176,0,1,1,"",0,20,0
HALLMARK_ANDROGEN_RESPONSE,96,0,1,1,"",0,20,0
HALLMARK_ANGIOGENESIS,24,0,1,1,"",0,20,0
HALLMARK_APICAL_JUNCTION,159,0,1,1,"",0,20,0
HALLMARK_APICAL_SURFACE,37,0,1,1,"",0,20,0
HALLMARK_BILE_ACID_METABOLISM,93,0,1,1,"",0,20,0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,70,0,1,1,"",0,20,0
HALLMARK_DNA_REPAIR,148,0,1,1,"",0,20,0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,150,0,1,1,"",0,20,0
HALLMARK_ESTROGEN_RESPONSE_EARLY,173,0,1,1,"",0,20,0
HALLMARK_ESTROGEN_RESPONSE_LATE,165,0,1,1,"",0,20,0
HALLMARK_FATTY_ACID_METABOLISM,142,0,1,1,"",0,20,0
HALLMARK_G2M_CHECKPOINT,192,0,1,1,"",0,20,0
HALLMARK_GLYCOLYSIS,175,0,1,1,"",0,20,0
HALLMARK_HEDGEHOG_SIGNALING,28,0,1,1,"",0,20,0
HALLMARK_IL6_JAK_STAT3_SIGNALING,74,0,1,1,"",0,20,0
HALLMARK_MITOTIC_SPINDLE,198,0,1,1,"",0,20,0
HALLMARK_MYC_TARGETS_V1,195,0,1,1,"",0,20,0
HALLMARK_MYC_TARGETS_V2,57,0,1,1,"",0,20,0
HALLMARK_MYOGENESIS,144,0,1,1,"",0,20,0
HALLMARK_NOTCH_SIGNALING,30,0,1,1,"",0,20,0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,0,1,1,"",0,20,0
HALLMARK_PANCREAS_BETA_CELLS,16,0,1,1,"",0,20,0
HALLMARK_PEROXISOME,95,0,1,1,"",0,20,0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,99,0,1,1,"",0,20,0
HALLMARK_PROTEIN_SECRETION,94,0,1,1,"",0,20,0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,0,1,1,"",0,20,0
HALLMARK_SPERMATOGENESIS,91,0,1,1,"",0,20,0
HALLMARK_TGF_BETA_SIGNALING,52,0,1,1,"",0,20,0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,107,0,1,1,"",0,20,0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,38,0,1,1,"",0,20,0
HALLMARK_XENOBIOTIC_METABOLISM,161,0,1,1,"",0,20,0
