Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,79,2,0.000355738895114403,0.616495505233261,"SPARCL1,IGFBP7",2,7,0.285714285714286
REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,23,1,0.00846917701625438,1,FMO3,1,7,0.142857142857143
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,27,1,0.00993578337608447,1,DNER,1,7,0.142857142857143
REACTOME_RHOH_GTPASE_CYCLE,35,1,0.0128634186657903,1,ARHGDIB,1,7,0.142857142857143
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,52,1,0.0190600149326963,1,IGFBP7,1,7,0.142857142857143
REACTOME_SIGNALING_BY_NOTCH1,69,1,0.0252232399681768,1,DNER,1,7,0.142857142857143
REACTOME_RHOG_GTPASE_CYCLE,70,1,0.0255847465811693,1,ARHGDIB,1,7,0.142857142857143
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,72,1,0.026307415071305,1,FMO3,1,7,0.142857142857143
REACTOME_RAC3_GTPASE_CYCLE,86,1,0.0313532436717506,1,ARHGDIB,1,7,0.142857142857143
REACTOME_CELLULAR_SENESCENCE,128,1,0.04635648526752,1,IGFBP7,1,7,0.142857142857143
REACTOME_RHOA_GTPASE_CYCLE,139,1,0.0502528267295298,1,ARHGDIB,1,7,0.142857142857143
REACTOME_CDC42_GTPASE_CYCLE,142,1,0.0513130940642816,1,ARHGDIB,1,7,0.142857142857143
REACTOME_BIOLOGICAL_OXIDATIONS,147,1,0.0530779517603613,1,FMO3,1,7,0.142857142857143
REACTOME_SIGNALING_BY_NOTCH,168,1,0.0604596587885946,1,DNER,1,7,0.142857142857143
REACTOME_RAC1_GTPASE_CYCLE,173,1,0.062209919752553,1,ARHGDIB,1,7,0.142857142857143
REACTOME_DISEASES_OF_METABOLISM,189,1,0.0677919874335303,1,FMO3,1,7,0.142857142857143
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,1237,2,0.0718309572504313,1,"SPARCL1,IGFBP7",2,7,0.285714285714286
REACTOME_RHO_GTPASE_CYCLE,422,1,0.14591244750449,1,ARHGDIB,1,7,0.142857142857143
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,619,1,0.207517242252134,1,ARHGDIB,1,7,0.142857142857143
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,702,1,0.232308320719455,1,IGFBP7,1,7,0.142857142857143
REACTOME_2_LTR_CIRCLE_FORMATION,7,0,1,1,"",0,7,0
REACTOME_ABACAVIR_ADME,5,0,1,1,"",0,7,0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,3,0,1,1,"",0,7,0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,92,0,1,1,"",0,7,0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,14,0,1,1,"",0,7,0
REACTOME_ABC_TRANSPORTER_DISORDERS,70,0,1,1,"",0,7,0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,20,0,1,1,"",0,7,0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,17,0,1,1,"",0,7,0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,23,0,1,1,"",0,7,0
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,4,0,1,1,"",0,7,0
