Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,63,3,3.83774150491777e-05,0.044179534454673,"OAS3,BST2,ISG15",3,20,0.15
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,676,6,5.09861909459584e-05,0.044179534454673,"IL23A,SNCA,OAS3,SERPINB2,BST2,ISG15",6,20,0.3
REACTOME_INTERFERON_SIGNALING,241,4,0.000105447942414601,0.0609137614015011,"SNCA,OAS3,BST2,ISG15",4,20,0.2
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,142,3,0.000428108588538246,0.185478045984195,"SNCA,OAS3,ISG15",3,20,0.15
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,54,2,0.001466243307245,0.508199930291115,"IL23A,SERPINB2",2,20,0.1
REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,2,1,0.00211042756648316,0.57276527268915,F3,1,20,0.05
REACTOME_PKR_MEDIATED_SIGNALING,68,2,0.00231353543498214,0.57276527268915,"SNCA,ISG15",2,20,0.1
REACTOME_RAC2_GTPASE_CYCLE,83,2,0.00342348399990692,0.706686636008879,"NCF1,TFRC",2,20,0.1
REACTOME_RAC3_GTPASE_CYCLE,86,2,0.00367004023316787,0.706686636008879,"NCF1,TFRC",2,20,0.1
REACTOME_FIBRONECTIN_MATRIX_FORMATION,5,1,0.00526813707425977,0.912968154969218,CEACAM6,1,20,0.05
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT,7,1,0.007368000570109,0.972369255735609,SLC22A16,1,20,0.05
REACTOME_ORGANIC_CATION_TRANSPORT,7,1,0.007368000570109,0.972369255735609,SLC22A16,1,20,0.05
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,8,1,0.00841635247318762,0.972369255735609,NCF1,1,20,0.05
REACTOME_INTERLEUKIN_23_SIGNALING,8,1,0.00841635247318762,0.972369255735609,IL23A,1,20,0.05
REACTOME_OAS_ANTIVIRAL_RESPONSE,8,1,0.00841635247318762,0.972369255735609,OAS3,1,20,0.05
REACTOME_METALLOTHIONEINS_BIND_METALS,9,1,0.00946365248113779,1,MT1X,1,20,0.05
REACTOME_RESPONSE_TO_METAL_IONS,11,1,0.0115551008105651,1,MT1X,1,20,0.05
REACTOME_HEMOSTASIS,464,3,0.0122075589637595,1,"SERPINB2,F3,CEACAM6",3,20,0.15
REACTOME_DISSOLUTION_OF_FIBRIN_CLOT,12,1,0.0125992511292572,1,SERPINB2,1,20,0.05
REACTOME_INNATE_IMMUNE_SYSTEM,887,4,0.0126904369799925,1,"NCF1,BST2,ISG15,CEACAM6",4,20,0.2
REACTOME_RAC1_GTPASE_CYCLE,173,2,0.0141419399049879,1,"NCF1,TFRC",2,20,0.1
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,552,3,0.0193947579348922,1,"SLC22A16,CLCA2,TFRC",3,20,0.15
REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN,20,1,0.0209148128357162,1,TFRC,1,20,0.05
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,22,1,0.0229832838831948,1,F3,1,20,0.05
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,22,1,0.0229832838831948,1,NCF1,1,20,0.05
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING,29,1,0.0301902880433226,1,TFRC,1,20,0.05
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,30,1,0.0312157278656401,1,NCF1,1,20,0.05
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,32,1,0.0332635181834775,1,NCF1,1,20,0.05
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS,32,1,0.0332635181834775,1,ISG15,1,20,0.05
REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING,34,1,0.0353071959303495,1,ISG15,1,20,0.05
REACTOME_NGF_STIMULATED_TRANSCRIPTION,34,1,0.0353071959303495,1,F3,1,20,0.05
REACTOME_RHOH_GTPASE_CYCLE,35,1,0.0363274950356584,1,TFRC,1,20,0.05
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,37,1,0.0383650185942974,1,SERPINB2,1,20,0.05
REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES,37,1,0.0383650185942974,1,BST2,1,20,0.05
REACTOME_AMYLOID_FIBER_FORMATION,39,1,0.0403984491190907,1,SNCA,1,20,0.05
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,39,1,0.0403984491190907,1,ISG15,1,20,0.05
REACTOME_RND1_GTPASE_CYCLE,40,1,0.0414136319288029,1,TFRC,1,20,0.05
REACTOME_RND2_GTPASE_CYCLE,40,1,0.0414136319288029,1,TFRC,1,20,0.05
REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS,41,1,0.0424277944003132,1,ISG15,1,20,0.05
REACTOME_INTERLEUKIN_12_SIGNALING,45,1,0.0464742603231521,1,SERPINB2,1,20,0.05
REACTOME_DNA_DAMAGE_BYPASS,48,1,0.0494984437352983,1,ISG15,1,20,0.05
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS,49,1,0.0505044784053504,1,SLC22A16,1,20,0.05
REACTOME_RHOJ_GTPASE_CYCLE,51,1,0.0525135138335202,1,TFRC,1,20,0.05
REACTOME_IRON_UPTAKE_AND_TRANSPORT,54,1,0.0555194966393178,1,TFRC,1,20,0.05
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,55,1,0.056519475997031,1,TFRC,1,20,0.05
REACTOME_RHOQ_GTPASE_CYCLE,55,1,0.056519475997031,1,TFRC,1,20,0.05
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,56,1,0.0575184494990723,1,F3,1,20,0.05
REACTOME_SARS_COV_INFECTIONS,377,2,0.0592889593996686,1,"BST2,ISG15",2,20,0.1
REACTOME_RHOB_GTPASE_CYCLE,64,1,0.0654741415581603,1,TFRC,1,20,0.05
REACTOME_SIGNALING_BY_INTERLEUKINS,403,2,0.0666717532945502,1,"IL23A,SERPINB2",2,20,0.1
