Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
WP_CATALYTIC_CYCLE_OF_MAMMALIAN_FLAVINCONTAINING_MONOOXYGENASES_FMOS,4,1,0.00147733843294962,0.61309544967409,FMO3,1,7,0.142857142857143
WP_NICOTINE_METABOLISM_IN_LIVER_CELLS,4,1,0.00147733843294962,0.61309544967409,FMO3,1,7,0.142857142857143
WP_TAMOXIFEN_METABOLISM,7,1,0.00258411421794458,0.714938266964666,FMO3,1,7,0.142857142857143
WP_INTERACTIONS_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY,16,1,0.00589813482768653,1,IGFBP7,1,7,0.142857142857143
WP_ENDOTHELIN_PATHWAYS,22,1,0.00810223460225035,1,RIIAD1,1,7,0.142857142857143
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING,23,1,0.00846917701625438,1,DNER,1,7,0.142857142857143
WP_G13_SIGNALING,35,1,0.0128634186657903,1,ARHGDIB,1,7,0.142857142857143
WP_VASOPRESSINREGULATED_WATER_REABSORPTION,38,1,0.0139593671909229,1,ARHGDIB,1,7,0.142857142857143
WP_FAS_LIGAND_PATHWAY_AND_STRESS_INDUCTION_OF_HEAT_SHOCK_PROTEINS,41,1,0.0150542726179183,1,ARHGDIB,1,7,0.142857142857143
WP_SENESCENCEASSOCIATED_SECRETORY_PHENOTYPE_SASP,52,1,0.0190600149326963,1,IGFBP7,1,7,0.142857142857143
WP_DYRK1A_INVOLVEMENT_REGARDING_CELL_PROLIFERATION_IN_BRAIN_DEVELOPMENT,54,1,0.0197868293983848,1,DNER,1,7,0.142857142857143
WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,62,1,0.0226894732996552,1,DNER,1,7,0.142857142857143
WP_BARDETBIEDL_SYNDROME,77,1,0.0281120767579017,1,EFHC1,1,7,0.142857142857143
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS,104,1,0.0378077917071749,1,FMO3,1,7,0.142857142857143
WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II,106,1,0.0385226826725559,1,FMO3,1,7,0.142857142857143
WP_VITAMIN_D_RECEPTOR_PATHWAY,122,1,0.044225439150853,1,DNER,1,7,0.142857142857143
WP_CILIOPATHIES,162,1,0.0583556503299062,1,EFHC1,1,7,0.142857142857143
WP_NUCLEAR_RECEPTORS_METAPATHWAY,242,1,0.0860796614511071,1,DNER,1,7,0.142857142857143
WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,336,1,0.11775868582106,1,DNER,1,7,0.142857142857143
WP_VEGFAVEGFR2_SIGNALING,390,1,0.135527965109321,1,IGFBP7,1,7,0.142857142857143
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME,50,0,1,1,"",0,7,0
WP_10Q22Q23_COPY_NUMBER_VARIATION,46,0,1,1,"",0,7,0
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME,48,0,1,1,"",0,7,0
WP_13Q1212_COPY_NUMBER_VARIATION,23,0,1,1,"",0,7,0
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME,9,0,1,1,"",0,7,0
WP_15Q11Q13_COPY_NUMBER_VARIATION,47,0,1,1,"",0,7,0
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME,17,0,1,1,"",0,7,0
WP_15Q25_COPY_NUMBER_VARIATION,39,0,1,1,"",0,7,0
WP_16P112_DISTAL_DELETION_SYNDROME,27,0,1,1,"",0,7,0
WP_16P112_PROXIMAL_DELETION_SYNDROME,69,0,1,1,"",0,7,0
WP_17P133_YWHAE_COPY_NUMBER_VARIATION,18,0,1,1,"",0,7,0
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME,66,0,1,1,"",0,7,0
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,91,0,1,1,"",0,7,0
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,20,0,1,1,"",0,7,0
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME,93,0,1,1,"",0,7,0
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME,32,0,1,1,"",0,7,0
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME,49,0,1,1,"",0,7,0
WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME,11,0,1,1,"",0,7,0
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME,102,0,1,1,"",0,7,0
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME,60,0,1,1,"",0,7,0
WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION,25,0,1,1,"",0,7,0
WP_4P163_COPY_NUMBER_VARIATION,26,0,1,1,"",0,7,0
WP_5Q35_COPY_NUMBER_VARIATION,88,0,1,1,"",0,7,0
WP_6Q16_COPY_NUMBER_VARIATION,7,0,1,1,"",0,7,0
WP_7OXOC_AND_7BETAHC_PATHWAYS,21,0,1,1,"",0,7,0
WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME,91,0,1,1,"",0,7,0
WP_7Q1123_DISTAL_COPY_NUMBER_VARIATION,19,0,1,1,"",0,7,0
WP_8P231_COPY_NUMBER_VARIATION_SYNDROME,40,0,1,1,"",0,7,0
WP_8Q1123_RB1CC1_COPY_NUMBER_VARIATION,16,0,1,1,"",0,7,0
WP_ACETAMINOPHEN_IN_ANALGESIA_AND_ANTIPYRESIS,4,0,1,1,"",0,7,0
