Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
WP_BLOOD_CLOTTING_CASCADE,13,2,8.20221133591343e-05,0.0680783540880815,"SERPINB2,F3",2,20,0.1
WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3,67,2,0.0022469099877832,0.932467644930027,"IFI44L,ISG15",2,20,0.1
WP_HDAC6_INTERACTIONS_IN_THE_CENTRAL_NERVOUS_SYSTEM,103,2,0.00521830713863572,1,"SNCA,ISG15",2,20,0.1
WP_MACROPHAGE_MARKERS,8,1,0.00841635247318762,1,F3,1,20,0.05
WP_IRON_METABOLISM_IN_PLACENTA,11,1,0.0115551008105651,1,TFRC,1,20,0.05
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,175,2,0.0144535729468012,1,"BST2,IFI44L",2,20,0.1
WP_INVOLVEMENT_OF_SECRETASE_IN_NEURODEGENERATIVE_DISEASES,15,1,0.015725418665702,1,SNCA,1,20,0.05
WP_IRON_METABOLISM_DISORDERS,15,1,0.015725418665702,1,TFRC,1,20,0.05
WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19,19,1,0.0198790178744209,1,F3,1,20,0.05
WP_COVID19_STRUCTURAL_COVERAGE_MAP,21,1,0.0219495678422317,1,ISG15,1,20,0.05
WP_CELL_INTERACTIONS_OF_THE_PANCREATIC_CANCER_MICROENVIRONMENT,22,1,0.0229832838831948,1,LAG3,1,20,0.05
WP_EFFECTS_OF_MFN2_MUTATION,22,1,0.0229832838831948,1,SNCA,1,20,0.05
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY,23,1,0.024015961946948,1,IL23A,1,20,0.05
WP_OXIDATIVE_STRESS_RESPONSE,23,1,0.024015961946948,1,MT1X,1,20,0.05
WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,27,1,0.0281363141656018,1,IL23A,1,20,0.05
WP_ZINC_HOMEOSTASIS,27,1,0.0281363141656018,1,MT1X,1,20,0.05
WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION,28,1,0.0291638171373565,1,OAS3,1,20,0.05
WP_PANCREATIC_CANCER_SUBTYPES,31,1,0.0322401375855663,1,CEACAM6,1,20,0.05
WP_GENETIC_CAUSES_OF_PORTOSINUSOIDAL_VASCULAR_DISEASE,32,1,0.0332635181834775,1,NCF1,1,20,0.05
WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_INTERFERON_INDUCTION,32,1,0.0332635181834775,1,OAS3,1,20,0.05
WP_PARKINSONS_DISEASE_PATHWAY,32,1,0.0332635181834775,1,SNCA,1,20,0.05
WP_TYPE_II_INTERFERON_SIGNALING,32,1,0.0332635181834775,1,ISG15,1,20,0.05
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873,36,1,0.0373467689316489,1,SERPINB2,1,20,0.05
WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_MAPK_SIGNALING,36,1,0.0373467689316489,1,BST2,1,20,0.05
WP_INFLAMMATORY_BOWEL_DISEASE_SIGNALING,36,1,0.0373467689316489,1,IL23A,1,20,0.05
WP_COMPLEMENT_AND_COAGULATION_CASCADES,40,1,0.0414136319288029,1,F3,1,20,0.05
WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES,40,1,0.0414136319288029,1,F3,1,20,0.05
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY,40,1,0.0414136319288029,1,NCF1,1,20,0.05
WP_COPPER_HOMEOSTASIS,47,1,0.04849139647539,1,MT1X,1,20,0.05
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME,49,1,0.0505044784053504,1,IL23A,1,20,0.05
WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_PATHWAY,53,1,0.0545185104665016,1,ISG15,1,20,0.05
WP_CYTOSOLIC_DNASENSING_PATHWAY,56,1,0.0575184494990723,1,ISG15,1,20,0.05
WP_UROTENSINIIMEDIATED_SIGNALING,56,1,0.0575184494990723,1,NCF1,1,20,0.05
WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE,57,1,0.0585164181040075,1,LAG3,1,20,0.05
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME,60,1,0.0615043041089041,1,TFRC,1,20,0.05
WP_FERROPTOSIS,60,1,0.0615043041089041,1,TFRC,1,20,0.05
WP_VEGFAVEGFR2_SIGNALING,390,2,0.0629420365691698,1,"NCF1,F3",2,20,0.1
WP_AGERAGE_PATHWAY,62,1,0.063491221161563,1,NCF1,1,20,0.05
WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,63,1,0.0644831804654914,1,SNCA,1,20,0.05
WP_TH17_CELL_DIFFERENTIATION_PATHWAY,63,1,0.0644831804654914,1,IL23A,1,20,0.05
WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,64,1,0.0654741415581603,1,ISG15,1,20,0.05
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,67,1,0.068441045081177,1,IL23A,1,20,0.05
WP_TCELL_ACTIVATION_SARSCOV2,83,1,0.0841140028058849,1,IL23A,1,20,0.05
WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,85,1,0.0860554155726109,1,ISG15,1,20,0.05
WP_5Q35_COPY_NUMBER_VARIATION,88,1,0.0889602060202545,1,SNCA,1,20,0.05
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,91,1,0.0918562243917017,1,ISG15,1,20,0.05
WP_ECTODERM_DIFFERENTIATION,107,1,0.107154538294037,1,SNCA,1,20,0.05
WP_GASTRIN_SIGNALING,110,1,0.109995580273256,1,SERPINB2,1,20,0.05
WP_MEASLES_VIRUS_INFECTION,119,1,0.118467267114757,1,OAS3,1,20,0.05
WP_EBOLA_VIRUS_INFECTION_IN_HOST,120,1,0.11940382247506,1,BST2,1,20,0.05
