Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,62,1,0.0162589631748914,1,ACKR3,1,5,0.2
WP_GPCRS_CLASS_A_RHODOPSINLIKE,92,1,0.0240499036701097,1,ACKR3,1,5,0.2
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME,102,1,0.0266358855273539,1,ACKR3,1,5,0.2
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,123,1,0.0320486055281652,1,ACKR3,1,5,0.2
WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,167,1,0.043311470495927,1,ACKR3,1,5,0.2
WP_IL18_SIGNALING,224,1,0.0577458624249844,1,BPGM,1,5,0.2
WP_NUCLEAR_RECEPTORS_METAPATHWAY,242,1,0.0622677092975285,1,ACKR3,1,5,0.2
WP_ADHD_AND_AUTISM_ASD_PATHWAYS,250,1,0.0642718382845693,1,KCNA1,1,5,0.2
WP_VEGFAVEGFR2_SIGNALING,390,1,0.0987930827420227,1,ACKR3,1,5,0.2
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME,50,0,1,1,"",0,5,0
WP_10Q22Q23_COPY_NUMBER_VARIATION,46,0,1,1,"",0,5,0
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME,48,0,1,1,"",0,5,0
WP_13Q1212_COPY_NUMBER_VARIATION,23,0,1,1,"",0,5,0
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME,9,0,1,1,"",0,5,0
WP_15Q11Q13_COPY_NUMBER_VARIATION,47,0,1,1,"",0,5,0
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME,17,0,1,1,"",0,5,0
WP_15Q25_COPY_NUMBER_VARIATION,39,0,1,1,"",0,5,0
WP_16P112_DISTAL_DELETION_SYNDROME,27,0,1,1,"",0,5,0
WP_16P112_PROXIMAL_DELETION_SYNDROME,69,0,1,1,"",0,5,0
WP_17P133_YWHAE_COPY_NUMBER_VARIATION,18,0,1,1,"",0,5,0
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME,66,0,1,1,"",0,5,0
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,91,0,1,1,"",0,5,0
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,20,0,1,1,"",0,5,0
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME,93,0,1,1,"",0,5,0
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME,32,0,1,1,"",0,5,0
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME,49,0,1,1,"",0,5,0
WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME,11,0,1,1,"",0,5,0
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME,60,0,1,1,"",0,5,0
WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION,25,0,1,1,"",0,5,0
WP_4P163_COPY_NUMBER_VARIATION,26,0,1,1,"",0,5,0
WP_5Q35_COPY_NUMBER_VARIATION,88,0,1,1,"",0,5,0
WP_6Q16_COPY_NUMBER_VARIATION,7,0,1,1,"",0,5,0
WP_7OXOC_AND_7BETAHC_PATHWAYS,21,0,1,1,"",0,5,0
WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME,91,0,1,1,"",0,5,0
WP_7Q1123_DISTAL_COPY_NUMBER_VARIATION,19,0,1,1,"",0,5,0
WP_8P231_COPY_NUMBER_VARIATION_SYNDROME,40,0,1,1,"",0,5,0
WP_8Q1123_RB1CC1_COPY_NUMBER_VARIATION,16,0,1,1,"",0,5,0
WP_ACETAMINOPHEN_IN_ANALGESIA_AND_ANTIPYRESIS,4,0,1,1,"",0,5,0
WP_ACETYLCHOLINE_SYNTHESIS,5,0,1,1,"",0,5,0
WP_ACE_INHIBITOR_PATHWAY,8,0,1,1,"",0,5,0
WP_ACQUIRED_PARTIAL_LIPODYSTROPHY_BARRAQUERSIMONS_SYNDROME,10,0,1,1,"",0,5,0
WP_ACTIVATION_OF_NLRP3_INFLAMMASOME_BY_SARSCOV2,7,0,1,1,"",0,5,0
WP_ACUTE_MYELOID_LEUKEMIA,62,0,1,1,"",0,5,0
WP_ACUTE_VIRAL_MYOCARDITIS,78,0,1,1,"",0,5,0
WP_ADIPOGENESIS,103,0,1,1,"",0,5,0
WP_AEROBIC_GLYCOLYSIS,11,0,1,1,"",0,5,0
WP_AEROBIC_GLYCOLYSIS_AUGMENTED,12,0,1,1,"",0,5,0
WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY,55,0,1,1,"",0,5,0
WP_AFLATOXIN_B1_METABOLISM,5,0,1,1,"",0,5,0
WP_AGERAGE_PATHWAY,62,0,1,1,"",0,5,0
