Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOCC_CYTOSOLIC_RIBOSOME,111,Down,4.07869526308962e-09,6.48186251210203e-05,""
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,52,Down,1.34035262085384e-08,0.000106504419253046,""
GOMF_ATP_DEPENDENT_PROTEIN_FOLDING_CHAPERONE,27,Up,1.72615300371934e-06,0.00914400784503591,""
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,42,Down,5.61345908706653e-06,0.0223022729529153,""
GOBP_CYTOPLASMIC_TRANSLATION,150,Down,1.14390864926536e-05,0.0354279348839013,""
GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION,24,Up,1.33757619747928e-05,0.0354279348839013,CREG1
HP_INCREASED_CEREBRAL_LIPOFUSCIN,11,Up,2.18550895535228e-05,0.0496172975977979,""
GOBP_VACUOLAR_ACIDIFICATION,34,Up,2.95234012142114e-05,0.058648236512031,CREG1
HP_CHERRY_RED_SPOT_OF_THE_MACULA,13,Up,3.86772826706633e-05,0.0633513619292043,""
GOCC_PIGMENT_GRANULE,91,Up,3.98636810528595e-05,0.0633513619292043,""
GOBP_POSITIVE_REGULATION_OF_PLASMINOGEN_ACTIVATION,5,Up,4.91828597651283e-05,0.0710558188534017,""
GOMF_PROTEIN_ARGININE_DEIMINASE_ACTIVITY,1,Down,5.78088311382608e-05,0.0765581620374367,PADI2
GOBP_REGULATION_OF_LYSOSOMAL_LUMEN_PH,29,Up,7.05874304764595e-05,0.081127896758221,CREG1
HP_CURVILINEAR_INTRACELLULAR_ACCUMULATION_OF_AUTOFLUORESCENT_LIPOPIGMENT_STORAGE_MATERIAL,11,Up,7.14693276249115e-05,0.081127896758221,""
GOMF_PROTEIN_FOLDING_CHAPERONE,50,Up,9.60930956441798e-05,0.10180743173182,""
HP_NON_PERIODIC_RECURRENT_FEVER,11,Up,0.000127654466292155,0.109976187055545,""
