,Set,NGenes,Direction,PValue,FDR
1,GOBP_CGMP_CATABOLIC_PROCESS,1,Down,2.45361255669481e-07,0.00250137907990683
2,GOCC_ENDOLYSOSOME_LUMEN,5,Down,3.14797266537482e-07,0.00250137907990683
3,GOCC_SEPTIN_CYTOSKELETON,13,Up,9.10007410931053e-06,0.0482061259150543
4,HP_HYPNOPOMPIC_HALLUCINATION,4,Down,1.36436463521332e-05,0.0542062069570252
5,GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_CELL_ADHESION,1,Down,2.73594618785577e-05,0.0869593136348078
6,HP_NREM_PARASOMNIA,9,Down,4.02045402110036e-05,0.0930856965703952
7,GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX,13,Down,4.67401281971952e-05,0.0930856965703952
8,GOMF_MHC_PROTEIN_COMPLEX_BINDING,27,Down,4.68591475310321e-05,0.0930856965703952
9,GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,14,Down,5.98056468861755e-05,0.0983141823270423
10,HP_CATAPLEXY,8,Down,6.19642232941697e-05,0.0983141823270423
11,GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX,18,Down,7.61966603197921e-05,0.0983141823270423
12,GOBP_THYROID_HORMONE_GENERATION,8,Down,8.24764698146297e-05,0.0983141823270423
13,GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE,4,Down,9.14040800140507e-05,0.0983141823270423
14,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,23,Down,9.59037383100895e-05,0.0983141823270423
15,GOBP_CGMP_METABOLIC_PROCESS,2,Down,9.96648095725019e-05,0.0983141823270423
16,GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL,3,Down,0.000105471317660724,0.0983141823270423
17,HP_ABNORMAL_HYPNAGOGIA,6,Down,0.000112004203335613,0.0983141823270423
18,GOBP_DIRECT_OSSIFICATION,2,Down,0.000132644222101756,0.0983141823270423
19,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_ENDOGENOUS_LIPID_ANTIGEN_VIA_MHC_CLASS_IB,1,Up,0.000136084158075741,0.0983141823270423
20,GOMF_LIPID_ANTIGEN_BINDING,1,Up,0.000136084158075741,0.0983141823270423
21,GOBP_REGULATION_OF_SODIUM_DEPENDENT_PHOSPHATE_TRANSPORT,3,Up,0.000136100680291652,0.0983141823270423
22,GOBP_SODIUM_DEPENDENT_PHOSPHATE_TRANSPORT,3,Up,0.000136100680291652,0.0983141823270423
23,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,26,Down,0.000192158007105362,0.132772828213844
24,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,30,Down,0.000204859746733526,0.135651295628716
25,GOMF_MHC_CLASS_II_RECEPTOR_ACTIVITY,8,Down,0.0002239081301436,0.142333920169684
26,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,57,Down,0.000235796385737306,0.144126006236049
27,GOBP_MAINTENANCE_OF_ANIMAL_ORGAN_IDENTITY,3,Down,0.000248429552823364,0.146223794572922
28,HP_MESANGIAL_HYPERCELLULARITY,4,Down,0.000267305911719755,0.15171519818037
29,GOMF_STRUCTURAL_CONSTITUENT_OF_SKIN_EPIDERMIS,2,Up,0.000277616627195917,0.152133911703362
30,GOBP_SPHINGOMYELIN_CATABOLIC_PROCESS,5,Down,0.000314152490185701,0.165445378253838
31,GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION,5,Up,0.00032272884003706,0.165445378253838
32,GOMF_FIBRONECTIN_BINDING,15,Down,0.000430019721992232,0.210651426500981
33,HP_CORONARY_ARTERY_ANEURYSM,3,Up,0.000437421159988194,0.210651426500981
34,GOCC_ENDOSOME_LUMEN,21,Down,0.000494127119307313,0.230960828824465
35,GOBP_MEMBRANE_FUSION_INVOLVED_IN_VIRAL_ENTRY_INTO_HOST_CELL,4,Down,0.000548842186501422,0.249205715082303
36,GOBP_THYROID_HORMONE_METABOLIC_PROCESS,9,Down,0.000571305457655539,0.252199620362828
37,GOCC_ENDOLYSOSOME,24,Down,0.000590481177931437,0.25361964539693
38,GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_LIPID_TRANSPORT,2,Up,0.000619023367163953,0.253947848759799
39,HP_DISTURBANCE_DURING_TRANSITIONS_BETWEEN_SLEEP_AND_WAKE_STATES,9,Down,0.000624300274900659,0.253947848759799
40,GOMF_MANNOSE_BINDING,13,Up,0.000639184114673543,0.253947848759799
41,HP_APLASIA_CUTIS_CONGENITA_ON_TRUNK_OR_LIMBS,3,Up,0.000658251240860096,0.254176137853917
42,GOCC_NADH_DEHYDROGENASE_COMPLEX,42,Down,0.000671746651765953,0.254176137853917
43,GOBP_COLLAGEN_CATABOLIC_PROCESS,16,Down,0.000817257620431016,0.302043211718365
44,GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,79,Down,0.000838674848763788,0.302914106739866
45,GOBP_NEGATIVE_REGULATION_OF_MAST_CELL_DEGRANULATION,4,Down,0.000865674783647864,0.305717859149597
46,GOBP_RESPONSE_TO_TESTOSTERONE,29,Down,0.000895933711139087,0.306087641688573
47,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR,48,Down,0.000905242836607282,0.306087641688573
48,GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS_INVOLVED_IN_CHOLESTEROL_TRANSPORT,5,Up,0.00100901062455103,0.327289916422866
49,GOMF_N_ACETYLGLUCOSAMINE_6_O_SULFOTRANSFERASE_ACTIVITY,1,Up,0.00102199926758065,0.327289916422866
50,GOCC_PRESYNAPTIC_CYTOSKELETON,2,Up,0.00102973167764557,0.327289916422866
51,HP_THYROIDITIS,33,Down,0.00105239461578295,0.327934416353386
52,HP_PELVIC_GIRDLE_AMYOTROPHY,5,Down,0.00110774070845257,0.338542602667851
53,HP_ABNORMAL_PLACENTAL_MEMBRANE_MORPHOLOGY,6,Down,0.0011365347339061,0.340788867759165
54,GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,121,Down,0.00117417655084415,0.345281023312836
55,GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,52,Down,0.0012078513407126,0.345281023312836
56,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,36,Down,0.00121669628149502,0.345281023312836
57,GOBP_NEGATIVE_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE,19,Down,0.00125244432656384,0.349190267328992
58,HP_POSTEXERTIONAL_SYMPTOM_EXACERBATION,7,Up,0.00131347834817732,0.359893067400586
59,GOMF_SPHINGOMYELIN_PHOSPHODIESTERASE_ACTIVITY,4,Down,0.00149252523913297,0.379306328116362
60,GOCC_IGA_IMMUNOGLOBULIN_COMPLEX,1,Down,0.00153907113313689,0.379306328116362
61,GOCC_IGD_IMMUNOGLOBULIN_COMPLEX,1,Down,0.00153907113313689,0.379306328116362
62,GOCC_IGE_IMMUNOGLOBULIN_COMPLEX,1,Down,0.00153907113313689,0.379306328116362
63,GOCC_IGG_IMMUNOGLOBULIN_COMPLEX,1,Down,0.00153907113313689,0.379306328116362
64,GOCC_IGM_IMMUNOGLOBULIN_COMPLEX,1,Down,0.00153907113313689,0.379306328116362
65,GOCC_RESPIRATORY_CHAIN_COMPLEX_IV,16,Down,0.00155891032649551,0.379306328116362
66,GOMF_NADH_DEHYDROGENASE_UBIQUINONE_ACTIVITY,34,Down,0.00160841303819441,0.379306328116362
67,GOBP_ELECTRON_TRANSPORT_CHAIN,105,Down,0.0016357424005682,0.379306328116362
68,GOCC_LYSOSOMAL_LUMEN,60,Down,0.0016452585872426,0.379306328116362
69,GOBP_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL,14,Down,0.00166773132682118,0.379306328116362
70,GOBP_STEROL_BIOSYNTHETIC_PROCESS,49,Up,0.00167074269872548,0.379306328116362
71,GOBP_NUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS,9,Down,0.00181530908730732,0.399301358069516
72,GOCC_RESPIRASOME,81,Down,0.00181605749958254,0.399301358069516
73,GOBP_CADMIUM_ION_TRANSMEMBRANE_TRANSPORT,4,Down,0.00188357750448621,0.399301358069516
74,GOBP_OXIDATIVE_PHOSPHORYLATION,116,Down,0.00190452606124875,0.399301358069516
75,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,64,Down,0.0019089096358908,0.399301358069516
76,GOBP_REGULATION_OF_T_CELL_COSTIMULATION,2,Down,0.00190957105545452,0.399301358069516
77,GOBP_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_APOPTOTIC_PROCESS,3,Down,0.00200631876639448,0.414083348513521
78,GOMF_TOLL_LIKE_RECEPTOR_4_BINDING,4,Down,0.00206630319209939,0.420996029856968
79,GOBP_ADHESION_OF_SYMBIONT_TO_HOST,5,Down,0.00209468943168173,0.421377271497291
