,Set,NGenes,Direction,PValue,FDR
1,HALLMARK_INTERFERON_GAMMA_RESPONSE,172,Down,0.00323281547702918,0.0819408946097729
2,HALLMARK_CHOLESTEROL_HOMEOSTASIS,62,Up,0.00327763578439091,0.0819408946097729
3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,79,Down,0.0231715480723873,0.298733654963221
4,HALLMARK_UV_RESPONSE_UP,114,Down,0.0238986923970576,0.298733654963221
5,HALLMARK_KRAS_SIGNALING_DN,49,Down,0.0374945840993928,0.323967082681143
6,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Down,0.0388760499217372,0.323967082681143
7,HALLMARK_ESTROGEN_RESPONSE_EARLY,109,Down,0.0633287736945437,0.452348383532455
8,HALLMARK_APICAL_SURFACE,19,Up,0.0826148970925845,0.470384582558034
9,HALLMARK_PROTEIN_SECRETION,90,Down,0.0930315434927183,0.470384582558034
10,HALLMARK_E2F_TARGETS,162,Down,0.0966077077223852,0.470384582558034
11,HALLMARK_COMPLEMENT,139,Down,0.104398601671825,0.470384582558034
12,HALLMARK_ESTROGEN_RESPONSE_LATE,98,Down,0.112892299813928,0.470384582558034
13,HALLMARK_HEME_METABOLISM,141,Down,0.122393729108863,0.470745111957166
14,HALLMARK_PEROXISOME,78,Up,0.14317683832723,0.51134585116868
15,HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,Down,0.15380535809008,0.512684526966933
16,HALLMARK_BILE_ACID_METABOLISM,70,Up,0.189949019665935,0.537126874404666
17,HALLMARK_GLYCOLYSIS,133,Down,0.198681847179099,0.537126874404666
18,HALLMARK_INFLAMMATORY_RESPONSE,123,Down,0.201024477456089,0.537126874404666
19,HALLMARK_MYC_TARGETS_V2,54,Down,0.206684234136856,0.537126874404666
20,HALLMARK_MYC_TARGETS_V1,191,Down,0.214997007169002,0.537126874404666
21,HALLMARK_INTERFERON_ALPHA_RESPONSE,90,Down,0.22559328724996,0.537126874404666
22,HALLMARK_FATTY_ACID_METABOLISM,128,Up,0.383393180550356,0.871348137614445
23,HALLMARK_P53_PATHWAY,158,Down,0.420900323022933,0.911643906392903
24,HALLMARK_APOPTOSIS,120,Down,0.446012954224788,0.911643906392903
25,HALLMARK_IL6_JAK_STAT3_SIGNALING,66,Down,0.464265308917002,0.911643906392903
26,HALLMARK_NOTCH_SIGNALING,25,Up,0.47405483132431,0.911643906392903
27,HALLMARK_ADIPOGENESIS,169,Up,0.499879114199021,0.92570206333152
28,HALLMARK_TNFA_SIGNALING_VIA_NFKB,164,Up,0.53100402051663,0.934236337465391
29,HALLMARK_KRAS_SIGNALING_UP,109,Up,0.564331032617186,0.934236337465391
30,HALLMARK_MTORC1_SIGNALING,174,Down,0.565764893551158,0.934236337465391
31,HALLMARK_ALLOGRAFT_REJECTION,129,Down,0.600324171587138,0.934236337465391
32,HALLMARK_XENOBIOTIC_METABOLISM,126,Down,0.610651772349765,0.934236337465391
33,HALLMARK_PANCREAS_BETA_CELLS,11,Down,0.639750564461217,0.934236337465391
34,HALLMARK_APICAL_JUNCTION,101,Down,0.653133810500012,0.934236337465391
35,HALLMARK_HYPOXIA,125,Down,0.666319000870102,0.934236337465391
36,HALLMARK_ANDROGEN_RESPONSE,81,Down,0.715290643937516,0.934236337465391
37,HALLMARK_SPERMATOGENESIS,55,Down,0.718366672547558,0.934236337465391
38,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,103,Up,0.753159708475233,0.934236337465391
39,HALLMARK_COAGULATION,67,Down,0.754344518743634,0.934236337465391
40,HALLMARK_UV_RESPONSE_DN,96,Down,0.771408947248386,0.934236337465391
41,HALLMARK_G2M_CHECKPOINT,147,Down,0.776370781344219,0.934236337465391
42,HALLMARK_PI3K_AKT_MTOR_SIGNALING,85,Up,0.789879860085794,0.934236337465391
43,HALLMARK_MYOGENESIS,90,Down,0.808914727520898,0.934236337465391
44,HALLMARK_TGF_BETA_SIGNALING,44,Up,0.822127976969544,0.934236337465391
45,HALLMARK_WNT_BETA_CATENIN_SIGNALING,28,Down,0.927370694564027,0.977401810888901
46,HALLMARK_MITOTIC_SPINDLE,163,Up,0.928399383022012,0.977401810888901
47,HALLMARK_HEDGEHOG_SIGNALING,14,Up,0.941660359100467,0.977401810888901
48,HALLMARK_DNA_REPAIR,140,Down,0.952197264698964,0.977401810888901
49,HALLMARK_ANGIOGENESIS,19,Up,0.95992667219105,0.977401810888901
50,HALLMARK_IL2_STAT5_SIGNALING,141,Up,0.977401810888901,0.977401810888901
