Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Down,1.46643979471998e-11,2.48854833163981e-08,""
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,98,Down,4.44579303996067e-09,3.77225539440663e-06,""
REACTOME_SELENOAMINO_ACID_METABOLISM,100,Down,1.22105672510926e-08,6.90711087503474e-06,""
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Down,1.81097603369145e-08,7.68306582293598e-06,""
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Down,3.48045552037677e-08,1.18126660361588e-05,""
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,36,Down,8.46301191327532e-08,2.37858626504184e-05,""
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,38,Up,9.81149313806297e-08,2.37858626504184e-05,""
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Down,1.45567032609045e-07,3.08784067921936e-05,""
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,18,Up,1.42016724749705e-06,0.000267780424333611,""
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,15,Up,6.07878350314678e-06,0.00103156956048401,""
REACTOME_INFLUENZA_INFECTION,153,Down,1.37650531497167e-05,0.00194945731021609,""
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,17,Up,1.37852019579217e-05,0.00194945731021609,""
REACTOME_DRUG_MEDIATED_INHIBITION_OF_CDK4_CDK6_ACTIVITY,3,Up,2.23763769046773e-05,0.00292097781594134,"CCND2,CCND3"
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,22,Up,5.35429000540328e-05,0.00617355107595788,""
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,59,Down,5.45688073891386e-05,0.00617355107595788,""
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,10,Up,7.76253229211002e-05,0.00823313581231919,""
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,50,Down,0.000113200938960348,0.0113001172597477,""
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,148,Down,0.000266745529471879,0.0251481757507655,SH3BP4
REACTOME_GAP_JUNCTION_DEGRADATION,9,Up,0.000307338765717283,0.0262497789036334,""
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,155,Down,0.000309366869813005,0.0262497789036334,""
REACTOME_ATTENUATION_PHASE,21,Up,0.000376991139439683,0.0304644744585306,""
REACTOME_RECYCLING_PATHWAY_OF_L1,29,Up,0.000416087488943929,0.0319343350141224,""
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,59,Up,0.000432816561770663,0.0319343350141224,""
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS,8,Up,0.000529918450059934,0.0374696504063212,""
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION,8,Up,0.000757332556137339,0.0514077339106026,""
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,11,Up,0.00101592730587045,0.0663087937716212,"CCND2,CCND3"
REACTOME_OPSINS,1,Down,0.00106486090144903,0.0669284796207041,""
REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION,10,Up,0.00152072540469922,0.092166821849092,""
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,37,Up,0.00162575002522544,0.0951344066485369,""
REACTOME_SCAVENGING_BY_CLASS_F_RECEPTORS,5,Up,0.00199113027388936,0.112631602493008,""
REACTOME_GAP_JUNCTION_ASSEMBLY,6,Up,0.00245457537300714,0.130169200249785,""
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE,6,Up,0.00245457537300714,0.130169200249785,""
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,184,Down,0.00283838248266852,0.143904197913638,""
REACTOME_ENOS_ACTIVATION,7,Up,0.00288317190869988,0.143904197913638,""
REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE,7,Down,0.00321881839127701,0.155793282449564,""
REACTOME_KERATAN_SULFATE_DEGRADATION,6,Up,0.00330498418867667,0.155793282449564,""
REACTOME_SMOOTH_MUSCLE_CONTRACTION,23,Up,0.00340116066531821,0.155993774298513,""
