Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,59,Up,3.8809758659606e-07,0.00065898970204011,"IFIT3,IFIT2"
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,38,Up,8.423627549898e-07,0.000715165978986341,""
REACTOME_METALLOTHIONEINS_BIND_METALS,5,Up,1.76968138034338e-06,0.00100163966127435,MT1E
REACTOME_RESPONSE_TO_METAL_IONS,7,Up,2.44860657880166e-06,0.0010394334927013,MT1E
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,48,Up,2.52447255882425e-05,0.00766826163678992,GOLM1
REACTOME_ASPIRIN_ADME,6,Up,2.70963308720492e-05,0.00766826163678992,""
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Down,0.000115378109173615,0.0279874327681141,""
REACTOME_CHOLESTEROL_BIOSYNTHESIS,26,Down,0.000200275087877871,0.042508387402078,""
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION,8,Up,0.000279509290853196,0.0527340862076363,""
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,15,Up,0.000444932491749594,0.0698808414104196,CCT5
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Down,0.000466316287556034,0.0698808414104196,""
REACTOME_ATTENUATION_PHASE,21,Up,0.000493857536469397,0.0698808414104196,""
REACTOME_DRUG_MEDIATED_INHIBITION_OF_CDK4_CDK6_ACTIVITY,3,Up,0.000544997709345264,0.0711850854206353,""
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,10,Up,0.000628486177266706,0.0762263949284905,CCT5
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE,16,Up,0.000915274929134466,0.101490324697658,""
REACTOME_SELENOAMINO_ACID_METABOLISM,100,Down,0.000992895069084646,0.101490324697658,""
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,4,Up,0.00101609865716148,0.101490324697658,""
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,37,Up,0.00160135372386728,0.151061034618147,""
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Down,0.00172884686001279,0.154504314121143,""
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,19,Up,0.00211131583641765,0.179250714511859,""
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,8,Up,0.00256675480731784,0.207540460134557,""
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,18,Down,0.00271624813687138,0.209644969836709,CCL20
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,19,Up,0.00297471371974889,0.21961147374494,""
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6,30,Up,0.00316886033644303,0.224196868803344,""
REACTOME_OPSINS,1,Down,0.00342471938206548,0.232606940429887,""
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,36,Down,0.00358579921508952,0.234180271816231,""
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,22,Up,0.00390861126125887,0.237322644834605,CCT5
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,98,Down,0.00391344761800291,0.237322644834605,""
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Down,0.00492028107718457,0.278551955768447,""
REACTOME_HSF1_ACTIVATION,25,Up,0.00492141264608563,0.278551955768447,""
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,27,Up,0.00521579476885783,0.285690952178084,""
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,59,Down,0.00550012663841312,0.291850469750796,""
REACTOME_PROTON_COUPLED_MONOCARBOXYLATE_TRANSPORT,3,Up,0.00759031866252566,0.390556396635411,""
REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING,4,Up,0.00805640645807467,0.402346416641494,""
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,54,Up,0.00876261901687155,0.421042511910958,""
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,26,Up,0.00914078361263652,0.421042511910958,CCT5
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,10,Up,0.00917466015353678,0.421042511910958,""
