,Set,NGenes,Direction,PValue,FDR
1,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,86,Up,4.64961061356641e-08,3.82197992435159e-05
2,WP_GLYCOLYSIS_AND_GLUCONEOGENESIS,30,Down,0.00011128017041162,0.0457361500391758
3,WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,40,Down,0.000302929382167774,0.064045289307464
4,WP_METABOLIC_EPILEPTIC_DISORDERS,57,Down,0.000311655909038754,0.064045289307464
5,WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER,35,Down,0.000656023226424616,0.0994280487196273
6,WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER,38,Down,0.000826186335096354,0.0994280487196273
7,WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,14,Down,0.000846710877174441,0.0994280487196273
8,WP_LACTATE_SHUTTLE_IN_GLIAL_CELLS,8,Down,0.00112073526394268,0.111778362533039
9,WP_PROSTAGLANDIN_SIGNALING,20,Down,0.00122385068466831,0.111778362533039
10,WP_TCA_CYCLE_AKA_KREBS_OR_CITRIC_ACID_CYCLE,18,Down,0.00153499696388405,0.126176750431269
11,WP_NRF2_PATHWAY,67,Down,0.00182129161655623,0.136100155346293
12,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,Down,0.00240205662700583,0.152831328151902
13,WP_SYNAPTIC_VESICLE_PATHWAY,19,Down,0.00241704046955562,0.152831328151902
14,WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,12,Down,0.0026331535418862,0.15460372938789
15,WP_BENZENE_METABOLISM,3,Down,0.00300226743142746,0.164524255242225
16,WP_CEREBRAL_ORGANIC_ACIDURIAS_INCLUDING_DISEASES,7,Down,0.00360558919198845,0.185237144738407
17,WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,19,Down,0.00447285019664401,0.213386668635176
18,WP_CORI_CYCLE,11,Down,0.00467270077303306,0.213386668635176
19,WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2,7,Up,0.00497372990825914,0.21517926234679
20,WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873,23,Down,0.00577311636657978,0.229746473096002
21,WP_GLUCOSE_METABOLISM_IN_TRIPLENEGATIVE_BREAST_CANCER_CELLS,7,Down,0.00655957943218153,0.229746473096002
22,WP_INTERACTIONS_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY,13,Down,0.0065626942744771,0.229746473096002
23,WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,13,Down,0.00691553448630316,0.229746473096002
24,WP_AEROBIC_GLYCOLYSIS,10,Down,0.00698742314768862,0.229746473096002
25,WP_AEROBIC_GLYCOLYSIS_AUGMENTED,10,Down,0.00698742314768862,0.229746473096002
26,WP_SPHINGOLIPID_METABOLISM_OVERVIEW,19,Down,0.00781847099935199,0.230833806544604
27,WP_GENE_REGULATORY_NETWORK_MODELING_SOMITOGENESIS,3,Down,0.00783231683504632,0.230833806544604
28,WP_RIBOFLAVIN_AND_COQ_DISORDERS,13,Down,0.00809864004317498,0.230833806544604
29,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,59,Down,0.00814377176373908,0.230833806544604
30,WP_MEVALONATE_PATHWAY,7,Down,0.0085384411180383,0.23395328663425
31,WP_DISORDERS_OF_FRUCTOSE_METABOLISM,10,Down,0.00890925916108681,0.236239065497205
32,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,71,Down,0.00931240770685178,0.239212472969755
33,WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASEANAPHASE_TRANSITION,10,Down,0.0102010964815072,0.254100039630269
34,WP_METABOLIC_PATHWAYS_OF_FIBROBLASTS,21,Down,0.010956165285217,0.260472072631107
35,WP_DOPAMINE_METABOLISM,7,Down,0.011182531573275,0.260472072631107
36,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,53,Down,0.0114075360276397,0.260472072631107
37,WP_MRNA_PROTEIN_AND_METABOLITE_INDUCATION_PATHWAY_BY_CYCLOSPORIN_A,5,Down,0.012919812672748,0.282898863603572
38,WP_COMMON_PATHWAYS_UNDERLYING_DRUG_ADDICTION,20,Down,0.0131972396548196,0.282898863603572
39,WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3,7,Up,0.0134222088571038,0.282898863603572
40,WP_PHOTODYNAMIC_THERAPYINDUCED_HIF1_SURVIVAL_SIGNALING,27,Down,0.0140085598760288,0.284148582649539
41,WP_PTF1A_RELATED_REGULATORY_PATHWAY,6,Down,0.0141728611783833,0.284148582649539
42,WP_RALA_DOWNSTREAM_REGULATED_GENES,11,Down,0.015829917991353,0.309814109259336
43,WP_TCA_CYCLE_AND_DEFICIENCY_OF_PYRUVATE_DEHYDROGENASE_COMPLEX_PDHC,15,Down,0.0172760789368619,0.330254346188384
44,WP_ENDOCHONDRAL_OSSIFICATION,26,Down,0.0209290501238305,0.38230398226197
45,WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,26,Down,0.0209290501238305,0.38230398226197
46,WP_DEVELOPMENT_OF_PULMONARY_DENDRITIC_CELLS_AND_MACROPHAGE_SUBSETS,10,Down,0.0224294062743987,0.392831687533775
47,WP_MTHFR_DEFICIENCY,18,Down,0.0226867122080976,0.392831687533775
48,WP_MICROTUBULE_CYTOSKELETON_REGULATION,35,Down,0.022939076644308,0.392831687533775
49,WP_MECHANOREGULATION_AND_PATHOLOGY_OF_YAPTAZ_VIA_HIPPO_AND_NONHIPPO_MECHANISMS,29,Down,0.0272937201757487,0.449441426959759
50,WP_RESOLVIN_E1_AND_RESOLVIN_D1_SIGNALING_DECREASE_INFLAMMATION,9,Up,0.0273382863114209,0.449441426959759
51,WP_PHOSPHATIDYL_INOSITOL_PHOSPHATE_PATHWAY,37,Up,0.0288935427772612,0.465695924762917
52,WP_HYPOTHESIZED_PATHWAYS_IN_PATHOGENESIS_OF_CARDIOVASCULAR_DISEASE,15,Up,0.0307947142277147,0.486793367215029
53,WP_7Q1123_DISTAL_COPY_NUMBER_VARIATION,15,Down,0.0322604005385314,0.497216253454038
54,WP_UREA_CYCLE_AND_ASSOCIATED_PATHWAYS,13,Down,0.0328146876124714,0.497216253454038
55,WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,Down,0.0332687274208906,0.497216253454038
56,WP_GLYCOLYSIS_IN_SENESCENCE,11,Down,0.0349861028577882,0.51354600980539
57,WP_PHASE_I_BIOTRANSFORMATIONS_NONP450,5,Down,0.035775620903675,0.515922111979314
58,WP_VITAMIN_D_METABOLISM,6,Down,0.0386465241138352,0.544922724771488
59,WP_SILDENAFIL_TREATMENT,10,Up,0.0391124583473453,0.544922724771488
60,WP_SPINAL_CORD_INJURY,63,Down,0.0411723629215254,0.546811251929553
61,WP_ZINC_HOMEOSTASIS,21,Down,0.0416327863043837,0.546811251929553
62,WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1,8,Up,0.0419088915712431,0.546811251929553
63,WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5,8,Up,0.0419088915712431,0.546811251929553
64,WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,28,Down,0.0448754296294034,0.565221669202789
65,WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME,8,Down,0.045012533129369,0.565221669202789
66,WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,17,Up,0.0455168810814769,0.565221669202789
67,WP_GLYCOSAMINOGLYCAN_SYNTHESIS_IN_FIBROBLASTS,24,Up,0.0460703793632443,0.565221669202789
