gene,logFC,logCPM,LR,PValue,FDR
VMO1,-1.32812907476587,7.40511558421238,36.5627027683132,1.47833432736698e-09,9.28508012207246e-06
LILRA5,-1.31670048552605,5.258419535127,36.2700127324742,1.71786866273311e-09,9.28508012207246e-06
ZNF503,-2.2854176179689,3.06754995829127,28.6482150126823,8.67939598073865e-08,0.00031274756850595
NID1,2.53492703891818,1.92938096110548,26.7613760378702,2.30192572986916e-07,0.000522843948165296
CDA,-4.85544747685458,1.8937306337796,26.6660507613742,2.41833463536214e-07,0.000522843948165296
AQP3,0.83330324172361,7.67801346534822,25.8856974587361,3.62243221322851e-07,0.000652641537083336
SH3BP4,1.46571795246155,3.44680064141343,22.3323798659515,2.29307356803362e-06,0.00315282002634366
WFIKKN1,2.74712601577634,1.36683959730878,22.2990156515546,2.33326181413036e-06,0.00315282002634366
PADI2,-4.23353887585805,3.66145156209666,20.7019292347415,5.36619086101473e-06,0.00622522741167203
TNNI2,0.856103889806069,7.06665717405996,20.3377754430515,6.49064285998273e-06,0.00622522741167203
NBPF14,-2.04691007545049,2.18111910215642,20.224119126967,6.8879006315473e-06,0.00622522741167203
LINC00685,-1.27531706414757,3.79412217020308,20.2178469865534,6.91052071600966e-06,0.00622522741167203
CD164,0.360024418566685,8.68154366886126,19.7882057131218,8.65148825765673e-06,0.00719404523578994
NUCB1,0.471617618976211,7.78464651690154,18.4759716532552,1.72059943085557e-05,0.013285485605392
LINC00937,-2.39073445188303,1.95024717830692,18.2087085548312,1.97971549952971e-05,0.0133831564687877
LINC02035,-3.46752637940269,2.20693016424018,18.2076119146694,1.9808557215597e-05,0.0133831564687877
PLAC8,-2.47393396410869,7.21466735595952,18.0695182292529,2.12983972048113e-05,0.0135432749284712
CREG1,0.383198204840751,7.20891503404012,17.476832437104,2.90830229555573e-05,0.0174659710083097
SCOC,0.602120356509142,5.91635110653713,17.0755721333246,3.59213867958722e-05,0.0204373784875462
ERAP2,-2.46634185315748,5.85741128797412,16.8311744561292,4.08565976465078e-05,0.0220829910279375
RALGDS,0.870528664273095,5.02411984973078,16.3152010120183,5.36319967362836e-05,0.0276077087961536
CCND2,2.03096231469035,1.9596852072816,15.5006777663416,8.24756762438871e-05,0.0405255481907463
PDE4B,-1.31030270841166,3.97178995652613,15.4088317865853,8.65826826274959e-05,0.040693860834923
CLEC4D,-2.36498612249931,2.62616012163507,15.1575162270485,9.89038068983682e-05,0.0445479230238067
HLA-DQA2,-4.90490469744032,7.29781658385152,15.0380290640097,0.000105366435419554,0.0455604466754149
SERINC2,1.04087528110227,4.85086688132846,14.8819937550055,0.00011445024715335,0.0469209004184568
ABHD2,-0.580823304107124,6.98700971807557,14.8110967257104,0.000118834192944963,0.0469209004184568
CCND3,0.471596491513472,7.41769577042264,14.7687300113302,0.000121534247152339,0.0469209004184568
VNN2,-1.09953365016257,3.51986939508594,14.4493476151254,0.000143979719465661,0.0520289635336726
KRT79,1.39082426135912,2.75983501683866,14.4439726145907,0.000144391203146177,0.0520289635336726
TMEM170B,-0.792414328571059,4.74883686835624,14.27831218792,0.000157671113270161,0.0549814430467884
GTF2E1,0.884238755700073,4.09149148991459,14.1326203341489,0.000170363717840471,0.0564343906443361
SPINT1,0.592139215478823,5.69609838405028,14.1030179970249,0.000173065879727845,0.0564343906443361
SH3BP5,-0.674829453771369,6.70933698790815,14.0554418653979,0.000177499471036765,0.0564343906443361
SYNE3,2.42461943155936,1.22984472713971,13.9175804523426,0.00019100356259833,0.0589928146196558
ARHGAP24,-1.22283288298953,4.87051646355868,13.7496252867399,0.000208862480438477,0.0611689220099074
LY6E,0.462107056044728,9.9780395591188,13.7256585426339,0.000211544580573539,0.0611689220099074
OPN3,-0.66669931485528,6.54180907850017,13.6668481211619,0.000218274006649286,0.0611689220099074
PROCR,-0.843065152504217,4.9931719639324,13.6462345713997,0.000220683437408546,0.0611689220099074
ENTPD1,-0.861178060592845,4.52974131043173,13.3207153978892,0.000262490011293537,0.070721255275852
CDC42EP1,-4.48150230367839,2.21129330221457,13.2801538942743,0.000268230477919513,0.070721255275852
HES1,1.97893086515664,1.28946071423584,13.1782703036225,0.000283214046964934,0.0728939011354985
EGFL7,1.18566447159802,2.75093830144523,13.0744958137207,0.000299343782984546,0.0752536347456497
CTSD,0.567179927587386,11.7109100192743,12.8709111432314,0.000333729085956337,0.0789368406548088
GSDMD,0.546699597509932,5.7722311326795,12.852112716732,0.00033709843185554,0.0789368406548088
CCDC102B,1.70421179309706,2.2622300276873,12.8497711907168,0.000337520512087369,0.0789368406548088
MGST1,1.34377628515112,6.03608236841953,12.7964656123447,0.000347274814416275,0.0789368406548088
LILRB2,-1.06539096689706,4.55868548818029,12.7791409151004,0.000350505860446885,0.0789368406548088
ITGAM,0.819007484801074,5.93975887405568,12.7386325278617,0.000358179480687238,0.0790187793107967
G0S2,2.16084297221555,1.91405909910902,12.5622982442001,0.000393607383636838,0.0850979163422843
MLXIP,-0.805975218163857,4.36479778467035,12.4239082694232,0.000423872252747216,0.0883474157542869
B3GNTL1,1.32133316328228,2.85200429298104,12.4190211139727,0.000424982943498882,0.0883474157542869
ENPP6,1.72664475074496,2.01088491559484,12.3166685411002,0.000448931228609535,0.0915650298352654
TRGC1,-1.82272236377016,4.11138427137185,12.2483487835755,0.000465670052813265,0.0932202457576184
TMOD2,-1.13050691754786,3.23080866740776,12.1924703906382,0.000479827977171633,0.0943080078768246
FKBP1A,0.253097326066224,8.53259992884595,12.102377522283,0.000503575717923208,0.0972080984062478
SAMD12,1.95520864548804,1.51025396381436,12.0626090603167,0.00051443244657875,0.0975616622371279
RGS19,0.326534741371703,7.00562477172974,11.7396349610972,0.000611830228007487,0.114032495944154
LILRB3,-0.734618998092329,6.43548988179732,11.697474208317,0.000625849943234132,0.114668438751881
DHDH,1.55433749559153,2.12324885279415,11.5971142116021,0.000660542377572773,0.119007718359361
ADAMTS1,4.08175340428495,2.97492978019666,11.5140560218971,0.000690718987000712,0.120635989644723
