gene,logFC,logCPM,LR,PValue,FDR
LILRA5,-1.47301896096756,5.24187162185966,48.8836634151486,2.71603574776926e-12,2.93250379686648e-08
CDA,-5.54187646674155,1.82122084164279,32.3529781268049,1.28560026467099e-08,6.94031302882632e-05
LILRB2,-1.56257450805958,4.56927923349131,30.5654155271798,3.22796811352938e-08,0.000116174572405922
ERAP2,-2.97352147333482,5.89620709801908,25.3266812133255,4.83967777577355e-07,0.00130635002362567
SH3BP5,-0.953314468147392,6.72155343697563,24.4450570708321,7.64594253056682e-07,0.00156072577825278
SCPEP1,-0.709019167932918,7.87477706127028,24.2022459518644,8.67310796472789e-07,0.00156072577825278
TENM4,2.36884389525409,2.21782173687002,23.45243707646,1.28040419579592e-06,0.00197493201457265
CLEC4D,-3.26416768979808,2.63986739645962,22.4646703416373,2.1404443369081e-06,0.00288879718819959
P2RY11,1.63877246655293,3.1339611347114,22.0030567103412,2.72216588450187e-06,0.00326569167277407
SKAP1,2.65516159125916,2.92074697058198,21.3572387144808,3.81178784162844e-06,0.00411558733260623
SLC38A10,0.555248720272465,6.08232627123201,20.5618770412955,5.7734468231811e-06,0.00566690048635331
RILPL1,-2.07486396013795,2.43326417938262,19.795454896205,8.61873797336078e-06,0.00775470949153136
CCL20,-5.8423172404361,4.11602777472573,18.9125224950885,1.36851395433018e-05,0.0109296464980592
CCT5,0.543086444913608,7.22834083252971,18.8458383180787,1.41719969410788e-05,0.0109296464980592
HES1,2.45569276280261,1.30391357551056,18.509767069937,1.69035844588987e-05,0.0120407417334534
LINC00937,-2.64733842602627,1.94988511064857,18.40668468697,1.78430923159447e-05,0.0120407417334534
MT1E,2.20328322875102,1.8111684351872,18.062268918264,2.13796462740322e-05,0.0135530627566199
GOLM1,1.59917523196864,3.26050079923818,17.9570402954795,2.25947142372101e-05,0.0135530627566199
ABHD2,-0.627877856128834,6.95457817305562,17.2455513696354,3.28465730333224e-05,0.0186654973179359
TNNI2,0.956422061579305,7.00430305761267,16.8203464838913,4.1090375294262e-05,0.0221826391026073
LILRB4,-1.56243643931429,4.7001937402058,16.1926646310478,5.7215239829851e-05,0.0288782252664139
SH3BP4,1.22845798238033,3.42891320802647,16.1395489013938,5.88423595314537e-05,0.0288782252664139
SYTL4,1.57509134458619,2.75657899142514,15.6459397960797,7.63763819829657e-05,0.0347390050930502
AQP3,0.724768891236263,7.60243892041267,15.6251850438327,7.72192388842461e-05,0.0347390050930502
IFIT3,0.734877316578181,7.56889013246176,15.2701768893037,9.31760608378482e-05,0.0389701083986869
LINC02035,-3.29463457590137,2.23238639155041,15.2421136704971,9.45708204434882e-05,0.0389701083986869
PLEKHO1,-1.37278678669452,5.0406216104793,15.1502376751014,9.92858135088476e-05,0.0389701083986869
RHOQ,-0.438960486032886,6.71657059861859,15.1145585132254,0.000101179983409784,0.0389701083986869
PTGER3,1.70689639336006,4.86480186777577,14.9994083830083,0.0001075448872128,0.0389701083986869
ZCCHC24,1.18391537807457,4.01816870635743,14.969667464941,0.000109253313639513,0.0389701083986869
GSDMD,0.634647591834576,5.72663042404861,14.9246781418531,0.000111889724956867,0.0389701083986869
IFIT2,0.766571484268362,6.70115817580847,14.8027517868157,0.000119361202406192,0.0402732156993642
LY6E,0.515657785353208,9.95310244175012,14.7027395420592,0.000125863409578991,0.0411802191886171
CLIC2,1.25459710475696,3.07637036046726,14.5892630823347,0.000133674012421952,0.0424493621211712
PDCD4,-0.590066858953515,6.54874847340538,13.9288843790209,0.000189858370013856,0.0571490410275101
MX1,1.10154962389029,7.42042225568153,13.9220519005606,0.000190549733906674,0.0571490410275101
RBAKDN,-3.33556882598858,1.87784176519437,13.7368032735444,0.000210293092648661,0.0613657978737187
LILRB3,-0.891909671535649,6.43489592040603,13.4702711135173,0.000242373285170737,0.0688659042102223
DHTKD1,-1.11619263491354,3.42729933024086,13.3349583235356,0.000260503790575511,0.0721194724831741
