,logFC,logCPM,LR,PValue,FDR
NET1,-1.75779314820396,3.77654440949573,21.9050455709382,2.86479698102274e-06,0.0309684553648558
CD36,4.63159183354848,3.43128083003214,14.9178090302979,0.000112297857752293,0.443781780589331
TRHDE-AS1,-4.58589568324445,2.33596054062987,14.7436950457995,0.000123158681014616,0.443781780589331
SLC46A1,2.58198044364376,1.98563830338294,14.1696309657466,0.000167044999901136,0.45143911223282
FGD3,-1.58240488995254,3.69398638984832,12.9374781358837,0.000322068595937801,0.591940185940824
SLC6A12,1.90344572391782,3.08003112763231,12.8474295503856,0.00033794314591319,0.591940185940824
GNGT2,1.97628010367687,3.54559078123197,12.5078043923045,0.000405255576149463,0.591940185940824
CSTF1,-1.78285215349691,3.64137495378535,12.3318462030969,0.000445295785859863,0.591940185940824
CENPF,-2.11775838768288,3.03579233914087,12.0524189972297,0.000517252145277492,0.591940185940824
RSRP1,-0.698787031300419,6.43790374807359,11.8957314738449,0.000562627290109592,0.591940185940824
NECAB3,4.09653180514079,2.95661822301041,11.7687185279695,0.000602344315018414,0.591940185940824
PDCD2L,-3.90109219482457,2.39026991008171,11.4425103244387,0.000717827476369314,0.646642918296023
ARHGAP22,-1.95856503113538,3.30661186375525,10.9239215684545,0.000949304472771833,0.78938318082027
RGS1,1.79245460828648,3.08650858009299,10.4882898098162,0.00120133518016276,0.868516015527848
CSTB,0.410688598420239,10.7847495116092,10.3693886542372,0.00128121967129406,0.868516015527848
SGSH,1.60030583328436,2.9893304487659,10.2712339607708,0.00135120401102271,0.868516015527848
TMEM236,1.10980576908196,4.09861209025323,10.2513530011741,0.00136584387270799,0.868516015527848
RIN1,-3.9465943650242,2.27884549842609,10.0942404569192,0.0014873345226654,0.890354004894657
ARSG,-1.88214289342677,2.44260841151132,9.89777545434718,0.00165478685334157,0.890354004894657
SLC39A13,1.62641694055042,3.0544711047183,9.82348475388809,0.00172297586033278,0.890354004894657
MTHFD1,0.823069095575682,5.04136196522349,9.65375239139291,0.00188965187102934,0.890354004894657
SDCBP2-AS1,5.5792500246995,1.26339018363558,9.46827988723143,0.0020905530886926,0.890354004894657
WDR35,4.01577400173454,1.7762456812822,9.38448826547364,0.00218829129742924,0.890354004894657
SH3BP5L,-1.71753575340849,3.03640249525734,9.3458018167797,0.00223496848898665,0.890354004894657
PDSS1,1.80254946730248,3.04402633306922,9.31405052958252,0.0022740319093646,0.890354004894657
DBI,0.337231844812304,8.86070980029519,9.28042044978358,0.0023161625834236,0.890354004894657
EFCAB13,-4.0162026825551,1.39778317032258,9.27966840370645,0.00231711372123823,0.890354004894657
