,logFC,logCPM,LR,PValue,FDR
PDE9A,-1.94903331833499,2.74433618283647,32.3378982648838,1.29561591940668e-08,0.000110924949191232
NEIL2,-0.862051274668028,4.6309274951116,31.1539170560708,2.38357896148804e-08,0.000110924949191232
CLIC2,-1.2626390218153,3.12355503500493,30.6574657667063,3.07839821992317e-08,0.000110924949191232
SMPDL3A,-1.99555508612815,1.632160128087,29.5662783624948,5.40369156074756e-08,0.000146034764429203
HRH4,-2.89040509995556,2.04400619216201,29.0189081161544,7.16752792133307e-08,0.000154961953659221
SLC37A1,-0.931234461004605,4.64287105412668,22.9030842226515,1.70378253361538e-06,0.00306964819806371
BCAT1,-1.53435455782814,2.30235117464414,21.4715091751378,3.59124949845174e-06,0.0050768096918354
LGALS1,-0.262721829860247,10.3833887955431,21.3849333795436,3.7571209560299e-06,0.0050768096918354
VAMP5,-1.46039809042991,5.05104039220775,20.0257969316917,7.64044429121339e-06,0.00917702253200186
MTMR11,1.12027038403052,3.71463316717566,19.6678776974373,9.21372296303678e-06,0.00996003452304276
NR1H3,-0.721899523359262,4.92225655268672,19.0710853693035,1.25938567708036e-05,0.0123763265174898
CD1D,1.01789524583608,2.99684315078828,17.5232919500326,2.83809444506341e-05,0.0236213415422894
NOP10,-0.320267016667473,9.64366407053917,17.5215610109623,2.84067937141316e-05,0.0236213415422894
GBP3,0.916822849073332,6.05725582562904,17.0832219886547,3.57769814171366e-05,0.0264769153840563
P2RY11,-0.95620707964057,3.22074949591396,17.032809243728,3.67394755560448e-05,0.0264769153840563
METRNL,-0.419551017806408,5.8834419101323,16.6784614091691,4.42809077177776e-05,0.0279156379445657
IGFBP2,-2.0483729336958,7.88926502723217,16.3942882956379,5.14400033655292e-05,0.0279156379445657
LPAR3,1.19824684765743,3.28590253056726,16.372720012764,5.20287004696958e-05,0.0279156379445657
CD300A,-0.94205159609867,3.48645835642527,16.301783940735,5.4013078057514e-05,0.0279156379445657
CAPRIN2,-0.790863921241926,3.59624588332512,16.2975464544399,5.41339990760116e-05,0.0279156379445657
GPD1,0.466152594558143,7.50936936779207,16.2941822483846,5.42301939718668e-05,0.0279156379445657
CTSK,-1.30902324158873,1.71705297638667,15.9666301945977,6.44689112105654e-05,0.0311237834987886
MRPL52,-0.380859262191131,6.7852176166909,15.9158788150369,6.62208159548694e-05,0.0311237834987886
EPHA1-AS1,-1.44886342700615,2.25754777033821,15.7694010347504,7.15503956773696e-05,0.0322274907196819
ITGA3,-1.48384848365018,1.99242663285679,15.6671081714797,7.55262600017936e-05,0.0326575548247755
PSD3,-0.673938586657314,4.93648986701243,14.9238615084202,0.000111938167469737,0.04654044578261
MMP14,-1.05518755345229,3.82704730291808,14.7333680558846,0.000123835115598637,0.0495799110970838
CCL18,-1.58051692428044,9.96779502730803,14.5316283828468,0.000137826070789165,0.0516526745576348
PKDCC,-1.50943119697849,2.14025793545796,14.5215046153417,0.000138568692152767,0.0516526745576348
TMEM9B-AS1,1.96703224031584,1.44940623407582,14.4379448739357,0.0001448540661315,0.0521957484960503
SLC25A25,0.890283858125632,3.75437207388693,14.0258587638464,0.000180313809102738,0.062877170206471
ICA1,-1.10244892842514,2.10656642274967,13.9231224037162,0.000190441244667358,0.0643334329641918
AIM2,-1.22304633129758,1.73829293641037,13.8294879921357,0.000200169909421727,0.065570809722693
TES,-0.567060916435633,4.74575899539421,13.6763433458334,0.000217173083792811,0.0690482657588319
SLC25A1,0.489738585099522,5.60528557225773,13.578685179151,0.000228768420388449,0.0694637484723531
ARHGDIB,0.220761469685908,9.04919131239983,13.5577711829347,0.000231331632285357,0.0694637484723531
ITGA1,1.65224940206486,2.31261975787756,13.3245351469469,0.000261955842209522,0.0765335852509443
SIRPB1,0.831090278001908,6.67973200967522,13.1155659386203,0.00029285232977989,0.0822170764699567
ATP9A,1.73913215461922,1.58529901606769,13.0916160276767,0.000296620349891611,0.0822170764699567
CHST7,1.47180958593642,2.13984772535343,12.9781759295806,0.000315142839139486,0.0851673522774462
CAMK1D,-0.635027386744779,5.14719329962719,12.8085113653024,0.000345046007025276,0.0898225262432167
