gene,logFC,logCPM,LR,PValue,FDR
PDE9A,1.95111900742623,2.74091144520956,32.0526940224871,1.50046873665334e-08,0.000162200670432226
SMPDL3A,1.99606783353776,1.6323583266161,28.9927085379154,7.26512435771491e-08,0.000255533027803968
CLIC2,1.2238088706438,3.12197743213,28.3779108145097,9.97975376314381e-08,0.000255533027803968
NEIL2,0.835426479391164,4.62883804757014,28.3509061083762,1.01199425125176e-07,0.000255533027803968
HRH4,2.88708466436818,2.0407792601234,28.0504620248389,1.18192889826072e-07,0.000255533027803968
SLC37A1,0.917577318181414,4.63840541377517,22.3393509583867,2.28476476990271e-06,0.00411638452710805
BCAT1,1.55486600317254,2.30722157059248,21.6808459596102,3.21990344699226e-06,0.00497245089456948
VAMP5,1.46869759054332,5.0572485480805,20.9216840694823,4.78447866328201e-06,0.00646502679375982
MTMR11,-1.12504283844036,3.71882692260553,20.3932799017475,6.30508157742634e-06,0.00757310353910875
NR1H3,0.727710762193419,4.92068314882635,19.7254408038585,8.94032239132614e-06,0.00966448850502355
GBP3,-0.955508941764161,6.05848374195013,17.4145808382111,3.00511869884042e-05,0.0262621030651615
GPD1,-0.475176509265134,7.50852829236503,17.3371977453511,3.12999691515517e-05,0.0262621030651615
CTSK,1.36950709831186,1.7150048643078,17.2365226235664,3.30030363791605e-05,0.0262621030651615
LPAR3,-1.22646393770012,3.28423842501803,17.1793149880949,3.40119743674617e-05,0.0262621030651615
IGFBP2,1.99942151811922,7.88934730534565,16.9663055801566,3.80491169972921e-05,0.0274207303160485
CD1D,-0.991539537179506,2.99330648361454,16.7521904914897,4.25930635181005e-05,0.0287769385394167
CD300A,0.975247319445511,3.48675979862374,16.229131299793,5.61244083011611e-05,0.0356885208079736
METRNL,0.413647832299205,5.8830912769516,16.0118863002064,6.2946050064452e-05,0.0378026000664848
EPHA1-AS1,1.43876334824767,2.25978325966855,15.6554355448021,7.59938485608346e-05,0.0432365001548748
PSD3,0.681663290594435,4.93527590369463,15.3956596412847,8.71883306315839e-05,0.0471252927063711
CCL18,1.52048814223986,9.96794748625332,14.6148481981297,0.000131871419060513,0.0674705828414454
CAPRIN2,0.759471218883611,3.59690269187062,14.5386558368024,0.000137312934552433,0.0674705828414454
ITGA3,1.48009249136271,1.98922518667173,14.3735296794159,0.000149894712012877,0.0704505146460523
CHST7,-1.47872855707803,2.13787856784781,13.572437469511,0.000229531125268311,0.100411890935725
ATP9A,-1.7757226786192,1.58445786622789,13.5505778748524,0.000232219914282436,0.100411890935725
ARHGDIB,-0.226988350582181,9.04867065349354,13.3819000195735,0.00025406422252251,0.102724976980328
CEACAM21,-0.667773231296055,5.30578048680661,13.2711794659783,0.000269517585126151,0.102724976980328
SLC25A1,-0.480746166344247,5.60596269429357,13.2225147350575,0.000276606248378748,0.102724976980328
ITGA1,-1.73308219564413,2.31359691961043,13.1901527189108,0.000281423963402447,0.102724976980328
TMEM9B-AS1,-1.8585545311739,1.45144849740207,13.1163650008812,0.000292727449218472,0.102724976980328
CAMK1D,0.665247657814847,5.14535588409619,13.0821326734524,0.000298125833011712,0.102724976980328
