,logFC,logCPM,LR,PValue,FDR
LILRA5,1.25255383686014,5.25764181158934,38.4848391400162,5.51806815215466e-10,5.96503167247919e-06
CDA,4.1152497720181,1.89408021941328,31.2519403391201,2.26620868124383e-08,0.000122488579221229
PADI2,5.51455429936875,3.67178923875542,29.400850506207,5.88518088719384e-08,0.000205736108007937
ZNF503,2.24068076551362,3.06846840785434,28.902157518326,7.61280695681541e-08,0.000205736108007937
TNNI2,-0.850005845445356,7.06646887766092,27.5719706426948,1.51356286554192e-07,0.000284365527631342
AQP3,-0.809985979117766,7.67980894612486,27.4909085951532,1.57834705438303e-07,0.000284365527631342
SH3BP5,0.726287014562559,6.70968069178264,23.017967463466,1.60494401277084e-06,0.0024784921111504
WFIKKN1,-2.76305485372611,1.36513983860176,22.5837693245985,2.01177019127758e-06,0.00271840447096383
SH3BP4,-1.48745886027443,3.45039720424841,22.1366204204816,2.53919460741945e-06,0.00301755145909594
CD164,-0.35952184451385,8.68123467472241,21.9548234199536,2.79144445799809e-06,0.00301755145909594
CREG1,-0.370851974539151,7.20941020053476,19.9039732802176,8.14309109113664e-06,0.00800243769956246
NID1,-2.23114454199863,1.92512585842266,19.1325517500211,1.21947196005491e-05,0.010985409906828
ABHD2,0.597480383466349,6.98662801466907,18.818161501012,1.43791374448165e-05,0.0119568058291128
HLA-DRB5,3.98754966611605,10.9123355840061,18.6121307367555,1.60197928146542e-05,0.0123695685947437
ERAP2,2.44387115073333,5.86282761466389,18.47491364936,1.72155488206568e-05,0.01240667218342
PLAC8,2.45559322169167,7.21964571029924,18.048477859759,2.15350748533761e-05,0.0145496349478122
RALGDS,-0.863004554482001,5.02153625497079,17.6206979485071,2.69637702549655e-05,0.0154924982097805
SCOC,-0.586881403667725,5.91603302764917,17.5838840886497,2.74908238499971e-05,0.0154924982097805
VMO1,1.18915918697618,7.40528750298257,17.5106337542098,2.85705247186028e-05,0.0154924982097805
NBPF14,1.88455104421414,2.18211138661888,17.5044718097254,2.86632714334514e-05,0.0154924982097805
LINC00937,2.35311278920992,1.95067418977318,17.1883720061741,3.38501993855805e-05,0.0174247931122917
NUCB1,-0.467112515255639,7.78518157244327,17.037690520567,3.66451538035201e-05,0.017524508152361
LINC00685,1.1911507319642,3.79414510058129,17.0047619380682,3.72861875582148e-05,0.017524508152361
HLA-DQA2,4.84439497434904,7.29959830523093,16.8241564393575,4.10079648059424e-05,0.0184706708146765
SERINC2,-1.04926018347163,4.84874354872205,15.9851109434421,6.38426104993173e-05,0.0276055447799048
PDE4B,1.31834724620016,3.97206765725311,15.8414243204452,6.88779736733625e-05,0.0286373421311173
CCND2,-2.07917923947366,1.95649169056165,15.6489569978912,7.62546253972302e-05,0.0305300926127429
VNN2,1.15936611222152,3.52113658176928,15.5202623644156,8.16255988854768e-05,0.0315133115697144
OPN3,0.671756896298873,6.54139011316296,15.328703317395,9.0333493051116e-05,0.0329219695187721
CLEC4D,2.2507029550463,2.62670787527096,15.3072472437869,9.13653178134286e-05,0.0329219695187721
TMEM170B,0.780012704738374,4.74615728582249,14.710653937539,0.000125336116646252,0.043705916804709
VDAC1,-0.355105636450253,7.9427940616873,14.636269263876,0.000130381037152607,0.0440443441131149
CCDC102B,-1.79788806239524,2.26468675034754,14.4729814601357,0.000142184391700212,0.044115954327276
TPM3,-0.293378696920415,9.52823816712003,14.3656079276376,0.000150526683574814,0.044115954327276
GTF2E1,-0.896423892295382,4.08778721012995,14.341670110959,0.000152452715462754,0.044115954327276
LY6E,-0.457705747635845,9.97828106507535,14.3299037373211,0.000153408513375348,0.044115954327276
CCND3,-0.464643817480257,7.41855408352561,14.3139743004758,0.000154712104395428,0.044115954327276
SYNE3,-2.45138194486224,1.22815086411217,14.2669310669232,0.00015862738980506,0.044115954327276
SCP2,-0.378754123222117,8.19727337817141,14.260619265062,0.000159160242253817,0.044115954327276
ADAMTS1,-4.15068751949475,2.98397128087316,14.0406189089178,0.000178904053661137,0.0480106001935742
FLOT2,-0.426073850601228,6.43573893035345,14.0073868112861,0.000182093858273501,0.0480106001935742
LILRB2,1.08960005244784,4.55820767766249,13.6949481560704,0.000215032144919462,0.0544081330181891
GSDMD,-0.548435941926413,5.77299425057032,13.6828267604591,0.000216424580923416,0.0544081330181891
MGST1,-1.29642814719209,6.03731535980782,13.6311848104162,0.000222459449988759,0.0546542421449656
AKR1B1,0.662517636755345,6.87394901884316,13.5192656224163,0.000236126800381822,0.0567229047139443
ENTPD1,0.858897324903188,4.52972834480274,13.4390001393964,0.000246446934639808,0.0575546821950936
ITGAM,-0.807772606776984,5.93997045464412,13.3922996161415,0.00025265943032053,0.0575546821950936
SIDT2,-0.367532169214933,6.67374379282834,13.3708760237722,0.000255561956092923,0.0575546821950936
TANGO2,0.83491805984389,4.38861377454152,13.2072115327214,0.000278873977726056,0.0615230142697687
SAMD12,-1.98711154581028,1.50913406272352,13.1244857550922,0.000291461347342992,0.0621656072635711
PARK7,-0.296578823880645,8.07321032317219,13.1127793513323,0.000293288248884563,0.0621656072635711
ARHGAP24,1.21330211688279,4.87042373983466,13.0731026454051,0.000299566510220676,0.0622752687593366
SPINT1,-0.595578282241982,5.69652862188294,12.9554941577264,0.000318983980805953,0.0650606949530632
RILPL1,1.55276908036747,2.41823641782427,12.7545164968394,0.000355150543926372,0.07109587740452
MLXIP,0.809441267143778,4.36671384071841,12.6442981392235,0.000376712871824129,0.0737475527871845
RGS19,-0.328799804084178,7.00672903892527,12.6180435807027,0.000382040976510854,0.0737475527871845
MPEG1,0.741029403250925,6.09484361424496,12.5564625961358,0.000394838447054586,0.074744125435484
TMOD2,1.13170358980309,3.22914364007277,12.5273773745969,0.00040103231038465,0.074744125435484
LINC00881,-1.54438207559312,2.53858464674782,12.4175841506783,0.000425310076590459,0.0778895153700469
