,Set,N,DE,P.DE,FDR
1,GOBP_MYOBLAST_MIGRATION,12,1,0.000572109654350395,1
2,GOBP_POSITIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,31,1,0.00147794994040529,1
3,GOBP_POSITIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,61,1,0.00290822407628144,1
4,GOBP_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE,63,1,0.00300357568533927,1
5,GOBP_CELLULAR_RESPONSE_TO_IONIZING_RADIATION,64,1,0.00305125148986884,1
6,GOBP_MUSCLE_CELL_MIGRATION,71,1,0.00338498212157368,1
7,GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,77,1,0.00367103694874849,1
8,GOBP_RESPONSE_TO_HYDROGEN_PEROXIDE,88,1,0.00419547079856963,1
9,GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,123,1,0.00586412395709179,1
10,GOBP_RESPONSE_TO_IONIZING_RADIATION,128,1,0.0061025029797378,1
11,GOBP_CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES,135,1,0.00643623361144186,1
12,GOBP_CELLULAR_RESPONSE_TO_RADIATION,155,1,0.00738974970202566,1
13,GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY,174,1,0.008295589988081,1
14,GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES,175,1,0.0083432657926098,1
15,GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY,209,1,0.00996424314660316,1
16,GOBP_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS,223,1,0.0106317044100119,1
17,GOBP_REGULATION_OF_GTPASE_ACTIVITY,234,1,0.0111561382598331,1
18,GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,270,1,0.0128724672228848,1
19,GOBP_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS,280,1,0.0133492252681765,1
20,GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,281,1,0.0133969010727061,1
