,Set,N,DE,P.DE,FDR
1,GOBP_POSITIVE_REGULATION_OF_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE,44,3,8.00882733604225e-05,0.630009634010373
2,GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,54,3,0.000148026450967479,0.630009634010373
3,GOCC_SECRETORY_VESICLE,867,8,0.000194368419330538,0.630009634010373
4,GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY,13,2,0.00027160602408762,0.630009634010373
5,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,67,3,0.000281029052743062,0.630009634010373
6,GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX,14,2,0.000316492001535517,0.630009634010373
7,GOBP_POSITIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,14,2,0.000316492001535517,0.630009634010373
8,GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,15,2,0.000364743245386215,0.630009634010373
9,GOCC_SECRETORY_GRANULE,731,7,0.000411795256855829,0.630009634010373
10,GOCC_STRIATED_MUSCLE_THIN_FILAMENT,16,2,0.000416347420844875,0.630009634010373
11,GOCC_AZUROPHIL_GRANULE_LUMEN,78,3,0.000439866223325919,0.630009634010373
12,GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION,344,5,0.000469776648736996,0.630009634010373
13,GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX,19,2,0.000591154680009072,0.679532304670428
14,GOCC_MYOFILAMENT,19,2,0.000591154680009072,0.679532304670428
15,GOMF_SIGNALING_RECEPTOR_INHIBITOR_ACTIVITY,20,2,0.000656047888210663,0.70385191099828
16,GOBP_RELAXATION_OF_MUSCLE,23,2,0.000870429473953387,0.823989501431286
17,GOCC_MHC_PROTEIN_COMPLEX,23,2,0.000870429473953387,0.823989501431286
18,GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,101,3,0.0009348094827926,0.83577161147674
19,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,25,2,0.00102964784258718,0.872111722671344
20,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,109,3,0.00116527593107613,0.937639277940406
