,Set,N,DE,P.DE,FDR
1,HALLMARK_ESTROGEN_RESPONSE_EARLY,183,4,0.0003980393595557,0.019901967977785
2,HALLMARK_ANDROGEN_RESPONSE,97,3,0.000831418668154196,0.0207854667038549
3,HALLMARK_UV_RESPONSE_UP,145,3,0.00263459327934644,0.0439098879891073
4,HALLMARK_P53_PATHWAY,194,3,0.00594850566507234,0.0743563208134042
5,HALLMARK_DNA_REPAIR,148,2,0.0322325568612782,0.189349835166269
6,HALLMARK_MYOGENESIS,155,2,0.0350723772156214,0.189349835166269
7,HALLMARK_ESTROGEN_RESPONSE_LATE,176,2,0.0441442413358613,0.189349835166269
8,HALLMARK_HEME_METABOLISM,178,2,0.0450495609079414,0.189349835166269
9,HALLMARK_ALLOGRAFT_REJECTION,185,2,0.0482722752531489,0.189349835166269
10,HALLMARK_COMPLEMENT,187,2,0.0492082495376505,0.189349835166269
11,HALLMARK_ANGIOGENESIS,27,1,0.0501273909476927,0.189349835166269
12,HALLMARK_INFLAMMATORY_RESPONSE,191,2,0.0511000621445808,0.189349835166269
13,HALLMARK_IL2_STAT5_SIGNALING,192,2,0.0515771091045255,0.189349835166269
14,HALLMARK_INTERFERON_GAMMA_RESPONSE,195,2,0.0530179538465552,0.189349835166269
15,HALLMARK_APICAL_SURFACE,38,1,0.0698392052642151,0.223785216921166
16,HALLMARK_WNT_BETA_CATENIN_SIGNALING,39,1,0.0716112694147731,0.223785216921166
17,HALLMARK_PEROXISOME,95,1,0.165760536686289,0.440405474212679
18,HALLMARK_BILE_ACID_METABOLISM,96,1,0.167354080200818,0.440405474212679
19,HALLMARK_INTERFERON_ALPHA_RESPONSE,96,1,0.167354080200818,0.440405474212679
20,HALLMARK_APOPTOSIS,153,1,0.253439450662044,0.588582956366677
