,Set,N,DE,P.DE,FDR
1,REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,24,2,0.000409849199498346,0.711088361129631
2,REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,188,3,0.00163612399048978,0.990651349519065
3,REACTOME_COLLAGEN_DEGRADATION,49,2,0.00171294181473037,0.990651349519065
4,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,241,3,0.00330967080069694,1
5,REACTOME_GPCR_LIGAND_BINDING,261,3,0.00413860196699704,1
6,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_GLUCONEOGENESIS,4,1,0.00500045322646681,1
7,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,91,2,0.0057748571810389,1
8,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_TRIGLYCERIDE_LIPOLYSIS_IN_ADIPOSE,5,1,0.00624679921407501,1
9,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_LIMIT_CHOLESTEROL_UPTAKE,5,1,0.00624679921407501,1
10,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,108,2,0.00804247328605742,1
11,REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,7,1,0.00873498263405847,1
12,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_CONTROL_BILE_ACID_HOMEOSTASIS,8,1,0.00997682355225105,1
13,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_KERATINOCYTES,8,1,0.00997682355225105,1
14,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,125,2,0.0106474312870654,1
15,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS,9,1,0.0112171662632197,1
16,REACTOME_P2Y_RECEPTORS,9,1,0.0112171662632197,1
17,REACTOME_TGFBR3_PTM_REGULATION,10,1,0.0124560125050246,1
18,REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS,11,1,0.0136933640137888,1
19,REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,143,2,0.0137575798686814,1
20,REACTOME_CGMP_EFFECTS,12,1,0.0149292225237024,1
