,Set,NGenes,Direction,PValue,FDR,DEG.GENES
1,GOCC_LYSOSOMAL_LUMEN,63,Up,6.49994837321004e-07,0.0103771675778298,LGMN,NPC2,CTSB
2,GOCC_ENDOLYSOSOME_LUMEN,5,Up,1.88155033153992e-06,0.0150194755215174,LGMN,CTSB
3,GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND,14,Up,1.01560239821818e-05,0.0540469742918443,
4,GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,140,Up,1.37995540901553e-05,0.0550774702623324,NID1,EGFL7,CTSB
5,HP_DECEREBRATE_RIGIDITY,4,Up,2.24383576814203e-05,0.0681376079552382,
6,HP_CHERRY_RED_SPOT_OF_THE_MACULA,13,Up,2.63249599493246e-05,0.0681376079552382,
7,GOBP_DETOXIFICATION_OF_COPPER_ION,9,Up,2.98755562597349e-05,0.0681376079552382,
8,GOCC_VACUOLAR_LUMEN,122,Up,4.10399199540455e-05,0.081900290258292,LGMN,NPC2,FTL,CTSB,PADI2
9,GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE,159,Up,0.00011187403831198,0.198452113516752,NID1,EGFL7,CTSB
10,GOBP_GRANZYME_MEDIATED_PROGRAMMED_CELL_DEATH_SIGNALING_PATHWAY,5,Up,0.00013810221793329,0.220480190930497,BNIP3
11,HP_COMPENSATED_HYPOTHYROIDISM,1,Down,0.00018141231925781,0.262840515364703,TANGO2
12,HP_DELAYED_BRAINSTEM_AUDITORY_EVOKED_RESPONSE_CONDUCTION_TIME,3,Up,0.000200898105468829,0.262840515364703,
13,GOMF_PROTEIN_ARGININE_DEIMINASE_ACTIVITY,1,Down,0.000214026100829385,0.262840515364703,PADI2
14,GOMF_PHOSPHATIDYLGLYCEROL_BINDING,11,Up,0.000367586669112428,0.320881857552136,
15,GOBP_NEGATIVE_REGULATION_OF_FERROPTOSIS,7,Up,0.000371257795706874,0.320881857552136,
16,GOCC_TUBULAR_ENDOSOME,5,Up,0.00037178681528315,0.320881857552136,
17,HP_LOSS_OF_VOICE,6,Up,0.000391547471934102,0.320881857552136,FTL
18,GOBP_POSITIVE_REGULATION_OF_CELLULAR_EXTRAVASATION,12,Up,0.000396179760747603,0.320881857552136,
19,GOMF_G_PROTEIN_BETA_SUBUNIT_BINDING,6,Up,0.000419904015992366,0.320881857552136,
20,GOBP_REGULATION_OF_CELLULAR_EXTRAVASATION,21,Up,0.000426707785535835,0.320881857552136,
21,HP_PULVERULENT_CATARACT,4,Up,0.000440904811954865,0.320881857552136,FTL
22,GOBP_CELLULAR_RESPONSE_TO_CADMIUM_ION,27,Up,0.000460655066087967,0.320881857552136,
23,GOCC_SPERM_ANNULUS,4,Down,0.000504408697129626,0.320881857552136,
24,GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS,15,Up,0.000519753731917933,0.320881857552136,LGMN
25,GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE,5,Up,0.000533496638064375,0.320881857552136,
26,GOMF_PROTEOGLYCAN_BINDING,18,Up,0.000573914658928843,0.320881857552136,NID1,CTSB
27,GOMF_FERRIC_IRON_BINDING,5,Up,0.000578453001201096,0.320881857552136,FTL
28,GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS,9,Up,0.000588772324739618,0.320881857552136,CTSB
29,GOBP_RESPONSE_TO_INTERFERON_ALPHA,16,Up,0.000597542385398049,0.320881857552136,MX2
30,HP_UNEXPLAINED_FEVERS,12,Up,0.000602972485221677,0.320881857552136,
