Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOBP_REGULATION_OF_T_CELL_COSTIMULATION,2,Up,1.6363071650368e-07,0.00260696457533663,LILRB2
GOBP_FC_RECEPTOR_MEDIATED_INHIBITORY_SIGNALING_PATHWAY,4,Up,8.38295646736172e-07,0.00667786312190035,LILRB2
GOMF_G_PROTEIN_COUPLED_ADENOSINE_RECEPTOR_ACTIVITY,2,Down,1.73236551122235e-06,0.00920001577493148,""
GOMF_INHIBITORY_MHC_CLASS_I_RECEPTOR_ACTIVITY,5,Up,2.55252460597053e-06,0.0101667055055806,LILRB2
GOBP_INTERLEUKIN_10_MEDIATED_SIGNALING_PATHWAY,10,Up,3.49519234303588e-06,0.0107056803470558,LILRB2
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,79,Up,4.03176513195672e-06,0.0107056803470558,""
GOMF_MHC_CLASS_I_RECEPTOR_ACTIVITY,7,Up,6.63574459643028e-06,0.0151029547014753,LILRB2
GOCC_RESPIRASOME,81,Up,2.2968912937091e-05,0.0370052898424237,""
GOBP_CELL_MIGRATION_INVOLVED_IN_KIDNEY_DEVELOPMENT,1,Up,2.79797292605519e-05,0.0370052898424237,PDGFB
GOBP_CELL_MIGRATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT,1,Up,2.79797292605519e-05,0.0370052898424237,PDGFB
GOBP_REGULATION_OF_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS,1,Up,2.79797292605519e-05,0.0370052898424237,PDGFB
GOBP_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DEDIFFERENTIATION,1,Up,2.79797292605519e-05,0.0370052898424237,PDGFB
GOMF_PLATELET_DERIVED_GROWTH_FACTOR_BINDING,2,Up,3.14301559018523e-05,0.0370052898424237,PDGFB
GOBP_AMP_CATABOLIC_PROCESS,2,Up,3.25178293870156e-05,0.0370052898424237,""
GOBP_REVERSIBLE_DIFFERENTIATION,3,Up,4.58043877219796e-05,0.0470088150764866,PDGFB
GOBP_IMMUNE_RESPONSE_INHIBITING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,5,Up,4.80276847065316e-05,0.0470088150764866,LILRB2
GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,53,Up,5.28156932007757e-05,0.0470088150764866,""
GOBP_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,7,Up,5.46649987128746e-05,0.0470088150764866,PDGFB
GOBP_PURINE_RIBONUCLEOTIDE_SALVAGE,7,Up,5.60612281228499e-05,0.0470088150764866,""
HP_CEREBELLAR_DENTATE_NUCLEUS_CALCIFICATION,4,Up,9.31972104100588e-05,0.0664952779812806,PDGFB
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_MIGRATION,4,Up,9.50684687483583e-05,0.0664952779812806,""
HP_CEREBELLAR_CALCIFICATIONS,5,Up,0.000101738458827591,0.0664952779812806,PDGFB
GOCC_GROWTH_FACTOR_COMPLEX,3,Up,0.000102094595468754,0.0664952779812806,PDGFB
GOCC_NADH_DEHYDROGENASE_COMPLEX,42,Up,0.000102540182076244,0.0664952779812806,""
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,136,Up,0.00010880257086597,0.0664952779812806,""
GOBP_OXIDATIVE_PHOSPHORYLATION,117,Up,0.000115175816916462,0.0664952779812806,""
GOMF_CELL_MATRIX_ADHESION_MEDIATOR_ACTIVITY,2,Down,0.000116863405942497,0.0664952779812806,ITGA1
GOMF_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION,2,Down,0.000116863405942497,0.0664952779812806,ITGA1
GOBP_HEAT_GENERATION,9,Down,0.000135093074915059,0.0742173403291973,""
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,64,Up,0.000158295450072342,0.0840654370184182,""
GOBP_REGULATION_OF_RIBONUCLEASE_ACTIVITY,8,Down,0.000186294553046352,0.0957433812624025,""
GOMF_COLLAGEN_BINDING,30,Up,0.000229900193675254,0.11264457290845,"ITGA1,PDGFB"
GOMF_LBD_DOMAIN_BINDING,4,Down,0.000233419649739772,0.11264457290845,""
GOMF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BINDING,9,Up,0.000240587850417636,0.11264457290845,PDGFB
GOBP_NUCLEOTIDE_SALVAGE,15,Up,0.000271798202694251,0.11264457290845,CDA
GOBP_REGULATION_OF_BINDING_OF_SPERM_TO_ZONA_PELLUCIDA,1,Up,0.000279640867303829,0.11264457290845,""
GOCC_EGG_COAT,1,Up,0.000279640867303829,0.11264457290845,""
GOMF_ACROSIN_BINDING,1,Up,0.000279640867303829,0.11264457290845,""
GOMF_IMMUNE_RECEPTOR_ACTIVITY,71,Up,0.000285418746653012,0.11264457290845,LILRB2
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION,15,Up,0.000287715755179522,0.11264457290845,""
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,42,Up,0.000296282948805155,0.11264457290845,""
GOBP_POSITIVE_REGULATION_OF_PODOSOME_ASSEMBLY,8,Down,0.000296954058633876,0.11264457290845,ARHGEF5
GOBP_ELECTRON_TRANSPORT_CHAIN,105,Up,0.000304621711620271,0.112865886268236,""
GOBP_IRON_IMPORT_INTO_CELL,4,Up,0.000339360050726523,0.121250313973166,SLC39A8
GOMF_NADH_DEHYDROGENASE_UBIQUINONE_ACTIVITY,34,Up,0.000342472014109495,0.121250313973166,""
GOBP_POSITIVE_REGULATION_OF_ACROSOME_REACTION,2,Up,0.000363060500962856,0.125745215246526,""
GOBP_POSITIVE_REGULATION_OF_HEPATOCYTE_PROLIFERATION,6,Down,0.000405211172222028,0.136533989974283,""
GOMF_STRUCTURAL_CONSTITUENT_OF_SKIN_EPIDERMIS,4,Down,0.000411350208308159,0.136533989974283,""
GOCC_PRP19_COMPLEX,14,Down,0.000425557831555924,0.138367089231612,""
GOBP_POSITIVE_REGULATION_OF_CGMP_MEDIATED_SIGNALING,1,Down,0.000450464688458154,0.14228973345545,""
