,Set,NGenes,Direction,PValue,FDR
1,HALLMARK_INTERFERON_ALPHA_RESPONSE,93,Up,0.000182223471537851,0.00632758471176309
2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,Up,0.000253103388470524,0.00632758471176309
3,HALLMARK_DNA_REPAIR,142,Down,0.051642729522655,0.860712158710917
4,HALLMARK_E2F_TARGETS,170,Down,0.094108423633462,0.997944351027729
5,HALLMARK_CHOLESTEROL_HOMEOSTASIS,62,Up,0.101799773590826,0.997944351027729
6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,Down,0.119794026352739,0.997944351027729
7,HALLMARK_KRAS_SIGNALING_DN,54,Down,0.15033529766689,0.997944351027729
8,HALLMARK_HEDGEHOG_SIGNALING,15,Down,0.21384300681423,0.997944351027729
9,HALLMARK_APICAL_SURFACE,18,Down,0.220739880017555,0.997944351027729
10,HALLMARK_APOPTOSIS,125,Up,0.276568649946264,0.997944351027729
11,HALLMARK_IL6_JAK_STAT3_SIGNALING,70,Down,0.280038113747614,0.997944351027729
12,HALLMARK_XENOBIOTIC_METABOLISM,132,Down,0.280240509992852,0.997944351027729
13,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,88,Down,0.286416068887977,0.997944351027729
14,HALLMARK_PI3K_AKT_MTOR_SIGNALING,85,Up,0.363801568401637,0.997944351027729
15,HALLMARK_PEROXISOME,79,Up,0.38816707427702,0.997944351027729
16,HALLMARK_INTERFERON_GAMMA_RESPONSE,182,Up,0.422886126844364,0.997944351027729
17,HALLMARK_APICAL_JUNCTION,105,Up,0.434729443258025,0.997944351027729
18,HALLMARK_ALLOGRAFT_REJECTION,135,Down,0.454884189360643,0.997944351027729
19,HALLMARK_ESTROGEN_RESPONSE_EARLY,113,Down,0.466942325347877,0.997944351027729
20,HALLMARK_TGF_BETA_SIGNALING,47,Down,0.501483549164599,0.997944351027729
21,HALLMARK_COAGULATION,74,Down,0.507136361739439,0.997944351027729
22,HALLMARK_GLYCOLYSIS,139,Down,0.578070126427981,0.997944351027729
23,HALLMARK_MYC_TARGETS_V1,191,Down,0.606174394130328,0.997944351027729
24,HALLMARK_ANGIOGENESIS,19,Up,0.675643598594493,0.997944351027729
25,HALLMARK_PANCREAS_BETA_CELLS,11,Up,0.677877254721761,0.997944351027729
26,HALLMARK_HYPOXIA,140,Up,0.684698758979011,0.997944351027729
27,HALLMARK_P53_PATHWAY,163,Down,0.699505145616385,0.997944351027729
28,HALLMARK_MITOTIC_SPINDLE,173,Up,0.704617459997497,0.997944351027729
29,HALLMARK_UV_RESPONSE_DN,100,Up,0.704711785333023,0.997944351027729
30,HALLMARK_SPERMATOGENESIS,58,Up,0.742719073563434,0.997944351027729
31,HALLMARK_MYOGENESIS,93,Up,0.76039204219353,0.997944351027729
32,HALLMARK_MTORC1_SIGNALING,176,Up,0.804687116511618,0.997944351027729
33,HALLMARK_BILE_ACID_METABOLISM,71,Up,0.831898900527199,0.997944351027729
34,HALLMARK_ANDROGEN_RESPONSE,81,Up,0.839571920759698,0.997944351027729
35,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,104,Up,0.860609818315367,0.997944351027729
36,HALLMARK_MYC_TARGETS_V2,55,Down,0.865166647306479,0.997944351027729
37,HALLMARK_PROTEIN_SECRETION,90,Down,0.914258878661382,0.997944351027729
38,HALLMARK_FATTY_ACID_METABOLISM,130,Up,0.915879336627734,0.997944351027729
39,HALLMARK_ADIPOGENESIS,171,Down,0.919908368145827,0.997944351027729
40,HALLMARK_COMPLEMENT,147,Down,0.929676806355753,0.997944351027729
41,HALLMARK_NOTCH_SIGNALING,25,Up,0.934000512874213,0.997944351027729
42,HALLMARK_ESTROGEN_RESPONSE_LATE,103,Down,0.936395334641827,0.997944351027729
43,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Down,0.946089401611107,0.997944351027729
44,HALLMARK_WNT_BETA_CATENIN_SIGNALING,29,Down,0.946406626894788,0.997944351027729
45,HALLMARK_HEME_METABOLISM,142,Down,0.958337529141549,0.997944351027729
46,HALLMARK_IL2_STAT5_SIGNALING,148,Down,0.975241253838135,0.997944351027729
47,HALLMARK_KRAS_SIGNALING_UP,123,Down,0.984488266343676,0.997944351027729
48,HALLMARK_G2M_CHECKPOINT,158,Down,0.988569255091456,0.997944351027729
49,HALLMARK_INFLAMMATORY_RESPONSE,143,Down,0.992325925975508,0.997944351027729
50,HALLMARK_UV_RESPONSE_UP,119,Up,0.997944351027729,0.997944351027729
