Set,NGenes,Direction,PValue,FDR,DEG.GENES
HALLMARK_CHOLESTEROL_HOMEOSTASIS,64,Down,0.000174462535824093,0.00872312679120462,LDLR
HALLMARK_WNT_BETA_CATENIN_SIGNALING,30,Down,0.0125301335652229,0.313253339130573,""
HALLMARK_INTERFERON_ALPHA_RESPONSE,94,Down,0.0359108024703659,0.508271746787314,""
HALLMARK_APICAL_SURFACE,20,Up,0.0406617397429852,0.508271746787314,""
HALLMARK_MTORC1_SIGNALING,185,Down,0.0543381430972511,0.543381430972511,LDLR
HALLMARK_COAGULATION,77,Up,0.104977145960022,0.809927077247521,C3
HALLMARK_PEROXISOME,80,Down,0.156099521789796,0.809927077247521,""
HALLMARK_INTERFERON_GAMMA_RESPONSE,183,Down,0.160175817437895,0.809927077247521,ST3GAL5
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,92,Up,0.163010044550231,0.809927077247521,"TGM2,RHOB"
HALLMARK_TGF_BETA_SIGNALING,47,Down,0.166462693823828,0.809927077247521,""
HALLMARK_INFLAMMATORY_RESPONSE,146,Up,0.194247464666761,0.809927077247521,"LDLR,ABCA1"
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Up,0.194382498539405,0.809927077247521,""
HALLMARK_PANCREAS_BETA_CELLS,12,Down,0.252357821119735,0.893107618636878,""
HALLMARK_SPERMATOGENESIS,62,Down,0.294839818783509,0.893107618636878,""
HALLMARK_XENOBIOTIC_METABOLISM,134,Up,0.297847797736882,0.893107618636878,""
HALLMARK_TNFA_SIGNALING_VIA_NFKB,179,Down,0.314854164907941,0.893107618636878,"LDLR,ABCA1,RHOB"
HALLMARK_ESTROGEN_RESPONSE_EARLY,117,Down,0.350253461839335,0.893107618636878,TGM2
HALLMARK_FATTY_ACID_METABOLISM,131,Down,0.352220093041568,0.893107618636878,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,87,Down,0.443038786682032,0.893107618636878,PRKCB
HALLMARK_IL6_JAK_STAT3_SIGNALING,70,Up,0.460002166274087,0.893107618636878,""
HALLMARK_KRAS_SIGNALING_UP,128,Up,0.46410981396454,0.893107618636878,""
HALLMARK_PROTEIN_SECRETION,90,Up,0.468064486595744,0.893107618636878,ABCA1
HALLMARK_ESTROGEN_RESPONSE_LATE,111,Up,0.473754570228915,0.893107618636878,""
HALLMARK_ALLOGRAFT_REJECTION,138,Up,0.519433407065786,0.893107618636878,"CCR5,PRKCB"
HALLMARK_COMPLEMENT,153,Up,0.53080779568225,0.893107618636878,C3
HALLMARK_HEME_METABOLISM,142,Down,0.53933704703804,0.893107618636878,"C3,NFE2"
HALLMARK_NOTCH_SIGNALING,25,Down,0.541653184169136,0.893107618636878,""
HALLMARK_DNA_REPAIR,144,Up,0.545391393794338,0.893107618636878,""
HALLMARK_MYC_TARGETS_V1,194,Up,0.589278845064831,0.893107618636878,""
HALLMARK_ANDROGEN_RESPONSE,82,Down,0.589471267561004,0.893107618636878,""
HALLMARK_G2M_CHECKPOINT,171,Down,0.61175088190701,0.893107618636878,BRCA2
HALLMARK_HEDGEHOG_SIGNALING,18,Up,0.623934536042569,0.893107618636878,""
HALLMARK_APOPTOSIS,127,Down,0.634013136088246,0.893107618636878,RHOB
HALLMARK_MYC_TARGETS_V2,56,Up,0.63754857744289,0.893107618636878,""
HALLMARK_HYPOXIA,143,Down,0.63791272906774,0.893107618636878,TGM2
HALLMARK_ADIPOGENESIS,173,Up,0.667592526552656,0.893107618636878,"C3,ABCA1"
HALLMARK_ANGIOGENESIS,19,Down,0.688765643425904,0.893107618636878,""
HALLMARK_P53_PATHWAY,164,Down,0.709894118473056,0.893107618636878,""
HALLMARK_MYOGENESIS,99,Up,0.713731445079544,0.893107618636878,TNNT1
HALLMARK_MITOTIC_SPINDLE,183,Down,0.714486094909503,0.893107618636878,BRCA2
HALLMARK_APICAL_JUNCTION,109,Down,0.768364653396511,0.937030065117696,NECTIN2
HALLMARK_E2F_TARGETS,182,Down,0.790244030066635,0.940766702460279,BRCA2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,Up,0.825278840721375,0.944415757376563,""
HALLMARK_UV_RESPONSE_UP,121,Down,0.833424773302667,0.944415757376563,RHOB
HALLMARK_GLYCOLYSIS,143,Up,0.876089412905821,0.944415757376563,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,104,Up,0.886905098564095,0.944415757376563,""
HALLMARK_IL2_STAT5_SIGNALING,154,Up,0.887750811933969,0.944415757376563,"COL6A1,TGM2,RHOB"
HALLMARK_UV_RESPONSE_DN,103,Down,0.956582746545021,0.984126371031241,LDLR
HALLMARK_BILE_ACID_METABOLISM,73,Up,0.964443843610616,0.984126371031241,ABCA1
HALLMARK_KRAS_SIGNALING_DN,56,Down,0.984747962844028,0.984747962844028,""
