,Set,NGenes,Direction,PValue,FDR
1,REACTOME_CA2_ACTIVATED_K_CHANNELS,4,Down,0.000245180765326643,0.168051314566652
2,REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,2,Down,0.000351858989185547,0.168051314566652
3,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,60,Up,0.000500548612234216,0.168051314566652
4,REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,6,Down,0.000542428828039719,0.168051314566652
5,REACTOME_CHL1_INTERACTIONS,4,Up,0.000592029734600506,0.168051314566652
6,REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,17,Up,0.00059312228670583,0.168051314566652
7,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,139,Down,0.00133133275792554,0.317728480543351
8,REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,18,Up,0.00194795696610495,0.317728480543351
9,REACTOME_OAS_ANTIVIRAL_RESPONSE,8,Up,0.00206020621233884,0.317728480543351
10,REACTOME_CGMP_EFFECTS,6,Down,0.00209120890860775,0.317728480543351
11,REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,6,Down,0.00209120890860775,0.317728480543351
12,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,10,Down,0.00262826798659203,0.317728480543351
13,REACTOME_ATTENUATION_PHASE,23,Up,0.00318591076856099,0.317728480543351
14,REACTOME_COMPLEX_IV_ASSEMBLY,40,Down,0.00324332235557912,0.317728480543351
15,REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,40,Up,0.00338579879256091,0.317728480543351
16,REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS,6,Up,0.00352720501649129,0.317728480543351
17,REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,3,Up,0.00365698697949699,0.317728480543351
18,REACTOME_RELEASE_OF_HH_NP_FROM_THE_SECRETING_CELL,2,Up,0.00366869478513416,0.317728480543351
19,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,67,Down,0.00371349771525445,0.317728480543351
20,REACTOME_THE_PHOTOTRANSDUCTION_CASCADE,16,Down,0.00412810058503875,0.317728480543351
21,REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE,1,Down,0.00430055790807669,0.317728480543351
22,REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,15,Down,0.00442510263741949,0.317728480543351
23,REACTOME_TIE2_SIGNALING,14,Up,0.00443514516881455,0.317728480543351
24,REACTOME_COMPLEX_I_BIOGENESIS,62,Down,0.0045343621563921,0.317728480543351
25,REACTOME_BETA_DEFENSINS,3,Down,0.00467247765504928,0.317728480543351
26,REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,1,Up,0.00674268064169921,0.440867580418795
27,REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS,5,Down,0.00717536830679627,0.451782448946432
28,REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,223,Down,0.00768015798700368,0.465633755603064
29,REACTOME_METABOLISM_OF_NUCLEOTIDES,75,Down,0.0081193579901553,0.465633755603064
30,REACTOME_MISCELLANEOUS_SUBSTRATES,2,Down,0.00821706627534818,0.465633755603064
31,REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,15,Up,0.00912927717866663,0.483984759063272
32,REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,22,Up,0.00939032806971807,0.483984759063272
33,REACTOME_NUCLEOTIDE_SALVAGE,20,Down,0.0093949982641694,0.483984759063272
34,REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO,4,Up,0.00978065804346074,0.486300221298819
35,REACTOME_DEFENSINS,4,Down,0.0105327492617137,0.486300221298819
36,REACTOME_GAP_JUNCTION_ASSEMBLY,6,Up,0.0110674036570636,0.486300221298819
37,REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE,6,Up,0.0110674036570636,0.486300221298819
38,REACTOME_DAP12_INTERACTIONS,30,Up,0.0117362412086697,0.486300221298819
39,REACTOME_SARS_COV_1_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS,13,Up,0.0126649342330458,0.486300221298819
40,REACTOME_PCP_CE_PATHWAY,76,Down,0.0126687511800584,0.486300221298819
41,REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE,7,Down,0.0131493253415052,0.486300221298819
42,REACTOME_SIGNALING_BY_ERBB2,37,Up,0.0135201523651155,0.486300221298819
43,REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS,2,Down,0.0135566274152143,0.486300221298819
44,REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,13,Up,0.0138778523054068,0.486300221298819
45,REACTOME_LGI_ADAM_INTERACTIONS,1,Down,0.0142826419620326,0.486300221298819
46,REACTOME_PD_1_SIGNALING,17,Down,0.0145336996824042,0.486300221298819
47,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G1_CELL_CYCLE_ARREST,8,Down,0.0151173611848681,0.486300221298819
48,REACTOME_COLLAGEN_DEGRADATION,18,Down,0.0152070200540386,0.486300221298819
49,REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,5,Up,0.0153304975547211,0.486300221298819
50,REACTOME_PURINE_SALVAGE,12,Down,0.0154161796852569,0.486300221298819
51,REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,1,Up,0.015494589251953,0.486300221298819
52,REACTOME_CIPROFLOXACIN_ADME,1,Up,0.015494589251953,0.486300221298819
53,REACTOME_SIGNALING_BY_PDGFR_IN_DISEASE,17,Up,0.0157427135267762,0.486300221298819
54,REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,10,Down,0.0157766511769343,0.486300221298819
55,REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN,10,Up,0.0161106794491358,0.486300221298819
