Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_SMALL_LIGAND_GPCRS,7,Up,8.13916559281905e-06,0.00537064094170595,PTGER2
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,86,Down,1.85054108177435e-05,0.00537064094170595,NDUFB1
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,Up,1.96008793492918e-05,0.00537064094170595,""
WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,28,Up,3.08662913968195e-05,0.00634302288204641,""
WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,56,Up,0.000108340406583535,0.0162692198488576,""
WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,12,Up,0.000118753429553705,0.0162692198488576,""
WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,40,Up,0.000370940090637827,0.0435589649291848,"EZR,RHOA,YWHAQ"
WP_PTDINS45P2_IN_CYTOKINESIS_PATHWAY,8,Up,0.000453429225331199,0.0465898529027807,"EZR,RHOA"
WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,Up,0.000610518321521252,0.0557606733656077,""
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,86,Down,0.000836255872443149,0.0638141208331567,""
WP_OXIDATIVE_PHOSPHORYLATION,50,Down,0.000853960254458302,0.0638141208331567,NDUFB1
WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,24,Down,0.00107420201543998,0.0735828380576387,""
WP_EBOLA_VIRUS_INFECTION_IN_HOST,106,Up,0.00125777809631332,0.0795302765515041,"TIMD4,RHOA"
WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION,11,Up,0.00143606554771412,0.0843175628729291,CCR1
WP_METABOLIC_PATHWAYS_OF_FIBROBLASTS,20,Up,0.00159986478714781,0.0876725903356998,RHOA
WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,10,Up,0.00178980277338748,0.0919511174827819,RHOA
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,30,Up,0.00310362195523088,0.14272179671245,PTGER2
WP_PEPTIDE_GPCRS,15,Up,0.00312529481852081,0.14272179671245,"FPR3,CCR1"
WP_MAP3K1_ROLE_IN_PROMOTING_AND_BLOCKING_GONADAL_DETERMINATION,10,Up,0.00348123338269149,0.148797044775066,RHOA
WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION,25,Up,0.00362036605292131,0.148797044775066,""
WP_CELL_INTERACTIONS_OF_THE_PANCREATIC_CANCER_MICROENVIRONMENT,18,Up,0.00403988758615364,0.158132742658014,""
WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY,31,Down,0.00451285939301435,0.168616837320809,PET100
WP_MEVALONATE_PATHWAY,7,Up,0.00499188733222857,0.178405712482256,""
WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,14,Up,0.0054540075723549,0.186799759353155,""
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,50,Down,0.00584219862762456,0.192091490876295,NDUFB1
WP_PTF1A_RELATED_REGULATORY_PATHWAY,6,Up,0.00610213062453227,0.192921206667905,""
WP_GLYCOSAMINOGLYCAN_DEGRADATION,14,Up,0.00700638292025746,0.213305435572283,""
WP_OSTEOBLAST_SIGNALING,3,Up,0.00756730406844464,0.215218355606785,PDGFB
WP_CHOLESTEROL_METABOLISM,52,Up,0.00759286169415665,0.215218355606785,""
WP_17P133_YWHAE_COPY_NUMBER_VARIATION,18,Up,0.00791299249514489,0.21681599436697,YWHAQ
WP_GENE_REGULATORY_NETWORK_MODELING_SOMITOGENESIS,4,Up,0.00956311846856585,0.253576883263262,""
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING,15,Up,0.0132029002437974,0.339149500012546,""
WP_AMINO_ACID_TRANSPORT_DEFECTS_IEMS,2,Up,0.013826421575372,0.344403591968356,""
WP_ENVELOPE_PROTEINS_AND_THEIR_POTENTIAL_ROLES_IN_EDMD_PHYSIOPATHOLOGY,31,Up,0.0147547080573584,0.350856080668018,RHOA
WP_GLIAL_CELL_DIFFERENTIATION,4,Up,0.0152738399950204,0.350856080668018,""
WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME,8,Up,0.0153659597372855,0.350856080668018,RHOA
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,74,Up,0.0170882656437725,0.36619945583901,YWHAQ
WP_GENES_CONTROLLING_NEPHROGENESIS,13,Up,0.0175066182349243,0.36619945583901,PDGFB
WP_TYPE_II_INTERFERON_SIGNALING,30,Up,0.0176544908930097,0.36619945583901,""
WP_FATTY_ACID_OMEGAOXIDATION,2,Up,0.017819924858346,0.36619945583901,""
WP_IL10_ANTIINFLAMMATORY_SIGNALING,12,Up,0.0208276292829349,0.417568567574939,""
WP_INTERACTIONS_OF_NATURAL_KILLER_CELLS_IN_PANCREATIC_CANCER,14,Up,0.0220602951277424,0.431751490357244,""
WP_COMPLEMENTMEDIATED_INFLAMMATION_OF_PULMONARY_ALVEOLUS_IN_COVID19_HYPOTHETICAL_PATHWAY,6,Down,0.0230043631771065,0.439757826315849,FCN1
WP_FTO_OBESITY_VARIANT_MECHANISM,2,Down,0.0253313710843097,0.456961975720974,""
WP_BENZENE_METABOLISM,3,Up,0.0260954030847486,0.456961975720974,""
WP_8P231_COPY_NUMBER_VARIATION_SYNDROME,32,Up,0.0261291275232734,0.456961975720974,""
WP_TGFBETA_SIGNALING_IN_THYROID_CELLS_FOR_EPITHELIALMESENCHYMAL_TRANSITION,11,Up,0.0269182955783491,0.456961975720974,""
WP_GLUCOSE_METABOLISM_IN_TRIPLENEGATIVE_BREAST_CANCER_CELLS,7,Up,0.0270402500762933,0.456961975720974,""
WP_CREATINE_PATHWAY,2,Down,0.0273444034251976,0.456961975720974,""
WP_T_CELL_RECEPTOR_AND_COSTIMULATORY_SIGNALING,17,Up,0.0281892536065745,0.456961975720974,""
