,Set,NGenes,Direction,PValue,FDR
1,WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,86,Down,8.83465301537091e-06,0.00726208477863488
2,WP_IRON_METABOLISM_DISORDERS,13,Down,0.000174849099086693,0.0718629797246307
3,WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,50,Down,0.000367685498344963,0.0858661608486729
4,WP_OXIDATIVE_PHOSPHORYLATION,50,Down,0.000417840198776997,0.0858661608486729
5,WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY,31,Down,0.000688645358080011,0.113213296868354
6,WP_NUCLEOTIDE_GPCRS,5,Up,0.00302097367920655,0.406338468557313
7,WP_MONOAMINE_GPCRS,3,Up,0.00365698697949699,0.406338468557313
8,WP_SULFATASE_AND_AROMATASE_PATHWAY,2,Down,0.00395463229739478,0.406338468557313
9,WP_HFE_EFFECT_ON_HEPCIDIN_PRODUCTION,3,Down,0.00500253095634811,0.446959228818652
10,WP_IRON_METABOLISM_IN_PLACENTA,10,Down,0.00628619279036555,0.446959228818652
11,WP_NANOPARTICLEMEDIATED_ACTIVATION_OF_RECEPTOR_SIGNALING,22,Up,0.00663554972665692,0.446959228818652
12,WP_PROSTAGLANDIN_SIGNALING,23,Up,0.00715622314261512,0.446959228818652
13,WP_INTEGRINMEDIATED_CELL_ADHESION,71,Up,0.00762409214083454,0.446959228818652
14,WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING,33,Up,0.00790536894073628,0.446959228818652
15,WP_TRANSCRIPTION_FACTOR_REGULATION_IN_ADIPOGENESIS,16,Up,0.00819584042624467,0.446959228818652
16,WP_SIGNAL_TRANSDUCTION_THROUGH_IL1R,29,Up,0.00869993632737035,0.446959228818652
17,WP_IL3_SIGNALING,46,Up,0.0114026858247777,0.5426095121715
18,WP_DEVELOPMENT_OF_PULMONARY_DENDRITIC_CELLS_AND_MACROPHAGE_SUBSETS,10,Up,0.0118819601205438,0.5426095121715
19,WP_TRANSCRIPTIONAL_CASCADE_REGULATING_ADIPOGENESIS,11,Up,0.0146667054083698,0.609661817386123
20,WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA,17,Down,0.0158406334049729,0.609661817386123
21,WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,10,Up,0.0158992505247005,0.609661817386123
22,WP_HIF1A_AND_PPARG_REGULATION_OF_GLYCOLYSIS,7,Up,0.0163169829470738,0.609661817386123
23,WP_PURINERGIC_SIGNALING,14,Up,0.0181193430359618,0.647569564154808
24,WP_17P133_YWHAE_COPY_NUMBER_VARIATION,18,Up,0.023135034652616,0.792374936852096
25,WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,14,Down,0.0257466259277282,0.827572993757498
26,WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION,20,Down,0.0307785192313719,0.827572993757498
27,WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,13,Up,0.0325077827665655,0.827572993757498
28,WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS,79,Up,0.0350346264367928,0.827572993757498
29,WP_NANOPARTICLE_TRIGGERED_REGULATED_NECROSIS,12,Up,0.0355313177577274,0.827572993757498
30,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,56,Up,0.0355501018742232,0.827572993757498
31,WP_UNFOLDED_PROTEIN_RESPONSE,24,Up,0.0359606937267223,0.827572993757498
32,WP_EICOSANOID_METABOLISM_VIA_CYTOCHROME_P450_MONOOXYGENASES_PATHWAY,2,Up,0.0362122822642405,0.827572993757498
33,WP_MECHANOREGULATION_AND_PATHOLOGY_OF_YAPTAZ_VIA_HIPPO_AND_NONHIPPO_MECHANISMS,29,Up,0.0398921677544823,0.827572993757498
34,WP_ACETAMINOPHEN_IN_ANALGESIA_AND_ANTIPYRESIS,3,Up,0.0405586550161808,0.827572993757498
35,WP_NONALCOHOLIC_FATTY_LIVER_DISEASE,129,Down,0.0419492406188974,0.827572993757498
36,WP_T_CELL_MODULATION_IN_PANCREATIC_CANCER,24,Down,0.0421204239724219,0.827572993757498
37,WP_MALE_INFERTILITY,69,Down,0.0434847733276975,0.827572993757498
38,WP_ALTERED_GLYCOSYLATION_OF_MUC1_IN_TUMOR_MICROENVIRONMENT,8,Up,0.0437957456352624,0.827572993757498
39,WP_FERROPTOSIS,51,Down,0.0441979718754242,0.827572993757498
40,WP_NEUROGENESIS_REGULATION_IN_THE_OLFACTORY_EPITHELIUM,31,Up,0.0456295330616045,0.827572993757498
41,WP_VALPROIC_ACID_PATHWAY,8,Up,0.0456535024771969,0.827572993757498
42,WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE,22,Up,0.045738844387132,0.827572993757498
43,WP_ENDOPLASMIC_RETICULUM_STRESS_RESPONSE_IN_CORONAVIRUS_INFECTION,35,Up,0.0466209047295419,0.827572993757498
44,WP_ANTIVIRAL_AND_ANTIINFLAMMATORY_EFFECTS_OF_NRF2_ON_SARSCOV2_PATHWAY,19,Up,0.0469379276418531,0.827572993757498
45,WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA,48,Up,0.0481262257083458,0.827572993757498
46,WP_BLOOD_CLOTTING_CASCADE,7,Up,0.0485722260949637,0.827572993757498
47,WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,16,Up,0.0489649001827389,0.827572993757498
