,Set,NGenes,Direction,PValue,FDR
1,WP_SMALL_LIGAND_GPCRS,7,Down,7.18121652245311e-06,0.00590295998145646
2,WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,86,Up,4.01042128495671e-05,0.0122434655873942
3,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,Down,5.35844634248772e-05,0.0122434655873942
4,WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,28,Down,5.95789079678549e-05,0.0122434655873942
5,WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,12,Down,0.000176335325505321,0.026722606275174
6,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,56,Down,0.000224440926618154,0.026722606275174
7,WP_PTDINS45P2_IN_CYTOKINESIS_PATHWAY,8,Down,0.000227564773632868,0.026722606275174
8,WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,40,Down,0.000651932143984495,0.0669860277944068
9,WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,Down,0.000802189930987479,0.073266680363523
10,WP_OXIDATIVE_PHOSPHORYLATION,50,Up,0.00130334005784713,0.0909093400177598
11,WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION,11,Down,0.0014630712838302,0.0909093400177598
12,WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,10,Down,0.00150621333410339,0.0909093400177598
13,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,86,Up,0.00154641808414322,0.0909093400177598
14,WP_GENE_REGULATORY_NETWORK_MODELING_SOMITOGENESIS,4,Down,0.00154833425821002,0.0909093400177598
15,WP_EBOLA_VIRUS_INFECTION_IN_HOST,106,Down,0.00215321802106346,0.117996347554277
16,WP_METABOLIC_PATHWAYS_OF_FIBROBLASTS,20,Down,0.00275708532855488,0.141645258754507
17,WP_PEPTIDE_GPCRS,15,Down,0.00343998706787779,0.166333492340914
18,WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,24,Up,0.00433871371589075,0.198134593025678
19,WP_CELL_INTERACTIONS_OF_THE_PANCREATIC_CANCER_MICROENVIRONMENT,18,Down,0.00533043298957091,0.212746681696491
20,WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,50,Up,0.005398058064084,0.212746681696491
21,WP_17P133_YWHAE_COPY_NUMBER_VARIATION,18,Down,0.00543513420392494,0.212746681696491
22,WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY,31,Up,0.00782920067005815,0.292527406853991
23,WP_MEVALONATE_PATHWAY,7,Down,0.00847350901115771,0.301730149790841
24,WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,14,Down,0.00880963940995155,0.301730149790841
25,WP_CREATINE_PATHWAY,2,Up,0.0102145160251362,0.331761496021729
26,WP_MAP3K1_ROLE_IN_PROMOTING_AND_BLOCKING_GONADAL_DETERMINATION,10,Down,0.0107513540627742,0.331761496021729
