gene,logFC,logCPM,LR,PValue,FDR
FPR3,1.20902531556129,6.13757745023483,37.1300280811289,1.10508800669657e-09,1.22609514342984e-05
CCR1,1.10224092194086,6.09123721314419,32.6984760571481,1.07621567741752e-08,4.17831105504344e-05
MAFB,0.9626593682138,6.61329665601713,32.6040648469045,1.12978216900679e-08,4.17831105504344e-05
TIMD4,3.29953673640326,1.55214699416183,28.4357138060137,9.68618864673114e-08,0.000268670657588705
SNHG25,-1.3874757576815,3.98048799406584,25.8052831238304,3.77653336796425e-07,0.000838012754351267
PET100,-0.400963702123551,7.95769945981956,25.0601962365001,5.55681388573027e-07,0.00102754750103629
EZR,0.678101927248964,6.56791949082573,23.7659526515034,1.0878993385014e-06,0.0015034161540681
PADI2,-4.25186697677773,2.9060827635331,23.5621252380257,1.20944858694564e-06,0.0015034161540681
GOLM1,1.28157433243893,3.07126763254468,23.5461446732362,1.21953541114131e-06,0.0015034161540681
CD2,2.50573880126603,2.91225609133422,22.7594897161318,1.83595278182296e-06,0.00203698961143257
ADGRE2,-1.17225750541656,3.93887836208665,22.1784940256578,2.48441161397398e-06,0.00250586789609466
PTGER2,2.33691024544849,2.26204173495775,21.4029574985792,3.72196620210485e-06,0.00344126791769611
DOCK10,-0.668224134421706,5.43744991737257,20.7665197311711,5.1882089047872e-06,0.00442793675373953
EGR1,-2.45931974796264,5.64700788812402,19.6142639879652,9.4759113353048e-06,0.00750965973322905
GPBAR1,1.23290013566076,3.75958768831858,19.4408852945055,1.03761831621359e-05,0.00767491681225985
RHOA,0.251743127624369,9.03977052676746,19.192329612303,1.18187334090695e-05,0.00796836120072999
SH3BP4,1.36924354311959,3.01329616684948,19.0478159104527,1.27483597173708e-05,0.00796836120072999
CD99,0.675083746070639,7.53766137001622,18.8517906544042,1.41278411544803e-05,0.00796836120072999
NREP,1.61195882229421,2.59241745899607,18.7540633037638,1.48706172413383e-05,0.00796836120072999
BIRC7,3.01626778804455,1.65240420401396,18.6722521454674,1.55225041697113e-05,0.00796836120072999
XAF1,0.745262887268948,7.0483602216,18.6553949925422,1.56603512662553e-05,0.00796836120072999
GPR34,-1.26578556372117,4.6685464679233,18.6384367666442,1.5800265562511e-05,0.00796836120072999
ENPP2,-1.5850140800108,2.46836615976145,18.3167131049039,1.87058874204996e-05,0.00896815778295058
FTL,0.487387044705324,15.9234642691659,18.247371176024,1.93993498684826e-05,0.00896815778295058
PLEKHG2,-2.01659126515073,2.03938016014258,18.1451653265617,2.04688432077094e-05,0.00908407261558142
AKAP5,-0.963043694886229,4.34482011844912,17.6628324398806,2.63729910710262e-05,0.0112541667666552
TRAM1,0.492225474087722,7.35635909808662,16.5017992140065,4.86039302878321e-05,0.0197471476550687
GCHFR,0.614191156951874,10.0004576518742,16.4543737923265,4.98350729465456e-05,0.0197471476550687
MX2,0.715564754617434,5.35534619546254,16.2196283748682,5.64066391338947e-05,0.0210231964756974
FCN1,-2.68612380130518,4.52116352914551,16.2049609726219,5.68450558153153e-05,0.0210231964756974
MS4A6A,0.951289897049644,7.53085867724023,16.132313660054,5.90675724927947e-05,0.0211404747357277
NBPF14,-1.36262515607485,2.51992438904843,15.8511462131222,6.85250177172666e-05,0.0237589084866585
VAV1,-0.568509041430293,5.17290685127286,15.7712335081983,7.14811254403131e-05,0.0240328208109174
EMP1,1.74919665427329,4.03190716300933,15.6661583308198,7.5564200829672e-05,0.024658376711918
CHRNA5,2.32933846468907,1.14648540668883,15.5912346216386,7.86181977440784e-05,0.0249219686848728
CD300C,0.710950095825149,5.11211070410576,15.3185390003623,9.08208263008918e-05,0.0279904741057887
