,logFC,logCPM,LR,PValue,FDR
CDA,-1.50593637868571,1.53440878042098,32.2561255475178,1.35130403312607e-08,0.000149927182475337
SIRPB1,0.90251410154701,6.45871342483729,23.5284165260344,1.23082404224498e-06,0.00682799637435403
ITGA1,1.89705728417302,1.61099793017838,22.4321743682979,2.17696502540092e-06,0.00778493982761332
CLHC1,-1.15990397320309,1.72965600364971,21.9443991780512,2.80664797750818e-06,0.00778493982761332
ARHGEF5,0.797677930909018,2.91404299812231,20.3997787304032,6.2837060341822e-06,0.0119949793280718
LILRB2,-0.889169700483278,5.29739034709808,20.338939778131,6.48669454424795e-06,0.0119949793280718
FAR2,0.764237172647979,5.3637683313337,17.9972460907551,2.21224777565292e-05,0.0350641272440987
FAM184B,-1.60608655783362,0.997346082087418,17.4468577839882,2.95452254110449e-05,0.0373310397569896
TLCD4,1.19148421358319,2.35468870363942,17.400034287008,3.02820511773688e-05,0.0373310397569896
PDGFB,-1.50433943799974,1.60510984285714,17.1449312323618,3.4633238406751e-05,0.0384255780122903
SLC28A3,-2.09509174560519,1.49896684606811,16.9145825275566,3.91000494183583e-05,0.039437731663335
LIPA,-1.06417031825142,8.41078141725259,16.2391527349973,5.58283162930823e-05,0.0496029633379517
SLC46A1,-1.2513042909162,2.68145032932061,16.1629533862794,5.81197407294612e-05,0.0496029633379517
ETV5,-1.48391523483163,1.31167626985792,15.269771486908,9.31960615040465e-05,0.0732687160053353
MTMR11,0.876976884028755,3.76002743008265,15.0989527863668,0.00010201986762242,0.0732687160053353
NPIPB15,1.61262472652248,1.184558622155,15.0327751719479,0.000105660158277185,0.0732687160053353
MMP14,-0.777455905074121,4.8702310245408,14.2952000867064,0.00015626282786056,0.0955720553173022
LINC01480,-1.25564615913165,0.900542604783795,14.2760652639788,0.000157859445640894,0.0955720553173022
RHOBTB3,-1.15330539977667,2.23717524848546,14.2080880427163,0.000163665529610522,0.0955720553173022
FTCDNL1,-0.820237550438356,3.79602029583787,13.7488375753448,0.000208950085725248,0.115915060056081
PDE6G,-0.879394542827995,3.09008969146026,13.648282249862,0.000220442898889753,0.116467331580086
IL10,-1.37107076544267,0.604668795375347,13.4411525849787,0.000246164338710034,0.124145151726719
ENPP2,-0.853721653120174,2.46426378201536,13.1755907745397,0.000283619300992594,0.132248095116987
BANK1,-1.21018879365246,1.31870599244527,13.15946410083,0.000286070687950221,0.132248095116987
TBC1D30,-0.796517887602153,1.9170537346419,12.8295640624583,0.000341185238361205,0.151418008784703
ZG16B,-1.2149242934652,1.36569032959115,12.6739920864851,0.000370777033421187,0.158221968684926
DOCK8-AS1,1.25016775478755,1.31690932569484,12.4894908819333,0.000409247709975025,0.163930255986567
EPHA1-AS1,-0.889447104188045,2.06429143070467,12.4659882555141,0.000414429200778377,0.163930255986567
PIM2,-0.839167323173632,1.91431814152038,12.3405260292888,0.000443230109582888,0.163930255986567
CLIC2,-0.649389582679272,3.50009880652424,12.340423683328,0.000443254410058316,0.163930255986567
LIMS2,1.92442287421657,2.98782177707431,12.2123372518991,0.000474745207621061,0.169912841243731
IGFLR1,-0.67384838695294,5.33182557484213,11.8325322458972,0.00058204785493211,0.201806904702243
BATF,-0.769792133585838,3.22826494481396,11.7397435530147,0.000611794530480117,0.20206337157955
MIF,-0.354219720373067,8.45846544234352,11.7173166394458,0.000619211774105877,0.20206337157955
CMKLR1,-1.4482987259442,2.03064705586875,11.6377553861687,0.000646265402344886,0.204866132543329
PRR5L,-1.28771786817136,1.03104235116447,11.4694701882965,0.000707488472363782,0.214719929985676
GPR35,-1.074166183465,0.889670443345521,11.4210440258547,0.000726168780971109,0.214719929985676
SLC45A3,0.964715979050912,1.2002098743,11.3975545572439,0.000735408502880188,0.214719929985676
RPS6KA2,-0.731269359912465,2.55628390094773,11.1488092511111,0.000840856294670164,0.239212835624756
ESR1,-0.814761690925175,2.57665560359972,10.9918856252923,0.000915116580874286,0.253830461620005
SEC61G,-0.191314409799209,7.75872923327617,10.8866811421251,0.000968582267702618,0.262107811223428
TF,-1.24540907772256,0.918082216483864,10.7222987280435,0.00105852086495142,0.276328981052925
PMAIP1,0.844699055556006,1.9035578766325,10.7007069711753,0.00107094602841602,0.276328981052925
SLC25A25,0.547815981794267,3.66592949539373,10.5540955853336,0.00115930923696552,0.292330363275737
TANC2,0.327151079678568,6.31794073180997,10.4220490542365,0.00124519661169125,0.307010142371432
AMPD3,-1.2335761468263,1.43542922816256,10.3177834042904,0.00131754436268311,0.317785971825416
RGS9,-0.565978260177228,2.7839565043447,10.2583407910872,0.00136068001965225,0.32120733655408
SLC7A6,-0.696362278054346,2.92854734569481,10.1453471918183,0.00144665914832034,0.323450933057822
ATP10A,0.59596963239403,5.70314125485464,10.1418661522628,0.00144939357755651,0.323450933057822
RERE,-0.475466691375784,4.00401709619183,10.1247041839355,0.00146295136272527,0.323450933057822
SHB,0.753332851594666,2.52638757483088,10.0949082470781,0.0014867956364082,0.323450933057822
FAAH,1.06196784171473,1.35399757231525,9.98939804997267,0.00157444063113657,0.335931130816543
ADORA1,0.630709628262379,2.52697947627131,9.94661295506152,0.00161145614060407,0.337341620377399
PRR15,-0.775915015099305,2.41257937564164,9.88413859549566,0.00166709555549058,0.342526392373482
PRKCB,-1.09210196393516,1.85800940560973,9.64918531516367,0.00189435581244112,0.366348613327527
DEFB1,-1.04001938393102,6.03380481298422,9.60973252663447,0.00193548831404944,0.366348613327527
ROBO3,0.925390624890133,1.47071737602829,9.57664258326288,0.00197068457752699,0.366348613327527
AVIL,-0.9857656765523,1.15375975869722,9.561892975175,0.00198658147300325,0.366348613327527
TMEM51,-0.413538225426302,4.28174535454332,9.54814229791612,0.00200151882976437,0.366348613327527
GNG12,0.393249472512346,4.37747627793164,9.53757871930913,0.00201307134748612,0.366348613327527
LIMD2,-1.60742720651285,1.69139622147008,9.53657327211039,0.00201417444010628,0.366348613327527
