gene,logFC,logCPM,LR,PValue,FDR
CDA,1.74664122012721,1.5350939347126,37.4135764423858,9.5554643532338e-10,1.06017876999129e-05
LILRB2,0.885068963588452,5.29762122876554,30.5368667382252,3.27581921875026e-08,0.00018172607116017
ITGA1,-1.90955062964151,1.60522661761836,28.3439260057504,1.01564979669125e-07,0.000375621149809649
SIRPB1,-0.897344586301854,6.45830704913016,23.5993996458616,1.18624520731524e-06,0.00270868182244434
FAR2,-0.755015436708574,5.36735024520485,23.5443447224482,1.22067680146207e-06,0.00270868182244434
BANK1,1.4453772100364,1.31376209287395,23.1880807324648,1.46905045311954e-06,0.00271651912956021
TLCD4,-1.27729274792442,2.33726855993895,21.0913927910887,4.37890598199614e-06,0.00694056598146389
PDGFB,1.50110653648179,1.60191170693805,19.5290694931751,9.9080376411297e-06,0.0132567786230302
FAM184B,1.63467348404094,0.993290419148119,19.0647906293433,1.26354656546864e-05,0.0132567786230302
CLHC1,1.04929503797057,1.73188313433896,19.0084154662236,1.3014320920922e-05,0.0132567786230302
SLC28A3,2.09591844510451,1.48607730389279,18.9896028370488,1.31432685762354e-05,0.0132567786230302
ARHGEF5,-0.765200340880137,2.92517927841072,18.6738022412553,1.5509889818632e-05,0.0139181087940929
ETV5,1.35372310680208,1.31003474354921,18.5781586432818,1.63078336478781e-05,0.0139181087940929
SLC46A1,1.21815311098147,2.67542277874706,18.1981776668975,1.99069218956496e-05,0.0157762356023023
FTCDNL1,0.840730366213056,3.80600793649435,17.8725558986837,2.36202901953268e-05,0.0174711413144768
SLC39A8,0.783641072845594,5.08784109073374,17.0310384791274,3.67737526334419e-05,0.0244963629000349
ZG16B,1.16747012676405,1.36334413372747,16.9921917148089,3.75338593330864e-05,0.0244963629000349
MMP14,0.759913739428184,4.87307481142346,16.7157610911511,4.34187831919114e-05,0.0267369248191794
RHOBTB3,1.06796721366947,2.23860613637847,16.6150384524129,4.57865319120693e-05,0.0267369248191794
NPIPB15,-1.59349683921875,1.18891252576952,16.4012665052478,5.12509738103113e-05,0.0284314777212702
CLIC2,0.681606607577636,3.50243857769126,15.9648674222473,6.45289723216573e-05,0.0340928070432756
LIPA,1.05299254427303,8.41041422705455,15.1657793130441,9.84719205177083e-05,0.0482387141072238
PMAIP1,-0.907583580001635,1.9076838373614,15.1124055161155,0.000101295440431193,0.0482387141072238
LINC01480,1.30849276268656,0.895475236404717,15.0563803514986,0.000104346925513598,0.0482387141072238
MTMR11,-0.872192779426287,3.76443060261532,14.7627171367888,0.000121922423343626,0.0529843522115013
ZP3,1.34264344531882,2.3542649638996,14.7283763326676,0.00012416342113556,0.0529843522115013
BATF,0.733098148939116,3.22915364419188,14.6492441986926,0.000129486557472672,0.0532093835244182
TBC1D30,0.866958563166188,1.9203007901918,14.3908066672398,0.000148525661943431,0.0588532935450847
RASGEF1B,-0.34582681711043,6.86392281402494,13.8830849677026,0.000194541474905251,0.0744288849680607
PIM2,0.902966445808368,1.91532494150408,13.6315129179666,0.000222420577076496,0.0822585434221243
LIMS2,-1.9456111827352,2.98178723092426,13.3928534131471,0.000252584842560821,0.0888084416386026
ADORA2B,-0.862077027214155,2.03782736334805,13.2376980434475,0.000274374655693597,0.0888084416386026
PPARG,-0.276056782284094,8.01169962251767,13.1826221423238,0.000282557115040488,0.0888084416386026
