gene,logFC,logCPM,LR,PValue,FDR
RPH3A,3.42025486945225,1.16547785130212,32.7287696646246,1.05957280784826e-08,0.000122931637166555
C3,3.16876276408947,4.87734676663809,29.3581989195001,6.01614399178349e-08,0.000252434318855402
PLTP,2.94428628224561,5.72714514278049,29.2001698437259,6.52734835861237e-08,0.000252434318855402
NRGN,-1.0416283523801,2.87847788442817,26.1407240313224,3.17418284419675e-07,0.000920671733959266
ELP5,0.807122544768247,4.60752376864782,23.1883037793626,1.46888007224776e-06,0.0031285980787194
RTL5,-1.37775569668021,1.44776348188805,22.7685174829915,1.82734827652017e-06,0.0031285980787194
BRCA2,-0.671148214661484,4.1985578778298,22.6415232653007,1.95219591808419e-06,0.0031285980787194
FTCDNL1,1.14038078630234,3.68375288475589,22.1806343358098,2.48164353084398e-06,0.0031285980787194
TSPAN33,-1.57468211445701,0.778103415588914,21.9401025256791,2.81293870039725e-06,0.0031285980787194
MEG8,1.5550869203083,0.602198375964727,21.9005760653087,2.87147710910225e-06,0.0031285980787194
TNNT1,-1.92012691314545,3.48955358716774,21.8382578878014,2.96626261557605e-06,0.0031285980787194
COL6A1,1.86790386169861,2.20194092673027,21.4661140006203,3.60136805359611e-06,0.0034819226798185
CCL23,1.22590086385665,6.98197011956194,20.8976707030172,4.84483370727807e-06,0.00432382774398771
EPB41L4A,0.730474233372093,4.33217330835914,20.6310208703004,5.56864720918493e-06,0.00461481749435454
TGM2,0.695336431325069,8.10582999097357,19.7633502821316,8.76473143443703e-06,0.00677922760682256
CES3,1.74292197997324,0.434847514690144,19.4095917563086,1.05475984395688e-05,0.00709955616592908
CCR5,-1.25860711382385,1.38210320501482,19.3640936068879,1.08019071654211e-05,0.00709955616592908
LDLR,-1.4471427203228,3.34852585926066,19.3268500855632,1.10146535930636e-05,0.00709955616592908
GDPD5,-1.58309414347786,0.312682106691943,18.4068073754942,1.78419434975449e-05,0.0108533224975548
NFE2,-1.206517424279,2.82025348172402,18.2611991038902,1.92590303550665e-05,0.0108533224975548
ADRB2,-0.852266757821907,3.86234430557098,18.2234162011,1.96448691991598e-05,0.0108533224975548
AKR1C1,2.57977118532213,3.27452863408545,17.8775151312281,2.35588168902593e-05,0.0124240633436722
CYP3A5,1.84948527254379,2.63419596461798,17.6977540322493,2.58932149032953e-05,0.013061438230784
TRHDE,1.06115263022505,4.14122339948612,17.601577854178,2.72362274240376e-05,0.0131664462739035
CTDSP1,-0.473366659522706,5.2297584817633,17.4166139143019,3.00190618052651e-05,0.0139312462025874
ST3GAL5,-0.63925818455545,4.90423771135553,17.0088882805628,3.72052446782761e-05,0.0166021249522061
LYPLA1,-0.354880101388901,6.33678746301169,16.7741021040733,4.21040305647751e-05,0.0180922578745378
ABCA1,1.11715643218333,6.83229720220621,16.5945630115955,4.62835154145339e-05,0.0190657962507515
CPT1B,1.4635575096218,1.14023531324286,16.5391344222121,4.76562740279084e-05,0.0190657962507515
DYNC2H1,0.806204292345441,2.42647305472587,15.958022334013,6.47627319668303e-05,0.0245764206163529
TLR4,-0.540069749651964,6.9853925910847,15.9317737447971,6.56670435361955e-05,0.0245764206163529
A1BG,0.780960057511408,4.72211050658111,14.9815361162839,0.000108568283914967,0.0393627884369204
SNX25,1.08338010505255,0.860705488352301,14.6156979484218,0.000131811971819792,0.0452395484742403
ZNF85,0.897796778977078,2.2377763258177,14.6048086307216,0.000132575818662659,0.0452395484742403
PRKCB,-1.35514401380584,2.199578631512,14.5326980419511,0.000137747841175826,0.0456614415234838
INHBA-AS1,-1.08236434569368,0.921208895963892,14.3299880909077,0.000153401639793235,0.0466201716094236
NECTIN2,0.67096626406903,4.37425521740258,14.32102949886,0.000154133369197565,0.0466201716094236
TMEM154,-1.0734880363714,1.46517586166177,14.281646116135,0.000157392087376352,0.0466201716094236
RIPOR2,-0.986872482861062,2.43896886437144,14.2469667086833,0.000160318987524746,0.0466201716094236
RHOB,-0.882328839705077,7.43164289424309,14.2248629097299,0.000162213062768174,0.0466201716094236
STK17B,-0.462944228887449,6.06633717535558,14.161970494066,0.000167726523307062,0.0466201716094236
IGF2BP2,-0.92731226833149,1.66775593004131,14.1503235789666,0.000168768075124616,0.0466201716094236
CAPN11,1.09444905271481,1.08537506672684,13.9143129841836,0.000191335881980847,0.0516250907614368
CYP51A1,-0.894973980338182,5.10052292994383,13.8521001945638,0.000197775574718169,0.0521498231336409
ZNF552,0.647379757895118,2.79793843464072,13.6976635722386,0.00021472145314787,0.0553599622093687
ETV5,1.86280903197911,1.10600132623911,13.498372533389,0.000238770447820074,0.0594601362220234
APOC1,0.595497576659826,13.5266897136985,13.4705758331776,0.000242333925212795,0.0594601362220234
VLDLR,1.4072147047854,0.659483289268335,13.4194536929158,0.00024902821285421,0.0594601362220234
GNAQ,-0.258582633465494,6.71232250968698,13.4037293073474,0.000251124519468983,0.0594601362220234
PDGFB,-1.44257132010451,1.73238250852861,13.2744990836788,0.000269040763603971,0.0600927986815614
COL6A2,2.87143127534481,0.959311755724958,13.2736338448989,0.00026916496233058,0.0600927986815614
