,Set,N,DE,P.DE,FDR
1,GOCC_VACUOLAR_LUMEN,150,5,1.14544603083958e-06,0.0184325175282705
2,GOCC_ENDOLYSOSOME_LUMEN,5,2,1.53898816689289e-05,0.123826987908202
3,HP_SUPRANUCLEAR_GAZE_PALSY,51,3,3.61556524435055e-05,0.172951850395838
4,HP_PREMATURE_PUBARCHE,8,2,4.29907656962063e-05,0.172951850395838
5,GOCC_AZUROPHIL_GRANULE_LUMEN,78,3,0.000129107380009019,0.415519191821027
6,GOCC_LYSOSOMAL_LUMEN,83,3,0.000155273959006085,0.41644475805432
7,GOBP_STEROID_METABOLIC_PROCESS,245,4,0.000241999381962234,0.50600328457539
8,GOCC_SECRETORY_GRANULE,730,6,0.000251555199888337,0.50600328457539
9,GOCC_VACUOLE,774,6,0.00034454945701502,0.564534400712304
10,GOBP_CHOLESTEROL_STORAGE,22,2,0.000350816803823206,0.564534400712304
11,GOCC_VESICLE_LUMEN,282,4,0.000412743467622919,0.60380617099891
12,GOCC_ENDOLYSOSOME,28,2,0.000571381688026821,0.631226312533784
13,HP_VERTICAL_SUPRANUCLEAR_GAZE_PALSY,29,2,0.000613227531985443,0.631226312533784
14,GOCC_SECRETORY_VESICLE,864,6,0.000618270266107449,0.631226312533784
15,GOCC_ENDOSOME_LUMEN,30,2,0.000656517010980452,0.631226312533784
16,GOBP_INTRACELLULAR_STEROL_TRANSPORT,31,2,0.000701246676741747,0.631226312533784
17,GOMF_PROTEOGLYCAN_BINDING,31,2,0.000701246676741747,0.631226312533784
18,GOCC_AZUROPHIL_GRANULE,139,3,0.000706069700820787,0.631226312533784
19,GOBP_CHOLESTEROL_EFFLUX,44,2,0.00141223099512213,1
20,GOBP_INTRACELLULAR_LIPID_TRANSPORT,44,2,0.00141223099512213,1
