,Set,N,DE,P.DE,FDR
1,GOCC_CELL_SURFACE,717,5,4.13474412871912e-05,0.364955735709795
2,GOCC_SECRETORY_GRANULE,731,5,4.53558361660094e-05,0.364955735709795
3,GOCC_SECRETORY_VESICLE,867,5,0.000102176961432355,0.416791197293751
4,GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,955,5,0.000161279801629893,0.416791197293751
5,HP_BASAL_GANGLIA_CALCIFICATION,35,2,0.000197482607512971,0.416791197293751
6,HP_ECTOPIC_CALCIFICATION,198,3,0.000203900578144105,0.416791197293751
7,GOBP_MYELOID_LEUKOCYTE_MIGRATION,204,3,0.000222638017715228,0.416791197293751
8,GOBP_LEUKOCYTE_CHEMOTAXIS,205,3,0.000225865695306995,0.416791197293751
9,GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION,38,2,0.000233090211622678,0.416791197293751
10,GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,572,4,0.000289697833493422,0.466210723440964
11,GOCC_BRUSH_BORDER_MEMBRANE,47,2,0.000357326265975847,0.499869224945866
12,GOBP_POSITIVE_REGULATION_OF_DEPHOSPHORYLATION,48,2,0.000372735394230435,0.499869224945866
13,GOCC_BASAL_PART_OF_CELL,250,3,0.000404333508798024,0.500533781314354
14,GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,639,4,0.000441549942981417,0.507561659457139
15,GOBP_CELL_CHEMOTAXIS,266,3,0.000484678485550557,0.519995391197674
16,GOMF_COLLAGEN_BINDING,58,2,0.0005443614115787,0.547525512283501
17,GOBP_POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,69,2,0.000769693577285811,0.615298887934606
18,GOBP_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION,69,2,0.000769693577285811,0.615298887934606
19,GOBP_MONOATOMIC_CATION_TRANSPORT,764,4,0.000866111443272279,0.615298887934606
20,GOBP_DIGESTIVE_SYSTEM_PROCESS,78,2,0.000982236479468706,0.615298887934606
