,Set,N,DE,P.DE,FDR
1,GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,602,11,3.14961766553364e-08,0.000506867970914329
2,GOMF_MOLECULAR_TRANSDUCER_ACTIVITY,816,12,7.2560379181202e-08,0.000583857091081542
3,GOMF_IMMUNE_RECEPTOR_ACTIVITY,128,6,2.62280482414419e-07,0.00140695993449842
4,GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,1386,14,4.8736249617312e-07,0.00179081932617036
5,GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,986,12,5.56396981970533e-07,0.00179081932617036
6,GOCC_SIDE_OF_MEMBRANE,614,9,4.12144069696798e-06,0.0110543908560509
7,GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY,272,6,2.05704667199952e-05,0.0472915029892689
8,GOBP_RESPONSE_TO_CHEMOKINE,82,4,2.57192668087384e-05,0.0517375200941283
9,GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,295,6,3.24431380317499e-05,0.0580119355938834
10,GOBP_MONONUCLEAR_CELL_MIGRATION,199,5,5.76757755986795e-05,0.0905825115252966
11,GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION,202,5,6.19155922934358e-05,0.0905825115252966
12,GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,339,6,7.02379523119157e-05,0.0927591542307259
13,GOBP_LEUKOCYTE_MIGRATION,343,6,7.49312747778187e-05,0.0927591542307259
14,GOBP_REGULATION_OF_NEUTROPHIL_EXTRAVASATION,7,2,8.88707006504413e-05,0.102156870397682
15,GOBP_T_CELL_ACTIVATION,523,7,9.69477494531297e-05,0.104012008796614
16,GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,120,4,0.000114017310259917,0.110726370145208
17,GOBP_REGULATION_OF_HEMOPOIESIS,372,6,0.000116966898183591,0.110726370145208
18,GOBP_TAXIS,379,6,0.000129490697644962,0.115771877622243
19,GOMF_COMPLEMENT_RECEPTOR_ACTIVITY,9,2,0.000151945143538266,0.126200223835598
20,GOBP_CELL_ADHESION,1216,10,0.000163716237298826,0.126200223835598
