,Set,N,DE,P.DE,FDR
1,GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS,59,5,8.97041356489963e-08,0.000936141509401465
2,GOMF_PROTEIN_LIPID_COMPLEX_BINDING,24,4,1.16341453973959e-07,0.000936141509401465
3,GOBP_LIPID_LOCALIZATION,380,8,4.97482464267271e-07,0.00266866176581773
4,GOBP_LIPID_METABOLIC_PROCESS,1132,12,7.92971601412539e-07,0.003190322995383
5,GOBP_ENDOCYTOSIS,607,8,1.58599339195646e-05,0.0465604664402
6,GOBP_SMALL_MOLECULE_METABOLIC_PROCESS,1526,12,1.73592741341702e-05,0.0465604664402
7,GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS,31,3,2.76525882027823e-05,0.0544512415561655
8,GOCC_PROTEIN_LIPID_COMPLEX,31,3,2.76525882027823e-05,0.0544512415561655
9,GOBP_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE,32,3,3.04729165175285e-05,0.0544512415561655
10,GOBP_VESICLE_MEDIATED_TRANSPORT,1366,11,3.42414911041096e-05,0.0544512415561655
11,GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT,201,5,3.82327181278873e-05,0.0544512415561655
12,GOBP_PHAGOCYTOSIS,207,5,4.39859653408409e-05,0.0544512415561655
13,GOMF_AMIDE_BINDING,207,5,4.39859653408409e-05,0.0544512415561655
14,GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS,519,7,4.97519411078615e-05,0.0571898563034868
15,GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,947,9,5.77124210369873e-05,0.0619177327832157
16,GOBP_IMPORT_INTO_CELL,762,8,7.96925063541265e-05,0.0758153284228988
17,GOBP_INTRACELLULAR_LIPID_TRANSPORT,44,3,8.00882733604225e-05,0.0758153284228988
18,GOBP_REGULATION_OF_APOPTOTIC_CELL_CLEARANCE,8,2,9.80891540702753e-05,0.0859188877120081
19,GOBP_STEROID_METABOLIC_PROCESS,247,5,0.000101439064595051,0.0859188877120081
20,GOMF_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_BINDING,9,2,0.000125962625371503,0.10135582650518
