Set,N,DE,P.DE,FDR,DEG.GENES
HALLMARK_COMPLEMENT,187,3,0.00166041733985105,0.0830208669925523,"LGMN,CTSB,ERAP2"
HALLMARK_COAGULATION,113,2,0.00895306482667863,0.223826620666966,"LGMN,CTSB"
HALLMARK_XENOBIOTIC_METABOLISM,165,2,0.0183868241405788,0.306447069009647,"HSD11B1,CES1"
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,1,0.060235377760189,0.752942222002362,FTL
HALLMARK_CHOLESTEROL_HOMEOSTASIS,71,1,0.0861287997561189,0.861287997561189,LGMN
HALLMARK_PROTEIN_SECRETION,94,1,0.112464157791016,0.919604360366229,BNIP3
HALLMARK_KRAS_SIGNALING_UP,172,1,0.19644293387234,0.919604360366229,HSD11B1
HALLMARK_HEME_METABOLISM,178,1,0.202575772318933,0.919604360366229,CTSB
HALLMARK_GLYCOLYSIS,179,1,0.203593520092385,0.919604360366229,PYGL
HALLMARK_ADIPOGENESIS,191,1,0.21570934515214,0.919604360366229,DRAM2
HALLMARK_INTERFERON_GAMMA_RESPONSE,195,1,0.21970836401218,0.919604360366229,MX2
HALLMARK_MTORC1_SIGNALING,196,1,0.220705046487895,0.919604360366229,LGMN
HALLMARK_ALLOGRAFT_REJECTION,184,0,1,1,""
HALLMARK_ANDROGEN_RESPONSE,97,0,1,1,""
HALLMARK_ANGIOGENESIS,27,0,1,1,""
HALLMARK_APICAL_JUNCTION,170,0,1,1,""
HALLMARK_APICAL_SURFACE,36,0,1,1,""
HALLMARK_APOPTOSIS,151,0,1,1,""
HALLMARK_BILE_ACID_METABOLISM,95,0,1,1,""
HALLMARK_DNA_REPAIR,148,0,1,1,""
HALLMARK_E2F_TARGETS,198,0,1,1,""
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,160,0,1,1,""
HALLMARK_ESTROGEN_RESPONSE_EARLY,181,0,1,1,""
HALLMARK_ESTROGEN_RESPONSE_LATE,173,0,1,1,""
HALLMARK_FATTY_ACID_METABOLISM,143,0,1,1,""
HALLMARK_G2M_CHECKPOINT,193,0,1,1,""
HALLMARK_HEDGEHOG_SIGNALING,30,0,1,1,""
HALLMARK_HYPOXIA,174,0,1,1,""
HALLMARK_IL2_STAT5_SIGNALING,191,0,1,1,""
HALLMARK_IL6_JAK_STAT3_SIGNALING,82,0,1,1,""
HALLMARK_INFLAMMATORY_RESPONSE,189,0,1,1,""
HALLMARK_INTERFERON_ALPHA_RESPONSE,96,0,1,1,""
HALLMARK_KRAS_SIGNALING_DN,115,0,1,1,""
HALLMARK_MITOTIC_SPINDLE,197,0,1,1,""
HALLMARK_MYC_TARGETS_V1,195,0,1,1,""
HALLMARK_MYC_TARGETS_V2,57,0,1,1,""
HALLMARK_MYOGENESIS,155,0,1,1,""
HALLMARK_NOTCH_SIGNALING,31,0,1,1,""
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,0,1,1,""
HALLMARK_P53_PATHWAY,194,0,1,1,""
HALLMARK_PANCREAS_BETA_CELLS,22,0,1,1,""
HALLMARK_PEROXISOME,95,0,1,1,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,99,0,1,1,""
HALLMARK_SPERMATOGENESIS,93,0,1,1,""
HALLMARK_TGF_BETA_SIGNALING,52,0,1,1,""
HALLMARK_TNFA_SIGNALING_VIA_NFKB,196,0,1,1,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,108,0,1,1,""
HALLMARK_UV_RESPONSE_DN,133,0,1,1,""
HALLMARK_UV_RESPONSE_UP,143,0,1,1,""
HALLMARK_WNT_BETA_CATENIN_SIGNALING,39,0,1,1,""
