Set,N,DE,P.DE,FDR,DEG.GENES
REACTOME_NEUTROPHIL_DEGRANULATION,445,6,1.62543859554453e-05,0.0282013596326976,"NPC2,CD93,FTL,CTSB,PYGL,PADI2"
REACTOME_INNATE_IMMUNE_SYSTEM,918,7,0.000111294087058391,0.0689911709714753,"LGMN,NPC2,CD93,FTL,CTSB,PYGL,PADI2"
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,13,2,0.00011929309101696,0.0689911709714753,"LGMN,CTSB"
REACTOME_DRUG_ADME,64,2,0.00296304358431007,1,"HSD11B1,CES1"
REACTOME_PREDNISONE_ADME,4,1,0.00505333072659986,1,HSD11B1
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS,5,1,0.00631281593783206,1,HSD11B1
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,105,2,0.00777311411086303,1,"NID1,CTSB"
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,110,2,0.00850169864982476,1,"LGMN,CTSB"
REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS,8,1,0.0100820664800633,1,FPR3
REACTOME_PHYSIOLOGICAL_FACTORS,8,1,0.0100820664800633,1,CES1
REACTOME_METABOLISM_OF_STEROIDS,131,2,0.011880277325276,1,"LGMN,HSD11B1"
REACTOME_FORMATION_OF_THE_NEPHRIC_DUCT,10,1,0.0125872472381174,1,WFDC2
REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM,10,1,0.0125872472381174,1,LGMN
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS,11,1,0.0138375471173355,1,CES1
REACTOME_ASPIRIN_ADME,13,1,0.0163335748246759,1,CES1
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS,14,1,0.0175793062261645,1,PYGL
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,14,1,0.0175793062261645,1,FTL
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,163,2,0.017970218205052,1,"LGMN,CTSB"
REACTOME_LDL_CLEARANCE,18,1,0.0225470570797207,1,NPC2
REACTOME_GLYCOGEN_METABOLISM,24,1,0.0299533544795055,1,PYGL
REACTOME_KIDNEY_DEVELOPMENT,25,1,0.0311824717271028,1,WFDC2
REACTOME_LAMININ_INTERACTIONS,26,1,0.0324100892070808,1,NID1
REACTOME_METABOLISM_OF_STEROID_HORMONES,26,1,0.0324100892070808,1,HSD11B1
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,236,2,0.0356754684069368,1,"NID1,CTSB"
