,Set,N,DE,P.DE,FDR
1,REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM,11,1,0.00559950428863454,1
2,REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,13,1,0.00661452815965491,1
3,REACTOME_LAMININ_INTERACTIONS,26,1,0.013189257843551,1
4,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,65,1,0.0326768072922267,1
5,REACTOME_ISG15_ANTIVIRAL_MECHANISM,73,1,0.03663074500498,1
6,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,91,1,0.0454734403968361,1
7,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,108,1,0.0537570562625612,1
8,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,112,1,0.055696620035843,1
9,REACTOME_METABOLISM_OF_STEROIDS,132,1,0.0653403368783976,1
10,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,144,1,0.0710835028800122,1
11,REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,163,1,0.0801112652258335,1
12,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,241,1,0.116342903640892,1
13,REACTOME_INTERFERON_SIGNALING,247,1,0.119075477481464,1
14,REACTOME_METABOLISM_OF_LIPIDS,659,1,0.28934394083767,1
15,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,714,1,0.309651805135437,1
16,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,721,1,0.312198236385436,1
17,REACTOME_INNATE_IMMUNE_SYSTEM,921,1,0.381443333985955,1
18,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,1269,1,0.486998704233626,1
19,REACTOME_2_LTR_CIRCLE_FORMATION,7,0,1,1
20,REACTOME_ABACAVIR_ADME,5,0,1,1
