,Set,N,DE,P.DE,FDR,DEG.GENES
1,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,594,5,0.00045081525717706,0.7821644712022,SLC28A3,SLC46A1,SLC39A8,CLIC2,LIPA
2,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,236,3,0.00227864626334965,1,ITGA1,PDGFB,MMP14
3,REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA,5,1,0.00561297054223808,1,PMAIP1
4,REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS,6,1,0.00673193569166564,1,FAR2
5,REACTOME_CHL1_INTERACTIONS,8,1,0.00896624700774096,1,ITGA1
6,REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY,8,1,0.00896624700774096,1,SLC39A8
7,REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,9,1,0.0100815956629262,1,PMAIP1
8,REACTOME_MUSCLE_CONTRACTION,136,2,0.0101580169689709,1,ITGA1,CLIC2
9,REACTOME_PYRIMIDINE_SALVAGE,10,1,0.0111957413065239,1,CDA
10,REACTOME_RHOBTB3_ATPASE_CYCLE,10,1,0.0111957413065239,1,RHOBTB3
11,REACTOME_TGFBR3_PTM_REGULATION,10,1,0.0111957413065239,1,MMP14
12,REACTOME_RIBAVIRIN_ADME,11,1,0.012308685179743,1,SLC28A3
13,REACTOME_TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE,11,1,0.012308685179743,1,SLC28A3
14,REACTOME_ZINC_TRANSPORTERS,11,1,0.012308685179743,1,SLC39A8
15,REACTOME_NEUTROPHIL_DEGRANULATION,445,3,0.0131796803757938,1,CDA,LILRB2,SIRPB1
16,REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,14,1,0.0156403185708606,1,SIRPB1
17,REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,15,1,0.0167484677501991,1,ITGA1
18,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,184,2,0.0180295995043183,1,SLC28A3,SLC39A8
19,REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,17,1,0.0189611805947864,1,SLC46A1
20,REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,17,1,0.0189611805947864,1,ITGA1
21,REACTOME_LDL_CLEARANCE,18,1,0.0200657467265994,1,LIPA
22,REACTOME_METAL_ION_SLC_TRANSPORTERS,18,1,0.0200657467265994,1,SLC39A8
23,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE,20,1,0.0222713045665613,1,PMAIP1
24,REACTOME_NUCLEOTIDE_SALVAGE,21,1,0.0233722987339894,1,CDA
25,REACTOME_AZATHIOPRINE_ADME,22,1,0.0244721047038835,1,SLC28A3
26,REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,24,1,0.0266681569563115,1,MMP14
27,REACTOME_LAMININ_INTERACTIONS,26,1,0.0288594711222488,1,ITGA1
28,REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,29,1,0.032137579845497,1,PDGFB
29,REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,30,1,0.0332279242917847,1,PMAIP1
30,REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES,32,1,0.0354050827958157,1,SLC28A3
31,REACTOME_SMOOTH_MUSCLE_CONTRACTION,34,1,0.0375775422142945,1,ITGA1
32,REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,36,1,0.0397453122494666,1,LIPA
33,REACTOME_ION_HOMEOSTASIS,37,1,0.0408274417750335,1,CLIC2
34,REACTOME_DAP12_INTERACTIONS,38,1,0.0419084025844541,1,SIRPB1
35,REACTOME_SIGNALING_BY_TGFBR3,38,1,0.0419084025844541,1,MMP14
36,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,44,1,0.0483696919334267,1,PMAIP1
37,REACTOME_HEME_SIGNALING,46,1,0.0505141599176793,1,SLC46A1
38,REACTOME_COLLAGEN_DEGRADATION,48,1,0.0526539963317577,1,MMP14
39,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,49,1,0.0537221806910738,1,PDGFB
40,REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK,49,1,0.0537221806910738,1,RHOBTB3
41,REACTOME_SIGNALING_BY_PDGF,51,1,0.0558550876861162,1,PDGFB
42,REACTOME_IRON_UPTAKE_AND_TRANSPORT,54,1,0.0590458117499446,1,SLC46A1
43,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,55,1,0.0601070881500572,1,PMAIP1
44,REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK,55,1,0.0601070881500572,1,ARHGEF5
45,REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS,57,1,0.0622262006442008,1,SLC39A8
46,REACTOME_SEMAPHORIN_INTERACTIONS,60,1,0.0653962863948342,1,ITGA1
47,REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,63,1,0.0685561009330483,1,LIPA
48,REACTOME_DRUG_ADME,64,1,0.0696070954594987,1,SLC28A3
49,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,65,1,0.0706569534551247,1,PDGFB
50,REACTOME_RHOB_GTPASE_CYCLE,67,1,0.072753264555334,1,ARHGEF5
