,Set,N,DE,P.DE,FDR
1,REACTOME_NEUTROPHIL_DEGRANULATION,445,3,0.00214136100446714,1
2,REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS,6,1,0.00361294723467853,1
3,REACTOME_CHL1_INTERACTIONS,8,1,0.00481458279428393,1
4,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,597,3,0.00491082067019267,1
5,REACTOME_PYRIMIDINE_SALVAGE,10,1,0.00601488054013744,1
6,REACTOME_RIBAVIRIN_ADME,11,1,0.00661452815965446,1
7,REACTOME_TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE,11,1,0.00661452815965446,1
8,REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,14,1,0.00841146805105408,1
9,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,241,2,0.00894962953200681,1
10,REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,15,1,0.00900978092714366,1
11,REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,17,1,0.010205407069336,1
12,REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,17,1,0.010205407069336,1
13,REACTOME_LDL_CLEARANCE,18,1,0.0108027206756914,1
14,REACTOME_NUCLEOTIDE_SALVAGE,21,1,0.0125926656756351,1
15,REACTOME_AZATHIOPRINE_ADME,22,1,0.0131886493020732,1
16,REACTOME_LAMININ_INTERACTIONS,26,1,0.0155692647980177,1
17,REACTOME_INNATE_IMMUNE_SYSTEM,921,3,0.0161193784649693,1
18,REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,29,1,0.0173512462044229,1
19,REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES,32,1,0.0191302496460874,1
20,REACTOME_SMOOTH_MUSCLE_CONTRACTION,34,1,0.0203145997690497,1
