Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOMF_CHEMOKINE_ACTIVITY,19,Down,5.8574159988082e-07,0.00584845680250869,""
GOBP_REGULATION_OF_T_CELL_COSTIMULATION,2,Down,7.33394796226559e-07,0.00584845680250869,LILRB2
HP_COMPENSATED_HYPOTHYROIDISM,1,Down,1.08193210714682e-05,0.0575191172562819,TANGO2
GOBP_THYMOCYTE_MIGRATION,2,Down,4.63165298838656e-05,0.15614137576292,""
GOMF_CHEMOKINE_RECEPTOR_BINDING,25,Down,5.23502625032826e-05,0.15614137576292,""
GOBP_EOSINOPHIL_MIGRATION,11,Down,7.51752024975834e-05,0.15614137576292,""
GOBP_DETOXIFICATION_OF_COPPER_ION,8,Up,8.68405753090734e-05,0.15614137576292,MT1E
GOBP_SEMICIRCULAR_CANAL_DEVELOPMENT,3,Up,9.4291141023593e-05,0.15614137576292,""
GOBP_SEMICIRCULAR_CANAL_MORPHOGENESIS,3,Up,9.4291141023593e-05,0.15614137576292,""
GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,14,Down,9.7900417432391e-05,0.15614137576292,HPSE
GOMF_INHIBITORY_MHC_CLASS_I_RECEPTOR_ACTIVITY,5,Down,0.000122123353472227,0.172715276736265,LILRB2
GOBP_RESPONSE_TO_CHEMOKINE,43,Down,0.000129950675329812,0.172715276736265,""
HP_FOCAL_IMPAIRED_AWARENESS_SEIZURE,69,Down,0.00014939598361833,0.183285887902211,TANGO2
GOBP_LEUKOCYTE_AGGREGATION,9,Down,0.000206086381609368,0.216289849021231,""
GOBP_POSITIVE_REGULATION_OF_MONOCYTE_EXTRAVASATION,3,Up,0.000249995626758474,0.216289849021231,PDGFD
GOBP_REGULATION_OF_MONOCYTE_EXTRAVASATION,3,Up,0.000249995626758474,0.216289849021231,PDGFD
GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING,6,Down,0.000257207955218342,0.216289849021231,""
GOCC_IGA_IMMUNOGLOBULIN_COMPLEX,2,Down,0.00026561384042945,0.216289849021231,""
GOCC_IGG_IMMUNOGLOBULIN_COMPLEX,2,Down,0.00026561384042945,0.216289849021231,""
GOCC_SEPTIN_CYTOSKELETON,13,Down,0.000271226846850876,0.216289849021231,SEPTIN9
GOBP_VASCULAR_WOUND_HEALING,9,Down,0.000315015219339747,0.238603226859376,HPSE
HP_ABLEPHARON,2,Up,0.000329128534134195,0.238603226859376,PHGDH
GOBP_POSITIVE_REGULATION_OF_TOLERANCE_INDUCTION,7,Down,0.000386070369834021,0.262865814967834,LILRB2
GOBP_MONOCYTE_AGGREGATION,3,Down,0.000395559568576589,0.262865814967834,""
HP_THICKENED_CORTEX_OF_LONG_BONES,9,Up,0.000434830041151455,0.269776870986809,ANO5
GOBP_REGULATION_OF_EOSINOPHIL_MIGRATION,3,Down,0.000439789243567436,0.269776870986809,""
GOBP_GRANULOCYTE_CHEMOTAXIS,76,Down,0.000475091050440859,0.280638043091898,""
GOBP_CHRONIC_INFLAMMATORY_RESPONSE,10,Down,0.00049400418036794,0.281388309738867,""
GOBP_RESPONSE_TO_CORTICOTROPIN_RELEASING_HORMONE,3,Down,0.000519466638423029,0.283506561450433,""
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_5_PRODUCTION,3,Down,0.000543756548791888,0.283506561450433,""
GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND,13,Up,0.000551050436075203,0.283506561450433,MT1E
GOBP_REGULATION_OF_SMOOTH_MUSCLE_CELL_CHEMOTAXIS,5,Up,0.000598723656049429,0.289364957282798,PDGFD
GOBP_SMOOTH_MUSCLE_CELL_CHEMOTAXIS,5,Up,0.000598723656049429,0.289364957282798,PDGFD
GOBP_FEMALE_GENITALIA_DEVELOPMENT,8,Up,0.000660061147008419,0.309626918636391,""
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_13_PRODUCTION,3,Down,0.000686727320693403,0.310830860414177,""
GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,19,Up,0.00070160580443353,0.310830860414177,""
GOBP_HYALURONAN_BIOSYNTHETIC_PROCESS,8,Down,0.000799791528396212,0.344753380713275,""
GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_1_SIGNALING_PATHWAY,8,Down,0.000855037562917368,0.348567847875293,""
GOBP_PROSTAGLANDIN_SECRETION,9,Down,0.000867745280905238,0.348567847875293,""
GOBP_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION,16,Down,0.000896061305592013,0.348567847875293,""
GOBP_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION,16,Down,0.000896061305592013,0.348567847875293,""
GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,14,Down,0.000929036585917846,0.3501921239311,""
GOMF_MALATE_DEHYDROGENASE_ACTIVITY,6,Up,0.000944150813783768,0.3501921239311,PHGDH
GOMF_BETA_GLUCOSIDASE_ACTIVITY,2,Up,0.000975506230616016,0.353598838002155,KL
GOMF_PHOSPHATIDYLGLYCEROL_BINDING,10,Up,0.00100517253635471,0.355706418288559,""
GOMF_PHOSPHATIDIC_ACID_TRANSFER_ACTIVITY,6,Up,0.00103081944474183,0.355706418288559,""
HP_SMALL_PLACENTA,5,Up,0.00104822883312824,0.355706418288559,PHGDH
HP_OCCIPITAL_MENINGOCELE,3,Up,0.00121471228267806,0.382275535472032,KIAA0586
GOMF_G_PROTEIN_BETA_SUBUNIT_BINDING,6,Up,0.00126841109943244,0.382275535472032,""
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,2,Down,0.00126988647785923,0.382275535472032,""
