,Set,NGenes,Direction,PValue,FDR
1,GOCC_ENDOLYSOSOME_LUMEN,5,Down,1.54122407900568e-07,0.00245347461136915
2,GOMF_SUPEROXIDE_DISMUTASE_ACTIVITY,4,Down,4.27499643785803e-07,0.00310734230499927
3,GOBP_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL,14,Down,5.85591237828872e-07,0.00310734230499927
4,GOBP_RESPONSE_TO_OXYGEN_RADICAL,17,Down,2.51359704305609e-06,0.0100034878321025
5,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,30,Down,3.74066117246096e-06,0.0101360398712447
6,GOBP_COLLAGEN_CATABOLIC_PROCESS,16,Down,3.8203555014428e-06,0.0101360398712447
7,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,26,Down,7.93003613085037e-06,0.01576466482842
8,GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,14,Down,8.04138051736917e-06,0.01576466482842
9,GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX,13,Down,8.91274473621335e-06,0.01576466482842
10,GOBP_CONNECTIVE_TISSUE_REPLACEMENT,10,Up,1.00532452439843e-05,0.0160037611038985
11,GOBP_REGULATION_OF_T_CELL_COSTIMULATION,2,Down,1.6536353765829e-05,0.0239311105089302
12,GOBP_DIRECT_OSSIFICATION,2,Down,1.93743581806804e-05,0.0257017006565209
13,GOBP_INHIBITORY_SYNAPSE_ASSEMBLY,6,Down,4.22331320290474e-05,0.0488451745289231
14,GOMF_MHC_PROTEIN_COMPLEX_BINDING,27,Down,4.29569975127158e-05,0.0488451745289231
15,GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_REGULATION_OF_THE_RELEASE_OF_SEQUESTERED_CALCIUM_ION,12,Down,7.46636144134099e-05,0.0755065835935507
16,GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX,18,Down,7.58907806706961e-05,0.0755065835935507
17,HP_TRANSIENT_GLOBAL_AMNESIA,16,Down,8.26025638181995e-05,0.0773500125542305
18,GOBP_FUSED_ANTRUM_STAGE,2,Up,8.95813255384487e-05,0.0792247289581425
19,GOMF_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY,5,Up,9.4883684889812e-05,0.0794975463032062
20,GOMF_NERVE_GROWTH_FACTOR_RECEPTOR_BINDING,1,Down,0.000116894361098583,0.093042066716417
21,GOBP_REGULATION_OF_SODIUM_DEPENDENT_PHOSPHATE_TRANSPORT,3,Up,0.000156813076395924,0.113468516506669
22,GOBP_SODIUM_DEPENDENT_PHOSPHATE_TRANSPORT,3,Up,0.000156813076395924,0.113468516506669
23,GOMF_MHC_CLASS_II_RECEPTOR_ACTIVITY,8,Down,0.000178594278975072,0.120214474201576
24,GOBP_BONE_MARROW_DEVELOPMENT,7,Down,0.000181416635313548,0.120214474201576
25,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,36,Down,0.00018879086971791,0.120214474201576
26,GOBP_NEURONAL_ACTION_POTENTIAL_PROPAGATION,1,Down,0.000199903892194502,0.122395002301703
27,GOBP_FEVER_GENERATION,5,Up,0.000212997045561046,0.125272237703974
28,GOBP_VITAMIN_E_METABOLIC_PROCESS,2,Down,0.000220341896834681,0.125272237703974
29,GOBP_CONNECTIVE_TISSUE_REPLACEMENT_INVOLVED_IN_INFLAMMATORY_RESPONSE_WOUND_HEALING,5,Up,0.000271110393685661,0.148820908864898
30,GOCC_ENDOLYSOSOME,24,Down,0.000287350551376576,0.150454359070772
31,GOBP_CELLULAR_OXIDANT_DETOXIFICATION,56,Down,0.000292988575362393,0.150454359070772
32,GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_SARCOPLASMIC_RETICULUM,15,Down,0.000313341566663493,0.155877637491129
33,GOMF_FIBRONECTIN_BINDING,15,Down,0.000325968994907156,0.157245467573546
34,GOBP_RETINOL_METABOLIC_PROCESS,22,Up,0.000370464683106946,0.173453743834691
35,GOBP_DETOXIFICATION,82,Down,0.000385965401710807,0.175548092280981
36,GOBP_HEAT_GENERATION,9,Up,0.000402554929746487,0.17800755351762
37,GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,38,Down,0.000422112910397031,0.181611227584063
38,GOBP_POSITIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,2,Down,0.000444820569309861,0.186344701127465
39,GOMF_ANTIOXIDANT_ACTIVITY,47,Down,0.000534935938125296,0.204693364108855
40,GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT,18,Down,0.000541340005888063,0.204693364108855
41,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,23,Down,0.000542758388556638,0.204693364108855
42,GOBP_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT,5,Up,0.00055005641767416,0.204693364108855
43,GOBP_G1_TO_G0_TRANSITION_INVOLVED_IN_CELL_DIFFERENTIATION,2,Down,0.000570183168333641,0.204693364108855
44,GOCC_GABA_RECEPTOR_COMPLEX,2,Down,0.00060040838424065,0.204693364108855
45,GOMF_GABA_A_RECEPTOR_ACTIVITY,2,Down,0.00060040838424065,0.204693364108855
46,GOMF_GABA_RECEPTOR_ACTIVITY,2,Down,0.00060040838424065,0.204693364108855
47,GOBP_SUPEROXIDE_METABOLIC_PROCESS,40,Down,0.000605110807116019,0.204693364108855
48,GOCC_SERINE_TYPE_ENDOPEPTIDASE_COMPLEX,5,Up,0.000643108618109292,0.204693364108855
49,GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX,5,Up,0.000643108618109292,0.204693364108855
50,GOMF_DIACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY,4,Up,0.000654942891948466,0.204693364108855
51,GOBP_MIDGUT_DEVELOPMENT,1,Up,0.00066797295712835,0.204693364108855
52,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,41,Down,0.000668638415331395,0.204693364108855
53,HP_SHORT_SPERM_FLAGELLA,9,Down,0.000721072522709701,0.213093851620243
54,GOBP_MEGAKARYOCYTE_DEVELOPMENT,14,Up,0.000722851183333947,0.213093851620243
55,HP_ABNORMAL_SPERM_TAIL_MORPHOLOGY,13,Down,0.000767340476878481,0.221150130171856
56,GOBP_RESPONSE_TO_OZONE,3,Up,0.000777963897834281,0.221150130171856
57,GOBP_RESPONSE_TO_AMINE,22,Down,0.000855143739884244,0.234994150005223
58,HP_IRREGULARLY_SHAPED_SPERM_TAIL,7,Down,0.000856188246768197,0.234994150005223
59,GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE,73,Down,0.00103019313754592,0.277960077230399
60,HP_ABNORMAL_RAPID_EYE_MOVEMENT_SLEEP,9,Down,0.00110584274158087,0.293398510053764
61,HP_ABNORMALITY_OF_THE_THORACIC_CAVITY,43,Down,0.00118154003243515,0.297910022816799
62,GOMF_MHC_CLASS_IB_PROTEIN_BINDING,4,Down,0.0011923513871442,0.297910022816799
63,GOBP_VESTIBULOCOCHLEAR_NERVE_FORMATION,1,Down,0.00122406906494486,0.297910022816799
64,HP_PRURITIS_ON_HAND,1,Down,0.00122406906494486,0.297910022816799
65,GOBP_INTRACELLULAR_ZINC_ION_HOMEOSTASIS,21,Down,0.00124258353615279,0.297910022816799
66,HP_ABSENCE_OF_SECONDARY_SEX_CHARACTERISTICS,15,Down,0.00126226394016071,0.297910022816799
67,GOMF_PROTEOGLYCAN_BINDING,18,Down,0.00127966082174272,0.297910022816799
68,GOBP_CRANIAL_NERVE_FORMATION,4,Down,0.00130129393597351,0.297910022816799
69,GOMF_STRUCTURAL_CONSTITUENT_OF_SKIN_EPIDERMIS,2,Up,0.00130652083528717,0.297910022816799
70,GOMF_CELL_MATRIX_ADHESION_MEDIATOR_ACTIVITY,2,Up,0.00132870228154989,0.297910022816799
71,GOMF_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION,2,Up,0.00132870228154989,0.297910022816799
72,GOBP_PRIMITIVE_STREAK_FORMATION,2,Up,0.00138705482789214,0.306673969516874
73,GOBP_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES,7,Down,0.00144259869628476,0.311699152083777
74,GOBP_TRANSITION_METAL_ION_TRANSPORT,61,Down,0.00144894385666182,0.311699152083777
75,HP_HYPNOPOMPIC_HALLUCINATION,4,Down,0.00152653247739909,0.324011606769549
76,HP_ABNORMAL_CIRCULATING_OSTEOCALCIN_LEVEL,3,Down,0.00157541523083965,0.326000681344789
77,GOBP_ACUTE_PHASE_RESPONSE,19,Up,0.00160407803190395,0.326000681344789
78,HP_DECREASED_CIRCULATING_ANDROGEN_CONCENTRATION,33,Down,0.0016118507027896,0.326000681344789
79,HP_ABSENT_SPERM_FLAGELLA,9,Down,0.00161781857065383,0.326000681344789
80,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,57,Down,0.00165352986646903,0.329031774304006
81,GOBP_LIPID_IMPORT_INTO_CELL,14,Down,0.00173972822771449,0.341910292061568
82,GOMF_POTASSIUM_CHANNEL_ACTIVATOR_ACTIVITY,1,Down,0.00177091566498656,0.34379520086489
83,HP_THYROIDITIS,34,Down,0.00181975398048736,0.346662534338811
84,GOBP_COLLAGEN_METABOLIC_PROCESS,44,Down,0.00185338701012521,0.346662534338811
85,GOBP_PERIPHERAL_NERVOUS_SYSTEM_MYELIN_MAINTENANCE,5,Down,0.00186083159284869,0.346662534338811
86,GOBP_REGULATION_OF_MEMBRANE_INVAGINATION,11,Down,0.00187297958666199,0.346662534338811
87,GOBP_REGULATION_OF_CARDIAC_CONDUCTION,8,Down,0.00189456878494105,0.346662534338811
88,HP_CATAPLEXY,8,Down,0.00202634252087126,0.3665607567017
89,GOBP_REGULATION_OF_EATING_BEHAVIOR,3,Up,0.00209627141468432,0.369352194839748
90,GOMF_OLIGOSACCHARIDE_BINDING,6,Down,0.00209763513120345,0.369352194839748
91,GOCC_MHC_PROTEIN_COMPLEX,22,Down,0.00211191982607047,0.369352194839748
92,GOBP_THYROID_HORMONE_GENERATION,8,Down,0.00213458143886279,0.369352194839748
93,HP_THYROID_ADENOMA,10,Down,0.00216711323298403,0.370949199525514
94,GOBP_CELLULAR_RESPONSE_TO_CADMIUM_ION,25,Down,0.00223054731508747,0.377745560732739
95,GOBP_MEMBRANE_DEPOLARIZATION_DURING_SA_NODE_CELL_ACTION_POTENTIAL,1,Down,0.00231143971479833,0.379338235256439
96,GOBP_SA_NODE_CELL_TO_ATRIAL_CARDIAC_MUSCLE_CELL_COMMUNICATION,1,Down,0.00231143971479833,0.379338235256439
97,GOBP_SA_NODE_CELL_TO_ATRIAL_CARDIAC_MUSCLE_CELL_SIGNALING,1,Down,0.00231143971479833,0.379338235256439
98,GOBP_NEGATIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,2,Down,0.00233540783883881,0.379360789657908
99,GOBP_RESPONSE_TO_HYDROGEN_PEROXIDE,75,Down,0.00249596198007895,0.401345644049261
100,GOBP_CGMP_CATABOLIC_PROCESS,1,Down,0.00258431399189114,0.40959198360157
