,Set,NGenes,Direction,PValue,FDR
1,REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,10,Down,0.000169949191611741,0.289083574931572
2,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,90,Down,0.000721623908182663,0.397115218699472
3,REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS,20,Down,0.00126432576396339,0.397115218699472
4,REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,7,Down,0.00133554527124162,0.397115218699472
5,REACTOME_RAS_SIGNALING_DOWNSTREAM_OF_NF1_LOSS_OF_FUNCTION_VARIANTS,6,Up,0.00160856265470758,0.397115218699472
6,REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,2,Down,0.00166578608984197,0.397115218699472
7,REACTOME_METALLOTHIONEINS_BIND_METALS,5,Down,0.00205898794879458,0.397115218699472
8,REACTOME_RA_BIOSYNTHESIS_PATHWAY,11,Up,0.00226834433586469,0.397115218699472
9,REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN,4,Up,0.00227043868510998,0.397115218699472
10,REACTOME_NADE_MODULATES_DEATH_SIGNALLING,4,Down,0.00266185879454131,0.397115218699472
11,REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING,7,Up,0.00275349395743036,0.397115218699472
12,REACTOME_SCAVENGING_BY_CLASS_B_RECEPTORS,2,Down,0.00299642088513109,0.397115218699472
13,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,65,Down,0.003045982227344,0.397115218699472
14,REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,6,Up,0.00338803679140607,0.397115218699472
15,REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,28,Down,0.00350189787212938,0.397115218699472
16,REACTOME_COLLAGEN_DEGRADATION,16,Down,0.00384243147862573,0.405633024253074
17,REACTOME_PECAM1_INTERACTIONS,9,Up,0.00405394556866682,0.405633024253074
18,REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING,8,Up,0.00460373310277974,0.420773645513026
19,REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS,8,Up,0.00538132671397809,0.420773645513026
20,REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION,6,Down,0.00538240840647845,0.420773645513026
21,REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS,5,Down,0.00563819711558163,0.420773645513026
22,REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,30,Down,0.00564624663339048,0.420773645513026
23,REACTOME_MAP2K_AND_MAPK_ACTIVATION,30,Up,0.0056894731609639,0.420773645513026
24,REACTOME_CHL1_INTERACTIONS,4,Up,0.00600112384659846,0.425329652627666
25,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,43,Down,0.00645509367651112,0.439204573749816
26,REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII,12,Up,0.00782704172329851,0.4665508193494
27,REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION,16,Down,0.00838305288932898,0.4665508193494
28,REACTOME_CGMP_EFFECTS,6,Down,0.00871351843805834,0.4665508193494
29,REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,6,Down,0.00871351843805834,0.4665508193494
30,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,15,Up,0.00871380156165376,0.4665508193494
31,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,19,Down,0.00918229968824093,0.4665508193494
32,REACTOME_GAB1_SIGNALOSOME,12,Up,0.00922806154887356,0.4665508193494
33,REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,73,Down,0.00930382759384984,0.4665508193494
34,REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE,12,Up,0.00981851915765432,0.4665508193494
35,REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER,6,Up,0.00992795307921197,0.4665508193494
36,REACTOME_TIE2_SIGNALING,14,Up,0.0102782841486244,0.4665508193494
37,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,9,Down,0.0105665791041827,0.4665508193494
38,REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,7,Down,0.011085339452223,0.4665508193494
39,REACTOME_MECP2_REGULATES_TRANSCRIPTION_FACTORS,4,Up,0.0113461110777497,0.4665508193494
40,REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA,6,Down,0.0115628046037107,0.4665508193494
41,REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION,2,Up,0.0115934130450398,0.4665508193494
42,REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING,10,Up,0.0116836811646379,0.4665508193494
43,REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,27,Down,0.011794053634347,0.4665508193494
44,REACTOME_CA2_ACTIVATED_K_CHANNELS,3,Down,0.0123509727556827,0.4771337929792
45,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,94,Down,0.0126225871158518,0.4771337929792
46,REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,5,Up,0.0132599023082286,0.490328126658626
47,REACTOME_LIPOPHAGY,7,Up,0.0138786143223815,0.493871610683789
48,REACTOME_METABOLISM_OF_POLYAMINES,54,Down,0.0140952507131458,0.493871610683789
49,REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING,54,Down,0.0142267542172285,0.493871610683789
50,REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,41,Up,0.0148968436718441,0.501386727460182
51,REACTOME_TGFBR3_PTM_REGULATION,9,Down,0.0158800724251771,0.501386727460182
52,REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,78,Down,0.0159318180354239,0.501386727460182
53,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_LIMIT_CHOLESTEROL_UPTAKE,5,Down,0.0163268957204946,0.501386727460182
54,REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,5,Up,0.0164056623760324,0.501386727460182
55,REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,23,Down,0.0175789925848033,0.501386727460182
56,REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,17,Down,0.0179058633500581,0.501386727460182
57,REACTOME_LOSS_OF_MECP2_BINDING_ABILITY_TO_THE_NCOR_SMRT_COMPLEX,7,Up,0.0181451324979444,0.501386727460182
58,REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS,4,Down,0.0184736209022639,0.501386727460182
59,REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,50,Down,0.0187102412031584,0.501386727460182
