Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Up,5.90451910479481e-10,1.00790141118847e-06,""
REACTOME_SELENOAMINO_ACID_METABOLISM,100,Up,4.77685008343467e-08,4.07704154621149e-05,""
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,98,Up,7.74908076306973e-08,4.40922695418668e-05,""
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Up,3.07688500487783e-07,0.00010928496694077,""
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Up,3.20108280435765e-07,0.00010928496694077,""
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,50,Up,4.90940764770522e-07,0.000139672647577214,""
REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS,34,Down,8.27641857086334e-07,0.000177232967426838,""
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Up,8.30617304870947e-07,0.000177232967426838,""
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,36,Up,1.19449898754433e-06,0.000226556641304242,""
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,157,Up,7.35651057953927e-06,0.00125575635592735,""
REACTOME_INFLUENZA_INFECTION,153,Up,8.45309439790539e-06,0.0013117665579295,""
REACTOME_RECYCLING_PATHWAY_OF_L1,29,Down,1.33279024710055e-05,0.00189589412650053,""
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,19,Down,1.8987600459918e-05,0.00249321799885231,""
REACTOME_MAP2K_AND_MAPK_ACTIVATION,31,Down,3.7231431605526e-05,0.00424896176151308,""
REACTOME_SENSORY_PROCESSING_OF_SOUND,33,Down,3.96240163558686e-05,0.00424896176151308,""
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,18,Down,3.98262379520851e-05,0.00424896176151308,""
REACTOME_INTERLEUKIN_10_SIGNALING,31,Down,0.000133321496517228,0.013387046738524,""
REACTOME_CHOLESTEROL_BIOSYNTHESIS,26,Down,0.000232364189422208,0.0220358706302061,""
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING,9,Down,0.000411053054863935,0.0361434832106979,""
REACTOME_RRNA_PROCESSING,197,Up,0.000423473734161663,0.0361434832106979,""
