Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,Up,8.38052825914843e-05,0.0688879422902001,""
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,72,Up,0.000336609626643822,0.137960274166874,""
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,Up,0.000503504650244064,0.137960274166874,""
WP_MAJOR_RECEPTORS_TARGETED_BY_EPINEPHRINE_AND_NOREPINEPHRINE,5,Up,0.000869995895477507,0.163227095373633,""
WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,28,Up,0.00099286554363524,0.163227095373633,""
WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,12,Up,0.0014481562888996,0.198397411579245,""
WP_PTF1A_RELATED_REGULATORY_PATHWAY,6,Up,0.00271084993526379,0.247710274746578,""
WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE,22,Up,0.00306008571288108,0.247710274746578,""
WP_NOTCH1_REGULATION_OF_ENDOTHELIAL_CELL_CALCIFICATION,7,Up,0.00306840721714659,0.247710274746578,""
WP_TYROSINE_METABOLISM_AND_RELATED_DISORDERS,2,Up,0.00323976971260001,0.247710274746578,""
WP_SPHINGOLIPID_METABOLISM_OVERVIEW,19,Up,0.00352461497156068,0.247710274746578,""
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,89,Up,0.00376603552589117,0.247710274746578,""
WP_MRNA_PROTEIN_AND_METABOLITE_INDUCATION_PATHWAY_BY_CYCLOSPORIN_A,5,Up,0.00391755908966607,0.247710274746578,""
WP_CREATINE_PATHWAY,2,Down,0.00626541214926522,0.307668410088749,""
WP_MEVALONATE_PATHWAY,7,Up,0.0062813163163207,0.307668410088749,""
WP_PHYSIOLOGICAL_AND_PATHOLOGICAL_HYPERTROPHY_OF_THE_HEART,16,Up,0.00633512558207491,0.307668410088749,""
WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,10,Up,0.00636297198480381,0.307668410088749,""
WP_IRON_METABOLISM_IN_PLACENTA,8,Down,0.00815716519278355,0.363678273909298,""
WP_PROSTAGLANDIN_SIGNALING,19,Up,0.00900447125642134,0.363678273909298,""
WP_EXTRACELLULAR_VESICLEMEDIATED_SIGNALING_IN_RECIPIENT_CELLS,16,Up,0.0092067116891274,0.363678273909298,MFGE8
WP_COMPLEMENT_ACTIVATION,12,Down,0.00929105079330324,0.363678273909298,""
WP_HYPERTROPHY_MODEL,13,Up,0.00979013503448882,0.365795045379537,""
WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,40,Up,0.0120388200822635,0.423812716629218,""
WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,19,Up,0.0123740939161815,0.423812716629218,""
WP_SRF_AND_MIRS_IN_SMOOTH_MUSCLE_DIFFERENTIATION_AND_PROLIFERATION,9,Up,0.0151212378212551,0.497186299562867,""
WP_ENDOCHONDRAL_OSSIFICATION,26,Up,0.0167908293689766,0.511187471899956,""
WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,26,Up,0.0167908293689766,0.511187471899956,""
WP_ENVELOPE_PROTEINS_AND_THEIR_POTENTIAL_ROLES_IN_EDMD_PHYSIOPATHOLOGY,32,Up,0.0179837707635365,0.52795212741525,""
WP_SELENIUM_METABOLISM_AND_SELENOPROTEINS,35,Up,0.0217756700856132,0.61722761415083,""
WP_MACROPHAGE_MARKERS,8,Down,0.0226854505697666,0.621581345611605,""
WP_GASTRIN_SIGNALING,92,Up,0.0301614127239552,0.790776936862076,""
WP_METHIONINE_METABOLISM_LEADING_TO_SULFUR_AMINO_ACIDS_AND_RELATED_DISORDERS,5,Down,0.030784503624801,0.790776936862076,""
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,14,Up,0.0329384091770791,0.810231789025075,TNNI2
WP_BLOOD_CLOTTING_CASCADE,5,Up,0.0352823277520282,0.810231789025075,""
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873,23,Up,0.0362754312447755,0.810231789025075,""
WP_INFLUENCE_OF_LAMINOPATHIES_ON_WNT_SIGNALING,26,Up,0.0389722735240084,0.810231789025075,""
WP_MITOCHONDRIAL_COMPLEX_II_ASSEMBLY,8,Up,0.0403889176562267,0.810231789025075,""
WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA,51,Down,0.0406090334467595,0.810231789025075,""
WP_TRANSSULFURATION_PATHWAY,8,Down,0.0415580265842493,0.810231789025075,""
WP_NANOMATERIALINDUCED_INFLAMMASOME_ACTIVATION,6,Up,0.0422874821245236,0.810231789025075,""
WP_MONOAMINE_GPCRS,3,Up,0.0441811197508668,0.810231789025075,""
WP_EXERCISEINDUCED_CIRCADIAN_REGULATION,37,Up,0.0454718261777796,0.810231789025075,""
WP_LINOLEIC_ACID_METABOLISM_AFFECTED_BY_SARSCOV2,4,Up,0.0462404239993057,0.810231789025075,""
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME,37,Up,0.0467220170254103,0.810231789025075,""
WP_8P231_COPY_NUMBER_VARIATION_SYNDROME,32,Up,0.0479768814731441,0.810231789025075,""
WP_DEVELOPMENT_OF_PULMONARY_DENDRITIC_CELLS_AND_MACROPHAGE_SUBSETS,10,Up,0.0485438509459515,0.810231789025075,""
WP_HEPATITIS_C_AND_HEPATOCELLULAR_CARCINOMA,32,Up,0.0494136096374922,0.810231789025075,""
WP_INTERACTOME_OF_POLYCOMB_REPRESSIVE_COMPLEX_2_PRC2,16,Down,0.0498081899820161,0.810231789025075,""
WP_HEART_DEVELOPMENT,16,Up,0.0507196807891277,0.810231789025075,""
WP_ZINC_HOMEOSTASIS,21,Up,0.0512229751110389,0.810231789025075,""
