Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_HIF1A_AND_PPARG_REGULATION_OF_GLYCOLYSIS,7,Down,0.00121956764547358,0.399346568558508,""
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,86,Up,0.00220051617991232,0.399346568558508,""
WP_ESTROGEN_METABOLISM_WP697,5,Up,0.00237031671033543,0.399346568558508,NQO1
WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,10,Down,0.00274792449177779,0.399346568558508,""
WP_IRON_METABOLISM_DISORDERS,10,Up,0.0034616394596978,0.399346568558508,""
WP_SEROTONIN_RECEPTOR_2_AND_ELKSRFGATA4_SIGNALING,14,Down,0.00432454247948083,0.399346568558508,""
WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,46,Up,0.00586000330513106,0.399346568558508,"BEX3,NQO1"
WP_HEDGEHOG_SIGNALING_WP47,6,Up,0.00615861784010967,0.399346568558508,""
WP_INTEGRATED_CANCER_PATHWAY,40,Up,0.00697558286615297,0.399346568558508,""
WP_BENZENE_METABOLISM,3,Up,0.00711112196746874,0.399346568558508,NQO1
WP_DNA_DAMAGE_RESPONSE,58,Up,0.00736195896243149,0.399346568558508,""
WP_ZINC_HOMEOSTASIS,21,Up,0.00780656966118321,0.399346568558508,""
WP_GABA_RECEPTOR_SIGNALING,10,Up,0.00820547217650638,0.399346568558508,""
WP_TRANSCRIPTIONAL_ACTIVATION_BY_NRF2_IN_RESPONSE_TO_PHYTOCHEMICALS,12,Up,0.00838704074750126,0.399346568558508,NQO1
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,50,Up,0.00908006105415046,0.399346568558508,""
WP_VITAMIN_B12_METABOLISM,22,Up,0.00932066462293132,0.399346568558508,""
WP_INFLAMMATORY_RESPONSE_PATHWAY,13,Up,0.00937450295559524,0.399346568558508,""
WP_SMALL_CELL_LUNG_CANCER,68,Up,0.0104168134017673,0.399346568558508,""
WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA,17,Up,0.0104718367002453,0.399346568558508,""
WP_LIVER_X_RECEPTOR_PATHWAY,5,Up,0.0109708094850261,0.399346568558508,NR1H3
WP_FERROPTOSIS,50,Up,0.011079105966938,0.399346568558508,""
WP_NEPHROGENESIS,4,Down,0.0116289036385847,0.399346568558508,ALDH1A2
WP_SULFATASE_AND_AROMATASE_PATHWAY,2,Up,0.0121814266637422,0.399346568558508,""
WP_OXIDATIVE_STRESS_RESPONSE,21,Up,0.0123587821197992,0.399346568558508,NQO1
WP_FATTY_ACID_TRANSPORTERS,10,Up,0.0124446284788919,0.399346568558508,""
WP_GDNFRET_SIGNALING_AXIS,4,Up,0.0126313999787363,0.399346568558508,""
WP_DOPAMINE_METABOLISM,7,Up,0.0131417100157933,0.400092060480817,NQO1
WP_IRON_METABOLISM_IN_PLACENTA,8,Up,0.0144976899559813,0.425610755136307,""
WP_OXIDATIVE_PHOSPHORYLATION,50,Up,0.0156021874500896,0.44224131324047,""
WP_MAJOR_RECEPTORS_TARGETED_BY_EPINEPHRINE_AND_NOREPINEPHRINE,5,Down,0.0162934031328301,0.446439245839546,""
WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT,20,Up,0.0186557046693183,0.494677072199343,""
WP_MBDNF_AND_PROBDNF_REGULATION_OF_GABA_NEUROTRANSMISSION,19,Up,0.0198974000181965,0.4993775340833,""
WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE,59,Up,0.0200480031931252,0.4993775340833,""
WP_COMPLEMENT_ACTIVATION,12,Up,0.0221304287693606,0.523448886653715,""
WP_GENES_CONTROLLING_NEPHROGENESIS,13,Up,0.0222879696263747,0.523448886653715,""
WP_SELENIUM_MICRONUTRIENT_NETWORK,48,Up,0.0246179804145621,0.530909704593507,""
WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY,39,Down,0.0246441763504068,0.530909704593507,""
WP_EICOSANOID_METABOLISM_VIA_CYTOCHROME_P450_MONOOXYGENASES_PATHWAY,2,Down,0.0247173641926752,0.530909704593507,""
WP_SEROTONIN_RECEPTOR_467_AND_NR3C_SIGNALING,16,Down,0.0251891465683051,0.530909704593507,""
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE,128,Up,0.0265248470744853,0.53915276618971,NR1H3
WP_LEPTININSULIN_SIGNALING_OVERLAP,13,Up,0.0272892949979347,0.53915276618971,""
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,17,Down,0.0275479515571385,0.53915276618971,""
WP_RETINOBLASTOMA_GENE_IN_CANCER,68,Up,0.0285874035641749,0.546484784412831,""
WP_GPCRS_OTHER,10,Down,0.0305810609271199,0.571309820047558,""
WP_OXIDATIVE_DAMAGE_RESPONSE,32,Up,0.0323623716747328,0.59115265592512,""
WP_FOLATE_METABOLISM,35,Up,0.0344667033560968,0.5983676965358,""
WP_EDA_SIGNALING_IN_HAIR_FOLLICLE_DEVELOPMENT,4,Up,0.0357665681672436,0.5983676965358,""
WP_BREAST_CANCER_PATHWAY,87,Up,0.0372055643600037,0.5983676965358,""
WP_DIFFERENTIATION_OF_WHITE_AND_BROWN_ADIPOCYTE,9,Down,0.0380175684443359,0.5983676965358,""
WP_MONOAMINE_GPCRS,3,Down,0.0391390968997897,0.5983676965358,""
