,Set,NGenes,Direction,PValue,FDR
1,WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,Down,7.29375048218713e-05,0.0599546289635782
2,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,72,Down,0.000466655436906549,0.139904554373021
3,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,Down,0.000510600563405186,0.139904554373021
4,WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,28,Down,0.000870039709091554,0.15816685535461
5,WP_MAJOR_RECEPTORS_TARGETED_BY_EPINEPHRINE_AND_NOREPINEPHRINE,5,Down,0.000962085494857725,0.15816685535461
6,WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,12,Down,0.00138207066411357,0.189343680983558
7,WP_MRNA_PROTEIN_AND_METABOLITE_INDUCATION_PATHWAY_BY_CYCLOSPORIN_A,5,Down,0.00194454714058782,0.228345392794742
8,WP_PTF1A_RELATED_REGULATORY_PATHWAY,6,Down,0.00293623209818872,0.271509583640072
9,WP_TYROSINE_METABOLISM_AND_RELATED_DISORDERS,2,Down,0.00297273266759202,0.271509583640072
10,WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,89,Down,0.00411355343649745,0.328962243044293
11,WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE,22,Down,0.00449219219347607,0.328962243044293
12,WP_SPHINGOLIPID_METABOLISM_OVERVIEW,19,Down,0.00491143100692714,0.328962243044293
13,WP_MEVALONATE_PATHWAY,7,Down,0.00520256588756181,0.328962243044293
14,WP_NOTCH1_REGULATION_OF_ENDOTHELIAL_CELL_CALCIFICATION,7,Down,0.00569025740129904,0.334099398847701
15,WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,10,Down,0.00615997782615233,0.337566784873148
16,WP_CREATINE_PATHWAY,2,Up,0.00719785995354433,0.36979005511334
17,WP_EXTRACELLULAR_VESICLEMEDIATED_SIGNALING_IN_RECIPIENT_CELLS,16,Down,0.00771612783181325,0.373097475161794
18,WP_PHYSIOLOGICAL_AND_PATHOLOGICAL_HYPERTROPHY_OF_THE_HEART,16,Down,0.0089543499840946,0.39418151782329
19,WP_COMPLEMENT_ACTIVATION,12,Up,0.00911752432745378,0.39418151782329
20,WP_IRON_METABOLISM_IN_PLACENTA,8,Up,0.0095907911879146,0.39418151782329
21,WP_PROSTAGLANDIN_SIGNALING,19,Down,0.0102078417096594,0.399564089778097
22,WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,40,Down,0.0114837716296113,0.429075467251841
23,WP_ENDOCHONDRAL_OSSIFICATION,26,Down,0.0126358820204862,0.432778959201652
24,WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,26,Down,0.0126358820204862,0.432778959201652
25,WP_HYPERTROPHY_MODEL,13,Down,0.0145822840270016,0.479465498807813
26,WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,19,Down,0.0159871845797549,0.505440989406096
27,WP_SRF_AND_MIRS_IN_SMOOTH_MUSCLE_DIFFERENTIATION_AND_PROLIFERATION,9,Down,0.0176289349118015,0.536703129537069
28,WP_ENVELOPE_PROTEINS_AND_THEIR_POTENTIAL_ROLES_IN_EDMD_PHYSIOPATHOLOGY,32,Down,0.0201319376496717,0.580940067080386
29,WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,14,Down,0.0209102919509298,0.580940067080386
30,WP_MACROPHAGE_MARKERS,8,Up,0.0212021922292112,0.580940067080386
31,WP_BLOOD_CLOTTING_CASCADE,5,Down,0.0226102499870899,0.587465705209736
32,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,86,Up,0.0228697111517172,0.587465705209736
33,WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA,51,Up,0.02597447192496,0.647000482494458
34,WP_METHIONINE_METABOLISM_LEADING_TO_SULFUR_AMINO_ACIDS_AND_RELATED_DISORDERS,5,Up,0.0360394187335261,0.811258062459337
35,WP_SELENIUM_METABOLISM_AND_SELENOPROTEINS,35,Down,0.0372739768601561,0.811258062459337
36,WP_INFLUENCE_OF_LAMINOPATHIES_ON_WNT_SIGNALING,26,Down,0.0404484656439358,0.811258062459337
37,WP_PHOSPHATIDYL_INOSITOL_PHOSPHATE_PATHWAY,37,Up,0.0405186213752371,0.811258062459337
38,WP_LINOLEIC_ACID_METABOLISM_AFFECTED_BY_SARSCOV2,4,Down,0.0408842569051596,0.811258062459337
39,WP_INTERACTOME_OF_POLYCOMB_REPRESSIVE_COMPLEX_2_PRC2,16,Up,0.0412335631405542,0.811258062459337
40,WP_GASTRIN_SIGNALING,92,Down,0.0413762788062997,0.811258062459337
41,WP_NANOMATERIALINDUCED_INFLAMMASOME_ACTIVATION,6,Down,0.0415811678583882,0.811258062459337
42,WP_MITOCHONDRIAL_COMPLEX_II_ASSEMBLY,8,Down,0.042740383875976,0.811258062459337
43,WP_MONOAMINE_GPCRS,3,Down,0.0428792083688363,0.811258062459337
44,WP_METABOLISM_OF_ALPHALINOLENIC_ACID,4,Down,0.0465945671387233,0.811258062459337
45,WP_HEART_DEVELOPMENT,16,Down,0.0489250928791269,0.811258062459337
46,WP_ATM_SIGNALING_IN_DEVELOPMENT_AND_DISEASE,43,Up,0.0499616999459639,0.811258062459337
47,WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,12,Down,0.0499845514415482,0.811258062459337
48,WP_TRANSSULFURATION_PATHWAY,8,Up,0.050065117424521,0.811258062459337
49,WP_DEVELOPMENT_OF_PULMONARY_DENDRITIC_CELLS_AND_MACROPHAGE_SUBSETS,10,Down,0.0504965348464827,0.811258062459337
50,WP_11P112_COPY_NUMBER_VARIATION_SYNDROME,37,Down,0.0506188173891986,0.811258062459337
51,WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA,17,Up,0.0508318972056419,0.811258062459337
52,WP_ZINC_HOMEOSTASIS,21,Down,0.0513204613721235,0.811258062459337
