,logFC,logCPM,LR,PValue,FDR
CLIC2,-0.935084645406121,3.24289075709934,26.4065295368059,2.76603853119191e-07,0.00304900427293284
ITLN1,-1.36624929188039,1.23399186476141,24.7241138089657,6.61513195261379e-07,0.00364592997568309
PSD3,-0.522656588639869,4.90223913632989,21.8225840740733,2.99059245412476e-06,0.0109884335406057
CTSK,-1.24872550784426,1.57031595014941,19.9280260837491,8.04128512434708e-06,0.0177185592607467
DGAT2,1.20110824239109,3.17444532591215,19.9069128691686,8.1305798974531e-06,0.0177185592607467
RASA4,-1.29422438603513,2.10789540534151,19.5805706053039,9.64450290887058e-06,0.0177185592607467
ITGA1,1.90817642755071,1.93579717516378,19.1846534547337,1.18663552117658e-05,0.0186861190713278
MMP14,-0.997277055461792,3.99581237665517,18.7039281218306,1.52667660494233e-05,0.0200407177741156
NR1H3,-0.656006143049508,5.13754517092655,18.5717515667195,1.63627379086492e-05,0.0200407177741156
PTX3,1.53329400175327,1.04465356191737,17.4501183438888,2.94945925625152e-05,0.0325118893816606
SIRPB1,0.806305358607608,6.7004407501962,17.2099113074686,3.34685676371825e-05,0.0335385473695148
NQO1,-0.88416096043192,2.98731209930034,16.6081637000043,4.59527959338566e-05,0.0412103959437893
BEX3,-1.90006859509697,3.89845533738295,16.3741815518144,5.19885952657818e-05,0.0412103959437893
LILRB2,-0.46631479149048,4.58231929787261,16.2911812208808,5.43161493221176e-05,0.0412103959437893
VAMP5,-1.66636568510675,5.29714693924097,16.1570260050026,5.83019017263281e-05,0.0412103959437893
EVA1B,-0.742098552385239,3.88025783249353,16.1084254187186,5.98173215186999e-05,0.0412103959437893
LIMD2,-1.3969137869649,0.861137027154817,15.5599504994993,7.992985344042e-05,0.0518274573219852
FKBP1B,-1.32680079545998,1.24417623798158,15.2634692824462,9.35075390982705e-05,0.0572629779711242
BICRAL,0.645555808379079,3.38373226957093,14.9347947228288,0.000111291358535264,0.064566560270222
EPHA1-AS1,-0.928561689743787,2.18264389923287,14.7895835683505,0.000120197606943451,0.0662469110668831
USP6NL,0.58755134811739,3.73790427712913,14.3703646841603,0.000150146883916898,0.078812814353141
MTMR11,1.10512781227539,3.8239603796746,14.2025684075662,0.000164146310425623,0.0822447627191656
GPD1,0.459568214372952,7.48221524916926,14.0056353247583,0.000182263556250423,0.0873517904586269
BCR,0.87064712325657,2.41034577447328,13.8823260202755,0.000194620051555643,0.0893873678457437
SH3PXD2B,-1.17579056430561,2.03903774254332,13.7234960962561,0.000211788278509134,0.0933816877602475
PEX6,0.864790600655277,3.28089460239407,13.490873249319,0.000239726605817958,0.0988386099071346
IL32,-1.60152118239915,1.2241602293781,13.4724060437933,0.000242097656490305,0.0988386099071346
ZNF503,-0.924454968832469,3.16110061665131,13.0852116968416,0.00029763619518647,0.113376037843571
GABRE,-1.13508430389783,1.10385736131358,13.0811844048029,0.000298276793746127,0.113376037843571
NEIL2,-0.632783546854556,4.74366657519463,13.0132589990848,0.000309293189547732,0.113644627612822
CD40,-0.613738762188183,5.79896095376848,12.7547135430089,0.000355113131581904,0.125558668454424
LIPA,-1.07749498744384,7.83009347916908,12.7059219102012,0.000364499445753567,0.125558668454424
ALDH1A2,1.2062357138375,4.34403417456604,12.6237674337255,0.000380872934006094,0.127223101562096
NRAS,0.431620442954715,4.35860452730852,12.4742816460815,0.000412593289982058,0.133765171631536
MRPS21,-0.239460825747937,7.42711724700316,12.378570424904,0.000434289535714886,0.136776387205291
TMEM51,-0.590489137274323,3.88952121576742,12.2474696165034,0.000465889510508862,0.142652779842755
SNX7,-0.694615794774217,3.42115950498544,12.0969818549892,0.00050503505758863,0.14587963964911
SPG21,-0.228836090479664,7.38130649944402,11.9755281576705,0.000539037862967426,0.14587963964911
CITED4,1.03029636563146,1.48075548556315,11.972509944249,0.000539911668697631,0.14587963964911
FPR1,0.792786758030949,6.38210844009395,11.9447827796428,0.000548006197718225,0.14587963964911
NEIL1,-0.815200148971864,1.81637135900862,11.9218130566545,0.000554804581861265,0.14587963964911
SCARF1,-0.914703466654501,1.64714833226004,11.918363797957,0.00055583279191351,0.14587963964911
ARHGEF5,0.60128565515682,3.09566046576107,11.7477575304106,0.000609165884574315,0.154797511476264
IL1A,0.738856245013443,4.39340776776653,11.7057198194655,0.000623082739036044,0.154797511476264
AVIL,-1.07497475424753,0.952316849262678,11.6794526444538,0.000631941215316329,0.154797511476264
ATP8B1,-0.746399761077531,1.97984717840822,11.5471564073879,0.000678529549941007,0.162596331065211
GPR155,-0.654872158713902,2.80310085734254,11.4623109733929,0.000710219243736582,0.165328193694312
ARID5B,-0.894879123242756,1.94668520213089,11.4370840454028,0.000719926816413586,0.165328193694312
CMTM3,-0.516008994932333,5.18619063914137,11.1921389402658,0.000821445986763446,0.184791818614152
MYO1C,-0.367565318057303,4.87180612167295,11.0681572139371,0.000878229210284242,0.191052602993987
GOLGA8A,-1.02217145220404,1.4964997022775,11.0561372413408,0.00088394110067072,0.191052602993987
MREG,-1.34726185202702,1.39693406994218,10.969293376045,0.000926340764974855,0.194052269021356
IL4I1,-1.31965013486517,2.47766354513257,10.9559639065145,0.000933028237152486,0.194052269021356
AKT1,-0.274412425628557,5.50167568333027,10.7980728077464,0.0010160581580928,0.201933915181946
RRAS,-0.319491267022319,5.8637862568825,10.7915833944362,0.00101962628857475,0.201933915181946
CEBPB,0.290548050155459,10.2625494684629,10.7677706384903,0.00103282838308546,0.201933915181946
ATP5ME,-0.222825168386734,8.5118562278926,10.7309298308417,0.00105359490659435,0.201933915181946
LINC01001,-0.9875648592222,1.17323275975198,10.7085182085262,0.00106643404319435,0.201933915181946
SLC2A6,-0.755408721456386,4.60256068982103,10.6657352093823,0.00109138463099701,0.201933915181946
NDN,-0.963687267766222,1.33722892347822,10.6526055968758,0.0010991594766322,0.201933915181946
RASSF4,-0.458284229149431,6.07036476613701,10.5138493056318,0.00118483187622235,0.213351488892412
LINC00649,-0.872173734379991,1.36912035737697,10.4903175592057,0.00120001744636937,0.213351488892412
PDP2,1.1161713332232,0.926668652752365,10.4412410878465,0.00123232438302076,0.215617645619647
ERV3-1,0.505801835878731,3.47863757397344,10.3955724730448,0.00126317831156237,0.2175627270055
CHD3,-0.881792528172087,1.65957118034673,10.3396939987423,0.00130199594771787,0.220798482026063
ANK2,-1.31879225210925,0.900346645461141,10.2599728524775,0.0013594768049257,0.22433577946699
CAVIN3,-0.668079332741178,3.30007710667091,10.2496227037703,0.00136712559345822,0.22433577946699
TSKU,-1.21827501577778,1.66035764840535,10.2205467525164,0.00138884673014848,0.22433577946699
RGS9,-0.596440672719304,3.07840368361177,10.1361618324938,0.00145388575945667,0.22433577946699
CD36,-1.22340792932274,4.07076701337716,10.112748306704,0.00147247221653446,0.22433577946699
POMZP3,0.838308868469568,1.58821709294632,10.0853176985244,0.00149455392298671,0.22433577946699
TF,-1.21692339949702,0.772996845528291,10.0631850477597,0.00151261501215054,0.22433577946699
PDE9A,-1.23127994253205,2.71237198096639,10.0351390297971,0.00153581954933556,0.22433577946699
DHRS9,0.781213694441081,2.93672408578942,10.0349409186515,0.00153598473721523,0.22433577946699
TMSB10,-0.261202772365515,12.7064634821656,10.0310547765441,0.00153922869853319,0.22433577946699
TMEM158,0.723383135331497,1.99662465824732,10.0221094203828,0.00154672223890876,0.22433577946699
TANC2,0.267127472167087,6.64678667629131,9.91680861534134,0.00163776117619715,0.234455083704172
LINC01645,0.617561277973016,3.28477342250251,9.84245609440459,0.00170529654953898,0.2409933828919
FAM107B,0.412162663464311,7.61077347861158,9.7982021600926,0.00174682564724239,0.243737457082948
HPGDS,-0.569339021272205,5.94301107276278,9.60001585188632,0.00194575689641958,0.265191672728197
PLA2G4C,-1.16997508142127,1.45612239433404,9.59724005453762,0.00194870048906686,0.265191672728197
LARS2,0.622988414510698,2.4458927008625,9.57268850824239,0.00197493352190628,0.265484051365523
C15orf48,-1.07038812356916,4.72180066338867,9.49403635418143,0.0020614082223174,0.273487453330801
KCNMA1,-1.16861503975785,5.06674958948223,9.45913931805869,0.00210099631390576,0.273487453330801
RASGRP3,-1.058485023761,1.52446867739514,9.45224981717154,0.00210890261572331,0.273487453330801
SOD2,-0.8164288163666,6.80219239201542,9.39784846931647,0.00217240224333857,0.278446394515361
GCH1,-0.908056980300148,2.15612283891625,9.35681710349709,0.00222157606180385,0.280504438927846
FCGR3A,-0.634929422266298,9.27096648349035,9.34220990886387,0.00223935322740184,0.280504438927846
HCG18,0.355674314382973,4.83790044020431,9.32103671005099,0.00226537783674715,0.28057595387038
FTCDNL1,-0.827293460715049,4.05196287319783,9.22686726381175,0.00238489347678434,0.284764057161641
NAAA,-0.348995928004038,5.25108368246622,9.20890568277142,0.00240840615839278,0.284764057161641
ROCK1,0.169903325770162,7.5895605247275,9.2078542388487,0.00240978982120732,0.284764057161641
ACP2,-0.396363250965065,5.44099552490701,9.20762503749292,0.00241009154911091,0.284764057161641
TEF,-0.936193746637175,0.840440705956736,9.19380114364888,0.00242836082492917,0.284764057161641
RBM24,1.10327014238081,1.14676609316329,9.16340840688379,0.00246902276303474,0.286187627042879
GMEB1,0.403266194725053,3.72877086268514,9.14614512986414,0.00249242603611688,0.286187627042879
PPARG,0.180235747652334,8.30927640102723,9.10036599277698,0.00255558352801682,0.290414404426076
OSBPL5,0.84503906677268,1.80124819611572,9.0526267146165,0.00262317682208277,0.291047783863077
AOAH,-0.547819561692359,4.40883759639281,9.04230823180382,0.00263802353811769,0.291047783863077
PDE6G,-0.786089706501356,3.12388013424336,9.03821403339196,0.00264393807571085,0.291047783863077
MYLIP,-0.523046749912451,2.9280356844618,9.02249465837091,0.00266677185613452,0.291047783863077
CBL,0.298690022187988,6.30826532255168,8.87552891420471,0.00289018495293449,0.312338320943107
LRRC1,-0.932072110260864,1.06089131175285,8.84550054456435,0.00293812309212871,0.3144362217916
PLCXD1,0.672953699764079,2.02728938328329,8.81687988984985,0.0029845656475454,0.316335260893201
NT5C3B,0.453660215239245,4.82051227667771,8.7950020100293,0.00302056911865855,0.317102222809268
RGP1,0.563018163912262,3.16276409208855,8.72342703958895,0.00314146980552654,0.324553588955155
SLC39A8,-1.46965603382012,1.06003362005749,8.69483565208069,0.00319112889224392,0.324553588955155
NEK3,-1.00358600696704,0.916249969184589,8.68799189419012,0.00320313336909172,0.324553588955155
PPP1R3D,0.481015223000823,3.20649976136092,8.68447471136415,0.003209320620168,0.324553588955155
SPRY1,-0.574603036256859,4.77262835442114,8.5947869225854,0.00337126656247721,0.33100958493603
TMEM9B-AS1,0.963756211872765,1.18531605120987,8.58352010544554,0.0033921896548682,0.33100958493603
CA3-AS1,0.913704859901486,1.01420068934918,8.57893134761764,0.00340074901248603,0.33100958493603
ARHGDIB,0.215941667057668,9.03361559616357,8.53089964198324,0.00349167064419261,0.33100958493603
LAPTM5,0.164631257437879,9.88820017101477,8.52081510887184,0.00351107195225357,0.33100958493603
CDH23,0.585841066204325,2.59818856797063,8.50433671511505,0.00354301038774619,0.33100958493603
RCBTB1,-0.548697660608943,2.85858861211087,8.49448565989245,0.00356224463837789,0.33100958493603
AOC2,0.986370821666758,0.723774347700686,8.48555616443475,0.0035797712696711,0.33100958493603
SCPEP1,-0.318303164236031,7.86678051676529,8.47631695839562,0.00359799810748124,0.33100958493603
SYNE1,-0.757134551868989,1.33447523074184,8.4690246150527,0.0036124508488377,0.33100958493603
MLLT3,-0.82505881950973,2.02391940528378,8.45693698374594,0.00363653756011842,0.33100958493603
EPN2,0.518627982488082,3.78321097902281,8.44847254039042,0.00365350160901341,0.33100958493603
CD48,-0.867758901405997,3.58393248664436,8.43017740442002,0.00369044337523638,0.33100958493603
DTX4,0.297718826746494,5.72717008327695,8.42863945244346,0.00369356608429028,0.33100958493603
