gene,logFC,logCPM,LR,PValue,FDR
CLIC2,0.942361733714413,3.24369128285648,26.8783255067363,2.16675262563859e-07,0.00238841141924142
ITLN1,1.35065658412528,1.23365370010432,25.0482839064415,5.59124949387664e-07,0.00276274173888316
BEX3,1.91337854735412,3.8987510144041,24.4773056736495,7.51902859171684e-07,0.00276274173888316
PSD3,0.519792218227898,4.90139707114297,21.848833821266,2.94995831973393e-06,0.00695002984922979
ITGA1,-1.91634079059411,1.93433092379841,21.7214214255169,3.15251285912628e-06,0.00695002984922979
CTSK,1.30516030373864,1.56998739957777,20.5192131098129,5.9035690122615e-06,0.0108458402036931
RASA4,1.2992685212742,2.10794425366886,19.8315883183431,8.45734176730708e-06,0.0132311416937411
DGAT2,-1.20094129601853,3.17547616191513,19.5888953315512,9.60257040278772e-06,0.0132311416937411
NR1H3,0.65913878750712,5.13783290703507,19.1439790489088,1.21219279620237e-05,0.0148466679917097
MMP14,0.995915229092153,3.99664446539303,18.6768411333501,1.54851898291764e-05,0.0161007216995966
PTX3,-1.51322429517717,1.04516945668839,18.6065061551858,1.60671267981096e-05,0.0161007216995966
SIRPB1,-0.807787857967159,6.70037324129542,18.2376206641085,1.94989106227868e-05,0.0179113743162482
LILRB2,0.459088059495027,4.58143698100172,17.4778722626245,2.90671201451772e-05,0.0246466819507914
NQO1,0.875103089273989,2.98817062662979,17.3098724475552,3.17532868354958e-05,0.0250011771991193
FKBP1B,1.31403662626379,1.24486788658035,17.0265443389238,3.68608910776717e-05,0.0270878401566117
EVA1B,0.738874956011759,3.88079923070182,15.8313861213071,6.92443322713958e-05,0.04489423168985
ALDH1A2,-1.25062439692512,4.34276733328734,15.8062360950178,7.01708498411888e-05,0.04489423168985
VAMP5,1.66105686778568,5.29870562314201,15.7234412682525,7.33100036666334e-05,0.04489423168985
LIMD2,1.39808138425414,0.860508195923684,15.496741840739,8.26475886350681e-05,0.0479486510275977
BICRAL,-0.649731369453716,3.38317029969524,15.0763854371723,0.000103246844727498,0.0569044984715606
EPHA1-AS1,0.928155603845728,2.1825408341096,14.6565579901684,0.000128985076956152,0.0677048811089365
USP6NL,-0.587122020754204,3.73770986798751,14.3389930128622,0.000152669651328425,0.0764944348451468
MTMR11,-1.10780593185094,3.82443627467733,14.0391462809903,0.000179044205758941,0.085808881742644
BCR,-0.871928180025503,2.41158178200407,13.8522581384023,0.000197758952414312,0.0908290388526235
ZNF503,0.932102289747431,3.16053368944228,13.5671341139135,0.000230180556127123,0.0962156086714032
GPD1,-0.459853846252753,7.48246310574923,13.5566862576351,0.000231465387165238,0.0962156086714032
PEX6,-0.867247296080014,3.28189949073201,13.4951719861116,0.000239178046293474,0.0962156086714032
SH3PXD2B,1.1753966612939,2.03816459901574,13.4546365420778,0.000244401437249323,0.0962156086714032
GABRE,1.12399851623952,1.10514193640176,12.9879113212537,0.000313508494524772,0.11916565983264
NEIL2,0.633345255596243,4.74416800819625,12.8131744514065,0.000344187081376784,0.126465806600543
CD40,0.615229886646304,5.79922984580922,12.5911260838787,0.000387582555189198,0.137816855027436
NRAS,-0.432599987640335,4.35815326216766,12.4013956849672,0.000429013076425738,0.140652192817409
IL32,1.53019359121805,1.2243029056336,12.380967734096,0.000433732292003637,0.140652192817409
