gene,logFC,logCPM,LR,PValue,FDR
ELP5,0.863336032006819,4.73573214377566,19.5739692827666,9.67788511380957e-06,0.0434233263715733
FCGR2A,0.496456306830295,8.37197582984943,19.2213383881084,1.16404935624886e-05,0.0434233263715733
LINC01252,2.40545476151849,0.305210115142767,18.9575721189188,1.33657762595481e-05,0.0434233263715733
GATM,-1.32328103799222,1.1133231387161,18.7117529935465,1.5204245928422e-05,0.0434233263715733
SLC16A1-AS1,0.827984202236518,3.07142570159537,18.2073637514748,1.98111383859937e-05,0.0452644889843183
FGGY,-0.81220909913655,2.71855102433724,17.3452499938216,3.11676298698691e-05,0.0593431672722308
PDGFD,1.73070657526185,5.01476265702125,16.0931491192087,6.03017886760012e-05,0.0872226512359166
NPIPB4,1.25887048412414,1.20090721863372,16.0688580147762,6.10802879803338e-05,0.0872226512359166
LARP6,1.64483614577243,0.654997061809304,15.8094791058273,7.00506816994348e-05,0.0889176653038159
TNNT1,-1.46565325628417,4.2230901385845,15.5856787692085,7.88495474780409e-05,0.0900777230389139
CAPN11,1.72403670649733,1.49795719263409,14.8202658779278,0.000118257831987658,0.113922153719741
LINC01091,2.33766377795815,0.935016707224371,14.7979403616139,0.000119666127856871,0.113922153719741
ENPP5,0.965422689736515,2.54924042790805,14.4288414252076,0.000145555942673735,0.127910083777288
EPB41L4A,0.550608641605065,4.71823637693156,14.0433281508244,0.000178646499835964,0.132728869842856
TRAF3IP3,-1.61995815510838,0.439791583350357,14.0095907133416,0.00018188055277358,0.132728869842856
AKR1C1,2.431143330658,3.26638797594628,13.968545312107,0.000185894775690275,0.132728869842856
PTGS2,-1.71577446288565,2.46046766735182,13.7424035127404,0.000209667037285091,0.140896249055581
MYOM2,1.55802185956101,1.34863956111689,13.5332497928814,0.000234373850761178,0.148749270616428
THEM4,0.622259852388552,2.99191272909158,13.2347760100141,0.000274802711776455,0.158047803364481
TRHDE-AS1,1.0477958900294,2.42970589428877,13.2219179567683,0.000276694333621291,0.158047803364481
PDE6G,1.25709761307414,2.96943717320454,12.5609195896121,0.000393897868959726,0.205063135769437
COL26A1,1.49580898266844,0.516495963367058,12.5561500110773,0.000394904498155429,0.205063135769437
SMN2,1.11868182996717,1.40288534869144,12.4328189063013,0.000421854688384819,0.20953338956992
C3,2.06225311557808,3.10471796833615,11.9524478100453,0.000545756331837196,0.236358633054877
CXCL2,-1.92526414083842,6.04298194007354,11.8925899527846,0.000563577017604019,0.236358633054877
CKAP4,-0.74647335622194,3.27997944233897,11.8124457800192,0.000588360922542386,0.236358633054877
PTPN3,1.60164276582933,1.27073534408682,11.8046524340576,0.000590828905865036,0.236358633054877
PRKCB,-1.70506696572241,0.973973983395528,11.7852870671122,0.000597006854072588,0.236358633054877
ATP8B1,0.87118444933528,1.86102994102446,11.5885289441768,0.00066359885009299,0.236358633054877
CCL3L1,-3.22025651367038,2.17883051891601,11.5385829444238,0.000681665777311122,0.236358633054877
FGD5-AS1,-0.34942941284373,5.90240605414276,11.5287869718428,0.000685267134826404,0.236358633054877
NECTIN2,0.619585307085746,3.82377689416496,11.5011210789855,0.000695542264191263,0.236358633054877
FN3K,1.25100598195038,0.688850121938598,11.485183803041,0.000701531888838626,0.236358633054877
CXCL3,-1.62263643396361,7.4502358939524,11.467403028396,0.00070827586742068,0.236358633054877
GPATCH2,0.3735540031783,4.65055418534429,11.4262472797322,0.000724137968918129,0.236358633054877
USP53,0.62265345792425,3.121855655886,11.2169758208817,0.000810524685248063,0.240154513841421
S100P,1.01453714486782,4.26909173256757,11.1908850486252,0.000822001276629198,0.240154513841421
LINC00685,0.670781079582367,3.61831266603276,11.1643281929786,0.000833851586534909,0.240154513841421
EREG,-2.37295732126292,3.64227460630589,11.0858593881576,0.000869884997823595,0.240154513841421
HOXB6,0.678071710430301,4.75043747618931,11.0653600206987,0.000879555096511895,0.240154513841421
CAPN2,-0.391009697029293,5.3932737384454,11.0250591546872,0.000898884103131375,0.240154513841421
NDN,1.4852701248343,1.14792142588846,11.0127599912684,0.000904868099780992,0.240154513841421
CACNA2D4,0.917593152379087,1.8708159176031,10.948611494598,0.000936737851079406,0.240154513841421
PPOX,0.836536772801092,2.06139370820789,10.9429103039052,0.000939624613565507,0.240154513841421
MYO15A,-0.946641088326817,1.34598126685287,10.8729005495533,0.000975815828897822,0.240154513841421
DISP2,0.984602196043631,1.70586512978604,10.8697770344933,0.000977462970681293,0.240154513841421
MAFIP,1.48033481264095,0.205101499175532,10.8498630264242,0.000988030650433017,0.240154513841421
DUSP2,-2.36604549390066,2.39822435359975,10.7664017291845,0.00103359255768731,0.242560445003844
PRR4,1.53959831232195,0.188452318648479,10.7542627092127,0.00104039406558021,0.242560445003844
COX18,0.473649742417984,3.65457855406013,10.7001956726514,0.00107124204093383,0.244757381512562
TNS1,-1.77093760643544,2.01334827134359,10.5223767132655,0.00117937706966562,0.257490825658783
AOC3,0.71180427006384,5.38880065451123,10.5028530462033,0.00119190365970528,0.257490825658783
LINC01122,1.23925506888039,0.596515892177764,10.4353217776307,0.00123628007845029,0.257490825658783
IGF2BP2,-1.2731635293648,0.488041270810929,10.3970424124469,0.00126217313934846,0.257490825658783
ADAP1,-0.624326656544719,3.85470377182575,10.3730712479213,0.00127866658882347,0.257490825658783
RTL5,-2.12741284954308,0.754131275405719,10.3523988452847,0.00129306540741568,0.257490825658783
MFSD4B,0.559180076948824,3.69889291857465,10.3329804989502,0.00130674021167762,0.257490825658783
AATK,1.2109443466012,0.333985370492644,10.3100709187934,0.00132306198409764,0.257490825658783
INPP5E,0.731332729645743,2.24610367636642,10.3006573136933,0.00132982831879098,0.257490825658783
BAMBI,1.50370068641219,0.547682014253592,10.2696238260154,0.00135238374127686,0.257493864339115
BNIP3,1.11944311262776,2.33239222639461,10.2241393259018,0.00138614409778475,0.259474488036574
CRH,3.98796796426066,2.6058027554777,10.1950094562257,0.00140821238255144,0.259474488036574
IQCA1,1.32057224027918,1.10378825708933,10.1391766480931,0.00145150982253731,0.263207114486766
TNFAIP3,-1.20170903288803,5.89466383954273,10.0479348537499,0.00152518823166179,0.27224609935163
MYMX,1.29612762603526,0.966419510459207,9.94850972985937,0.00160979662231201,0.282927947896806
ZNF714,0.659628201952904,3.08620460459166,9.87143248491561,0.00167864762847321,0.286661520385145
TRHDE,0.695316299734687,5.06899397077224,9.86860901068519,0.00168122565351932,0.286661520385145
SLC19A3,0.627850170048392,6.29722081735496,9.78516529544319,0.00175925413755255,0.294287242555934
TREM1,0.327347971706337,9.02290634318853,9.72929038845592,0.00181354490917175,0.294287242555934
CMBL,1.99804579923913,1.00525996401727,9.72204536945366,0.00182070779823191,0.294287242555934
KCNAB1,0.632406162173129,5.25466919835089,9.71370303200104,0.00182899109081506,0.294287242555934
