,Set,N,DE,P.DE,FDR
1,REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,24,2,0.000141171321055505,0.244932242031301
2,REACTOME_INNATE_IMMUNE_SYSTEM,921,5,0.00041454151149206,0.300905463822661
3,REACTOME_COLLAGEN_DEGRADATION,49,2,0.000595039801043606,0.300905463822661
4,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,241,3,0.000693730175960026,0.300905463822661
5,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,108,2,0.00284994590185882,0.656093570115106
6,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_GLUCONEOGENESIS,4,1,0.00296550082875247,0.656093570115106
7,REACTOME_NADE_MODULATES_DEATH_SIGNALLING,5,1,0.00370558674787758,0.656093570115106
8,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_TRIGLYCERIDE_LIPOLYSIS_IN_ADIPOSE,5,1,0.00370558674787758,0.656093570115106
9,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_LIMIT_CHOLESTEROL_UPTAKE,5,1,0.00370558674787758,0.656093570115106
10,REACTOME_NEUTROPHIL_DEGRANULATION,445,3,0.00400450470451238,0.656093570115106
11,REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,6,1,0.0044451576215917,0.656093570115106
12,REACTOME_MUSCLE_CONTRACTION,137,2,0.00453782296333215,0.656093570115106
13,REACTOME_CHL1_INTERACTIONS,8,1,0.00592275557080013,0.679791708892452
14,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_CONTROL_BILE_ACID_HOMEOSTASIS,8,1,0.00592275557080013,0.679791708892452
15,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_KERATINOCYTES,8,1,0.00592275557080013,0.679791708892452
16,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS,9,1,0.00666078331479636,0.679791708892452
17,REACTOME_TRIGLYCERIDE_BIOSYNTHESIS,9,1,0.00666078331479636,0.679791708892452
18,REACTOME_TGFBR3_PTM_REGULATION,10,1,0.00739829735038622,0.713113661273338
19,REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,13,1,0.00960776054318191,0.877340239074769
20,REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,14,1,0.0103432230806045,0.897274602242443
