Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
WP_PPAR_SIGNALING,52,2,0.00107665132131208,0.760730866084308,"SORBS1,LPL",2,20,0.1
WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,68,2,0.00183308642429954,0.760730866084308,"MFGE8,BCR",2,20,0.1
WP_EBOLA_VIRUS_INFECTION_IN_HOST,123,2,0.00585419720719507,1,"MFGE8,HLA-DQA2",2,20,0.1
WP_LIPID_PARTICLES_COMPOSITION,8,1,0.00747712527982569,1,LPL,1,20,0.05
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3,11,1,0.0102673299211443,1,LPL,1,20,0.05
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5,11,1,0.0102673299211443,1,LPL,1,20,0.05
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2,12,1,0.0111957410370197,1,LPL,1,20,0.05
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1,13,1,0.0121233247696301,1,LPL,1,20,0.05
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_4,15,1,0.013976012878796,1,LPL,1,20,0.05
WP_OSTEOCLAST_SIGNALING,15,1,0.013976012878796,1,CTSK,1,20,0.05
WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES,16,1,0.0149011186508289,1,LPL,1,20,0.05
WP_IMATINIB_AND_CHRONIC_MYELOID_LEUKEMIA,20,1,0.0185933027765711,1,BCR,1,20,0.05
WP_TRIACYLGLYCERIDE_SYNTHESIS,20,1,0.0185933027765711,1,LPL,1,20,0.05
WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION,22,1,0.0204344611972836,1,LPL,1,20,0.05
WP_EXTRACELLULAR_VESICLEMEDIATED_SIGNALING_IN_RECIPIENT_CELLS,27,1,0.0250230119727704,1,MFGE8,1,20,0.05
WP_FAMILIAL_PARTIAL_LIPODYSTROPHY,27,1,0.0250230119727704,1,LPL,1,20,0.05
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,27,1,0.0250230119727704,1,TNNI2,1,20,0.05
