Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOCC_CYTOSOLIC_RIBOSOME,111,Down,9.77238804790649e-08,0.00155732775931438,""
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,52,Down,2.85761084053121e-07,0.00227694431773527,""
GOCC_PIGMENT_GRANULE,92,Up,5.19729332887435e-07,0.00232310576227653,"CALU,SLC1A5,GCHFR,ATP1B3,LAMP1,RAB1A,ANXA6"
GOBP_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY,9,Down,5.83108876073425e-07,0.00232310576227653,C3
GOBP_ISOPENTENYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,4,Up,2.175946501184e-06,0.00652646498150732,MVD
GOMF_G_PROTEIN_ACTIVITY,38,Up,2.45725338159161e-06,0.00652646498150732,"ARF6,RAB1A"
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,42,Down,1.04802123161151e-05,0.02385895192423,""
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_ENDOTHELIN,2,Up,1.39532699265665e-05,0.0277949136937204,ECE1
GOMF_GDP_BINDING,55,Up,1.91948600783119e-05,0.031367717062201,ARF6
GOCC_LYSOSOMAL_LUMEN,61,Up,2.22414311838065e-05,0.031367717062201,CSPG4
HP_PURE_RED_CELL_APLASIA,27,Down,2.31621508158476e-05,0.031367717062201,""
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING,10,Down,2.36202688721393e-05,0.031367717062201,PLTP
GOBP_REGULATION_OF_T_CELL_COSTIMULATION,2,Down,3.68835478961229e-05,0.0429647148095938,LILRB2
GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION,24,Up,3.95958326506029e-05,0.0429647148095938,LAMP1
GOMF_PROTEIN_ARGININE_DEIMINASE_ACTIVITY,1,Down,4.04411848734881e-05,0.0429647148095938,PADI2
GOBP_COMPLEMENT_DEPENDENT_CYTOTOXICITY,6,Down,5.4298176333255e-05,0.054080983627922,C3
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,156,Down,7.01516351749829e-05,0.0626802977033663,""
HP_ERYTHROID_HYPOPLASIA,30,Down,7.12113737149977e-05,0.0626802977033663,""
HP_THUMB_CONTRACTURE,1,Up,7.47317806453288e-05,0.0626802977033663,ECE1
HP_ABNORMAL_ERYTHROCYTE_ADENOSINE_DEAMINASE_ACTIVITY,26,Down,8.67132480888353e-05,0.069093116077184,""
GOBP_REGULATION_OF_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,2,Up,0.000109605595190939,0.0831749888077525,PRNP
HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR,36,Down,0.000124849772425694,0.0875125217432452,""
GOBP_POSITIVE_REGULATION_OF_COMPLEMENT_ACTIVATION,4,Down,0.000131605960977002,0.0875125217432452,C3
HP_SYNOSTOSIS_INVOLVING_BONES_OF_THE_FEET,14,Up,0.000131795966480791,0.0875125217432452,TNNI2
HP_PERSISTENCE_OF_HEMOGLOBIN_F,32,Down,0.00014201462377996,0.0905258017822979,""
HP_NORMOCHROMIC_ANEMIA,36,Down,0.00015165036411234,0.0929500077882401,""
GOCC_SARCOPLASMIC_RETICULUM_LUMEN,4,Up,0.000175352017442654,0.102889312220561,CALU
GOCC_VACUOLAR_LUMEN,120,Up,0.000180779414042151,0.102889312220561,"C3,PADI2,CSPG4,LYZ"
GOBP_REGULATION_OF_LYSOSOMAL_LUMEN_PH,29,Up,0.000226713491702467,0.119088189555014,LAMP1
HP_ABNORMALITY_OF_THE_THENAR_EMINENCE,29,Down,0.000230512813105217,0.119088189555014,""
GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,17,Up,0.000231660007292007,0.119088189555014,"SELL,CD164,TENM4,CD6"
GOBP_CYTOPLASMIC_TRANSLATION,150,Down,0.000245024696091595,0.122022298653614,""
GOBP_LYTIC_VACUOLE_ORGANIZATION,93,Up,0.000293708159025,0.141834340067346,LAMP1
HP_TARSAL_SYNOSTOSIS,12,Up,0.000351581926812555,0.164788517226026,TNNI2
GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS,22,Up,0.000415936569471498,0.17581146648356,"DHRS9,MVD"
GOMF_NAD_BINDING,49,Up,0.000416760838655719,0.17581146648356,""
GOBP_VACUOLAR_ACIDIFICATION,34,Up,0.000419011958961291,0.17581146648356,LAMP1
GOBP_TRABECULA_FORMATION,8,Up,0.00042831151871226,0.17581146648356,""
GOCC_RIBOSOMAL_SUBUNIT,180,Down,0.000430261495535822,0.17581146648356,""
GOBP_SPONTANEOUS_NEUROTRANSMITTER_SECRETION,4,Down,0.000455904722906121,0.181632441605799,RPH3A
GOBP_REGULATION_OF_PROSTATIC_BUD_FORMATION,1,Down,0.000490140681879237,0.185973378724465,AR
HP_ABSENT_PUBIC_HAIR,1,Down,0.000490140681879237,0.185973378724465,AR
GOBP_COMPLEMENT_ACTIVATION,26,Down,0.000530533491538945,0.192657214987745,"C3,FCN1"
HP_ADENOCARCINOMA_OF_THE_COLON,32,Down,0.000531935081542468,0.192657214987745,""
HP_SYNOSTOSIS_OF_CARPALS_TARSALS,18,Up,0.000595488621376297,0.210882370450059,TNNI2
GOBP_REGULATION_OF_FEMALE_GONAD_DEVELOPMENT,3,Down,0.000645984502869693,0.217188545459433,NUPR1
HP_CLEFT_SOFT_PALATE,49,Down,0.000656593641441114,0.217188545459433,""
HP_ULNAR_DEVIATION_OF_THE_WRIST,12,Up,0.000675272692733166,0.217188545459433,TNNI2
HP_RETICULOCYTOPENIA,33,Down,0.000679975207419872,0.217188545459433,""
GOMF_INHIBITORY_MHC_CLASS_I_RECEPTOR_ACTIVITY,5,Down,0.000681439964418401,0.217188545459433,LILRB2
