Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOBP_RESPONSE_TO_CORTICOTROPIN_RELEASING_HORMONE,3,Down,8.70245467889488e-07,0.00715784859179112,NR4A3
GOBP_REGULATION_OF_T_CELL_COSTIMULATION,2,Down,8.98211644094757e-07,0.00715784859179112,LILRB2
GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,17,Up,2.80411808799391e-05,0.129266645024752,"TENM4,SELL"
GOMF_CHEMOKINE_ACTIVITY,20,Down,3.27725191631854e-05,0.129266645024752,CCL20
HP_WIDOW_S_PEAK,10,Down,4.75332179782585e-05,0.129266645024752,""
GOBP_EOSINOPHIL_MIGRATION,11,Down,4.86635631916497e-05,0.129266645024752,""
GOBP_THYMOCYTE_MIGRATION,2,Down,6.65746937369683e-05,0.151581066968543,CCL20
GOCC_ENDOPLASMIC_RETICULUM_LUMEN,157,Up,9.61726304143979e-05,0.160326299183693,"PDGFD,ERAP2,FUCA2,CTSC"
GOCC_LYSOSOMAL_LUMEN,61,Up,9.72346784340153e-05,0.160326299183693,HEXA
GOBP_OTIC_VESICLE_FORMATION,3,Up,0.00013272225900946,0.160326299183693,""
GOBP_OTIC_VESICLE_MORPHOGENESIS,3,Up,0.00013272225900946,0.160326299183693,""
GOMF_G_PROTEIN_BETA_SUBUNIT_BINDING,6,Up,0.000136333153771455,0.160326299183693,""
GOBP_POSITIVE_REGULATION_OF_MONOCYTE_EXTRAVASATION,3,Up,0.000149371715146746,0.160326299183693,PDGFD
GOBP_REGULATION_OF_MONOCYTE_EXTRAVASATION,3,Up,0.000149371715146746,0.160326299183693,PDGFD
GOBP_REGULATION_OF_SKELETAL_MUSCLE_ADAPTATION,6,Down,0.00015089060658523,0.160326299183693,""
GOBP_FEMALE_GENITALIA_DEVELOPMENT,8,Up,0.000168771783387554,0.168117792726928,""
GOBP_LEUKOCYTE_AGGREGATION,9,Down,0.000220949348722033,0.196849374878154,NR4A3
GOBP_SYNAPTIC_TRANSMISSION_CHOLINERGIC,12,Up,0.000224914313975452,0.196849374878154,""
HP_PROGRESSIVE_FLEXION_CONTRACTURES,5,Down,0.000234667971055648,0.196849374878154,""
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_DEPRESSION,3,Down,0.000255210264630685,0.203377059884193,LILRB2
HP_ABNORMAL_LEUKOCYTE_ENZYME_CONCENTRATION_OR_ACTIVITY,5,Up,0.000295585637019507,0.224335422991281,""
GOBP_RESPONSE_TO_INTERFERON_ALPHA,14,Up,0.000312443363404321,0.226351014815367,""
GOBP_SKELETAL_MUSCLE_ADAPTATION,10,Down,0.000352678577402993,0.244390920289083,""
GOMF_INHIBITORY_MHC_CLASS_I_RECEPTOR_ACTIVITY,5,Down,0.000431391734989353,0.276213842425634,LILRB2
GOBP_RESPONSE_TO_INTERFERON_BETA,24,Up,0.000433263023004195,0.276213842425634,""
GOBP_TYROSINE_CATABOLIC_PROCESS,3,Up,0.000518666355089929,0.296695972059363,FAH
GOMF_MIRNA_INHIBITOR_ACTIVITY_VIA_BASE_PAIRING,4,Down,0.000552606386486906,0.296695972059363,OIP5-AS1
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,44,Up,0.00055932629378988,0.296695972059363,""
GOBP_MONOCYTE_AGGREGATION,3,Down,0.000560537050286868,0.296695972059363,NR4A3
GOCC_ENDOCYTIC_VESICLE_LUMEN,10,Up,0.0005937632794748,0.296695972059363,""
HP_ABNORMAL_GLYCOSPHINGOLIPID_METABOLISM,7,Up,0.00061883689556124,0.296695972059363,HEXA
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,64,Up,0.000619216921833396,0.296695972059363,""
GOBP_REGULATION_OF_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY,4,Up,0.000622313041973036,0.296695972059363,""
GOMF_CARDIOLIPIN_BINDING,7,Up,0.000661446953365105,0.296695972059363,""
GOBP_NEGATIVE_REGULATION_OF_CIRCADIAN_RHYTHM,8,Up,0.000673492026320316,0.296695972059363,""
GOCC_SPECTRIN,5,Down,0.000685032687592741,0.296695972059363,""
GOBP_POSITIVE_REGULATION_OF_STEROID_HORMONE_SECRETION,5,Up,0.000688778451888345,0.296695972059363,""
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY,73,Up,0.000723882170492699,0.30361142192928,""
GOBP_NATURAL_KILLER_CELL_CHEMOTAXIS,6,Down,0.000751330680944894,0.307043804946146,""
HP_CHERRY_RED_SPOT_OF_THE_MACULA,13,Up,0.000805935078598047,0.309838944510872,HEXA
GOMF_ATP_DEPENDENT_PROTEIN_FOLDING_CHAPERONE,28,Up,0.000833473278813464,0.309838944510872,""
GOBP_TRANSITION_BETWEEN_FAST_AND_SLOW_FIBER,4,Down,0.000835871121111295,0.309838944510872,""
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS,3,Down,0.000835931397538429,0.309838944510872,""
GOBP_POSITIVE_REGULATION_OF_FIBROBLAST_APOPTOTIC_PROCESS,6,Down,0.000901642171786014,0.326599384861943,""
GOCC_VACUOLAR_LUMEN,120,Up,0.000976821728029135,0.345968548918408,"HEXA,FUCA2,FTL,CTSC"
GOBP_ISG15_PROTEIN_CONJUGATION,6,Up,0.00103031875995449,0.35698305209032,""
GOMF_PHOSPHATIDYLGLYCEROL_BINDING,10,Up,0.00107575078026288,0.364793956081486,""
GOBP_VAGINA_DEVELOPMENT,5,Up,0.0011234166935032,0.373021151271959,""
GOBP_INTERLEUKIN_27_MEDIATED_SIGNALING_PATHWAY,7,Up,0.00115752706397692,0.376503394809474,""
GOBP_REGULATION_OF_EOSINOPHIL_MIGRATION,3,Down,0.00119514613372808,0.378419736652047,""
