Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Down,2.833830857406e-10,4.82884778101982e-07,""
REACTOME_SELENOAMINO_ACID_METABOLISM,100,Down,2.64839990942388e-07,0.000223527224095781,""
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Down,3.93533845239052e-07,0.000223527224095781,""
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,4,Down,8.65720501695968e-07,0.000278022393302639,C3
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,98,Down,1.07370675941023e-06,0.000278022393302639,""
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Down,1.09640832760834e-06,0.000278022393302639,""
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Down,1.14211077060943e-06,0.000278022393302639,""
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,36,Down,1.46026749673623e-06,0.000311036976804817,""
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,18,Up,1.73823041256303e-06,0.000329104958111933,""
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,50,Down,3.37794056129046e-06,0.000575601071643894,""
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,37,Up,6.01827014616135e-05,0.00932284757187177,CAPZA2
REACTOME_ACTIVATION_OF_C3_AND_C5,5,Down,8.258431743254e-05,0.0117269730754207,C3
REACTOME_KERATAN_SULFATE_DEGRADATION,6,Up,8.98113395864064e-05,0.0117721940504028,""
REACTOME_CHOLESTEROL_BIOSYNTHESIS,26,Up,0.000101587994602898,0.0123647102002385,MVD
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,17,Up,0.000117270241551312,0.0133218994402291,""
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,40,Up,0.000132280786848604,0.0140879037993763,"AR,CAPZA2"
REACTOME_INFLUENZA_INFECTION,153,Down,0.000148054910974489,0.01484032754709,""
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,169,Up,0.000180841901260982,0.0171196999860397,"PPBP,CALU,BCAR1,PIK3CG"
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,9,Down,0.000193102266536813,0.0173182243251962,"C3,FCN1"
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,10,Up,0.000228372483630002,0.0188007755374106,""
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION,8,Up,0.000231699698524426,0.0188007755374106,GCHFR
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,82,Up,0.000477450036289676,0.0369806755380731,"PPBP,CALU"
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,59,Down,0.000510134086766605,0.0377942819065345,""
REACTOME_CS_DS_DEGRADATION,8,Up,0.000567211289948916,0.0401736957277321,CSPG4
REACTOME_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE,1,Down,0.000612978925423143,0.0401736957277321,FCN1
REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION,1,Down,0.000612978925423143,0.0401736957277321,FCN1
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,30,Up,0.000657079819211122,0.0414690374791019,CASP7
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,5,Down,0.000713090660704182,0.0427170211396319,""
REACTOME_METALLOTHIONEINS_BIND_METALS,5,Up,0.000726991556953829,0.0427170211396319,""
REACTOME_RHO_GTPASES_ACTIVATE_KTN1,9,Up,0.000781718312359821,0.0444016001420378,""
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,99,Up,0.0010978894699266,0.0603485050566104,"CAPZA2,RAB1A"
REACTOME_DISEASES_OF_GLYCOSYLATION,74,Up,0.00118345365923081,0.0630189073540407,CSPG4
REACTOME_HEMOSTASIS,361,Up,0.00134972312673854,0.069694794180681,"PPBP,SELL,CALU,CAPZA2,BCAR1,ATP1B3,PIK3CG,TNFRSF10D,CD99"
REACTOME_RRNA_PROCESSING,197,Down,0.00149226002678849,0.0747885613425759,""
REACTOME_GLYCOSPHINGOLIPID_CATABOLISM,25,Up,0.0016323913890244,0.0773375254960619,""
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,13,Up,0.00173647691796611,0.0773375254960619,""
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,15,Up,0.00182727054888863,0.0773375254960619,""
REACTOME_GAP_JUNCTION_ASSEMBLY,6,Up,0.00183769020980571,0.0773375254960619,""
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE,6,Up,0.00183769020980571,0.0773375254960619,""
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,50,Up,0.00184909616182226,0.0773375254960619,MVD
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,157,Down,0.00186082074256956,0.0773375254960619,PSMA2
REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,8,Up,0.00203716013824583,0.0813711046998195,""
REACTOME_OAS_ANTIVIRAL_RESPONSE,8,Up,0.00209876236526257,0.0813711046998195,""
REACTOME_GAP_JUNCTION_DEGRADATION,9,Up,0.00210113181149769,0.0813711046998195,""
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS,5,Up,0.00216966870662929,0.082158121691029,CSPG4
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,65,Up,0.0025420030615777,0.0941646351506174,MVD
REACTOME_SMOOTH_MUSCLE_CONTRACTION,23,Up,0.00266614448363992,0.096661919151541,"MYL6B,ANXA6"
REACTOME_GABA_RECEPTOR_ACTIVATION,19,Up,0.00273654606368083,0.0971473852606693,ADCY9
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,12,Up,0.00280427754028734,0.0975201822173392,""
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,19,Up,0.00291893532644422,0.099477315925219,CSPG4
