Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,67,Up,0.000197638745365823,0.336776422103363,LILRB2
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,4,Up,0.00116624124478097,0.768793059314317,""
REACTOME_EICOSANOIDS,1,Up,0.00187568190193636,0.768793059314317,""
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,41,Down,0.00237703011202948,0.768793059314317,""
REACTOME_CHOLESTEROL_BIOSYNTHESIS,26,Down,0.00290939035023695,0.768793059314317,""
REACTOME_SCAVENGING_BY_CLASS_B_RECEPTORS,2,Up,0.00341106536026258,0.768793059314317,""
REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION,2,Down,0.00381150491656941,0.768793059314317,""
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,90,Up,0.00382049147889894,0.768793059314317,""
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,7,Up,0.00498215029773703,0.768793059314317,MMP14
REACTOME_SNRNP_ASSEMBLY,54,Up,0.00545892065704263,0.768793059314317,""
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,18,Down,0.00631841908745621,0.768793059314317,""
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR1,3,Up,0.00669651579039156,0.768793059314317,""
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS,2,Down,0.00721852470919813,0.768793059314317,""
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING,10,Down,0.00802955927582146,0.768793059314317,""
REACTOME_GLUCONEOGENESIS,16,Up,0.00814804904513035,0.768793059314317,SLC37A1
REACTOME_RA_BIOSYNTHESIS_PATHWAY,11,Down,0.00862857356926126,0.768793059314317,DHRS9
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,47,Up,0.00891180071547613,0.768793059314317,MMP14
REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,15,Up,0.00912438186362287,0.768793059314317,SLC46A1
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2,5,Down,0.00926148706558135,0.768793059314317,""
REACTOME_MECP2_REGULATES_TRANSCRIPTION_FACTORS,4,Down,0.00956373575889219,0.768793059314317,""
REACTOME_VITAMIN_B1_THIAMIN_METABOLISM,4,Up,0.00978887577060855,0.768793059314317,""
REACTOME_CD22_MEDIATED_BCR_REGULATION,3,Down,0.00994104188196269,0.768793059314317,""
REACTOME_TIE2_SIGNALING,14,Down,0.0104288029319787,0.768793059314317,""
REACTOME_LYSINE_CATABOLISM,8,Up,0.0109827236456727,0.768793059314317,""
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,6,Down,0.0116114761625483,0.768793059314317,""
REACTOME_FORMATION_OF_THE_NEPHRIC_DUCT,6,Up,0.0119907964154143,0.768793059314317,""
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,10,Up,0.012828167131426,0.768793059314317,""
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,4,Up,0.012970080235154,0.768793059314317,""
REACTOME_NADE_MODULATES_DEATH_SIGNALLING,4,Up,0.0130868347887921,0.768793059314317,""
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,50,Up,0.0138854640040338,0.768793059314317,""
REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS,6,Down,0.013986258708183,0.768793059314317,""
