Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_CREATINE_PATHWAY,2,Down,8.13760701479754e-05,0.0668911296616358,GATM
WP_IMMUNE_RESPONSE_TO_TUBERCULOSIS,22,Up,0.000331050719431638,0.106164594166716,""
WP_INTERFERONMEDIATED_SIGNALING,15,Up,0.000387462022506263,0.106164594166716,PIK3R1
WP_MAPK_AND_NFKB_SIGNALING_INHIBITED_BY_YERSINIA_YOPJ,12,Down,0.000573286482283293,0.117810372109217,""
WP_MIRNA_ROLE_IN_IMMUNE_RESPONSE_IN_SEPSIS,33,Down,0.00127220248458268,0.170998831613083,LCN2
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,37,Down,0.00173746265332433,0.170998831613083,CCL20
WP_GPCRS_CLASS_B_SECRETINLIKE,4,Down,0.00174711359519784,0.170998831613083,""
WP_TRANSCRIPTIONAL_ACTIVATION_BY_NRF2_IN_RESPONSE_TO_PHYTOCHEMICALS,12,Up,0.00183438359672622,0.170998831613083,""
WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,23,Down,0.00187224998116514,0.170998831613083,""
WP_METABOLIC_PATHWAYS_OF_FIBROBLASTS,22,Up,0.00233014247140558,0.191537711149539,SLC16A1
WP_MRNA_PROTEIN_AND_METABOLITE_INDUCATION_PATHWAY_BY_CYCLOSPORIN_A,6,Up,0.00318113502975259,0.237717544950603,""
WP_TYROSINE_METABOLISM_AND_RELATED_DISORDERS,2,Up,0.00409432826824062,0.238996644368698,FAH
WP_MICRORNA_NETWORK_ASSOCIATED_WITH_CHRONIC_LYMPHOCYTIC_LEUKEMIA,4,Down,0.00415327911315056,0.238996644368698,""
WP_COVID19_ADVERSE_OUTCOME_PATHWAY,7,Down,0.00429724875917016,0.238996644368698,""
WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING,12,Up,0.0043612526344653,0.238996644368698,""
WP_POSTCOVID_NEUROINFLAMMATION,11,Down,0.00471631603893284,0.242300736500174,""
WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,14,Up,0.00605243101907826,0.281031089152283,HEXA
WP_NRP1TRIGGERED_SIGNALING_IN_PANCREATIC_CANCER,33,Down,0.00632033209099878,0.281031089152283,""
WP_UDPDERIVED_SUGARS_SYNTHESIS_IN_FIBROBLASTS,10,Up,0.00649585242566103,0.281031089152283,""
WP_VITAMIN_D_IN_INFLAMMATORY_DISEASES,20,Down,0.00704337310330355,0.289482634545776,""
WP_TYPE_II_INTERFERON_SIGNALING,30,Up,0.0098289019938509,0.38473130661645,IFI6
WP_COVID19_STRUCTURAL_COVERAGE_MAP,19,Up,0.0104002913968651,0.388592705828323,""
WP_NRF2ARE_REGULATION,20,Up,0.0114124464994383,0.39530299856688,""
WP_SIGNAL_TRANSDUCTION_THROUGH_IL1R,28,Down,0.011541693388814,0.39530299856688,""
WP_GPR143_IN_MELANOCYTES_AND_RETINAL_PIGMENT_EPITHELIUM_CELLS,19,Down,0.0121652846752991,0.399994560123834,""
WP_HORMONAL_CONTROL_OF_PUBERTAL_GROWTH_SPURT,1,Up,0.0132727030067034,0.402815075860708,""
WP_COMPLEMENT_AND_COAGULATION_CASCADES,23,Up,0.013721194798175,0.402815075860708,LMAN1
WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES,23,Up,0.013721194798175,0.402815075860708,LMAN1
WP_UREA_CYCLE_AND_METABOLISM_OF_AMINO_GROUPS,11,Down,0.0147539854267606,0.404443820668675,GATM
WP_NANOPARTICLE_TRIGGERED_REGULATED_NECROSIS,12,Up,0.01511345236356,0.404443820668675,FTL
WP_EBSTEINBARR_VIRUS_LMP1_SIGNALING,21,Down,0.0154055342602284,0.404443820668675,CCL20
WP_BENZENE_METABOLISM,3,Up,0.0157447716075397,0.404443820668675,""
WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING,78,Down,0.0164953870855945,0.410885096495716,PIK3R1
WP_WNTBETACATENIN_SIGNALING_IN_LEUKEMIA,11,Up,0.0176050332007264,0.420858082113523,""
WP_LDL_INFLUENCE_ON_CD14_AND_TLR4,17,Down,0.0179197480218653,0.420858082113523,""
WP_ROLES_OF_CERAMIDES_IN_DEVELOPMENT_OF_INSULIN_RESISTANCE,15,Up,0.0184544495161197,0.421376597284733,PIK3R1
WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING,19,Up,0.0192655922148608,0.422782873344575,""
WP_ANGIOPOIETINLIKE_PROTEIN_8_REGULATORY_PATHWAY,102,Down,0.0195447070402602,0.422782873344575,PIK3R1
WP_HFE_EFFECT_ON_HEPCIDIN_PRODUCTION,2,Up,0.0218785196217701,0.461131875105001,""
WP_EDA_SIGNALING_IN_HAIR_FOLLICLE_DEVELOPMENT,4,Down,0.0230846093790002,0.474388722738454,""
WP_MFAP5_EFFECT_ON_PERMEABILITY_AND_MOTILITY_OF_ENDOTHELIAL_CELLS_VIA_CYTOSKELETON_REARRANGEMENT,13,Down,0.0245540181434977,0.475740032866922,""
WP_EXTRACELLULAR_VESICLES_IN_THE_CROSSTALK_OF_CARDIAC_CELLS,11,Up,0.0260465565715122,0.475740032866922,""
WP_PROSURVIVAL_SIGNALING_OF_NEUROPROTECTIN_D1,15,Up,0.0268032859542533,0.475740032866922,""
