Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_HIF1A_AND_PPARG_REGULATION_OF_GLYCOLYSIS,7,Down,0.0012308940754634,0.500182336048489,GPD1
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,86,Up,0.00126071820171437,0.500182336048489,""
WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION,17,Up,0.00216146416340885,0.500182336048489,MMP14
WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,Down,0.00243926634135082,0.500182336048489,""
WP_METABOLIC_PATHWAYS_OF_FIBROBLASTS,21,Up,0.00348912628378191,0.500182336048489,""
WP_IDO_METABOLIC_PATHWAY,8,Down,0.00396409433622798,0.500182336048489,""
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,50,Up,0.00425946028265137,0.500182336048489,""
WP_OXIDATIVE_PHOSPHORYLATION,50,Up,0.00597165836245201,0.540256328808937,""
WP_MALE_INFERTILITY,68,Up,0.00674980555544524,0.540256328808937,"RGS9,SLC46A1"
WP_CLASSICAL_PATHWAY_OF_STEROIDOGENESIS_WITH_GLUCOCORTICOID_AND_MINERALOCORTICOID_METABOLISM,4,Down,0.00822659912118412,0.540256328808937,""
WP_IRON_METABOLISM_DISORDERS,10,Up,0.00865727596244607,0.540256328808937,""
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,Down,0.00867142976379639,0.540256328808937,""
WP_MEVALONATE_PATHWAY,7,Down,0.00910969866332967,0.540256328808937,""
WP_RETINOL_METABOLISM,6,Down,0.0102656738654302,0.540256328808937,DHRS9
WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,14,Up,0.0103100586987414,0.540256328808937,""
WP_BMP2WNT4FOXO1_PATHWAY_IN_PRIMARY_ENDOMETRIAL_STROMAL_CELL_DIFFERENTIATION,5,Up,0.0105159382736533,0.540256328808937,""
WP_NUCLEOTIDE_GPCRS,5,Down,0.0114844342142983,0.555306172009014,""
WP_GENES_CONTROLLING_NEPHROGENESIS,13,Up,0.0130760197008555,0.561630092394859,""
WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,28,Down,0.0135950357645438,0.561630092394859,""
WP_TP53_NETWORK,16,Up,0.0140864102167162,0.561630092394859,""
WP_IRON_METABOLISM_IN_PLACENTA,8,Up,0.0152053102351684,0.561630092394859,""
