,Set,NGenes,Direction,PValue,FDR
1,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,86,Up,1.77370279850351e-10,1.45798370036988e-07
2,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,Down,1.28456541176826e-08,5.27956384236753e-06
3,WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,Down,2.0102146303549e-07,5.50798808717243e-05
4,WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,12,Down,4.36496187559757e-06,0.000896999665435301
5,WP_MRNA_PROTEIN_AND_METABOLITE_INDUCATION_PATHWAY_BY_CYCLOSPORIN_A,5,Down,6.95286622559813e-06,0.00112810996229268
6,WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,28,Down,8.23437928680789e-06,0.00112810996229268
7,WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,41,Down,5.54724257542558e-05,0.00651404770999976
8,WP_MEVALONATE_PATHWAY,7,Down,7.31658034029985e-05,0.0075177862996581
9,WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER,36,Down,0.000121594677290351,0.0111056471925187
10,WP_METABOLIC_PATHWAYS_OF_FIBROBLASTS,21,Down,0.00023929792079632,0.0196702890894575
11,WP_COMPLEMENT_ACTIVATION,12,Up,0.00060982097925423,0.0455702586315434
12,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,74,Down,0.000833271150979298,0.0570790738420819
13,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,55,Down,0.00100170785586229,0.0633387582706771
14,WP_DEVELOPMENT_OF_PULMONARY_DENDRITIC_CELLS_AND_MACROPHAGE_SUBSETS,10,Down,0.00154279695893279,0.0878647956112658
15,WP_CREATINE_PATHWAY,2,Up,0.00160337218268733,0.0878647956112658
16,WP_COMPLEMENTMEDIATED_INFLAMMATION_OF_PULMONARY_ALVEOLUS_IN_COVID19_HYPOTHETICAL_PATHWAY,6,Up,0.00254213258318516,0.127886311932812
17,WP_MULTIPLE_EPIPHYSEAL_DYSPLASIA_AND_PSEUDOACHONDROPLASIA_GENES,1,Up,0.00266687214334761,0.127886311932812
18,WP_10Q22Q23_COPY_NUMBER_VARIATION,27,Down,0.00280043018830976,0.127886311932812
19,WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS,42,Down,0.00300726150105827,0.129789372425396
20,WP_GLYCOSAMINOGLYCAN_DEGRADATION,14,Down,0.00330288828682903,0.129789372425396
21,WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,15,Down,0.00331578688678018,0.129789372425396
22,WP_ENDOCHONDRAL_OSSIFICATION,26,Down,0.00364748062913749,0.130357785963088
23,WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,26,Down,0.00364748062913749,0.130357785963088
24,WP_PROSURVIVAL_SIGNALING_OF_NEUROPROTECTIN_D1,15,Down,0.00414456105537908,0.140097265962299
25,WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,29,Down,0.0044469946540735,0.140097265962299
26,WP_ACUTE_VIRAL_MYOCARDITIS,65,Down,0.00459226480992778,0.140097265962299
27,WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,14,Down,0.00460503742332728,0.140097265962299
28,WP_17P133_YWHAE_COPY_NUMBER_VARIATION,18,Down,0.00477216964348462,0.140097265962299
29,WP_NANOPARTICLE_TRIGGERED_REGULATED_NECROSIS,12,Down,0.00506796457176267,0.143650581999618
30,WP_11P112_COPY_NUMBER_VARIATION_SYNDROME,37,Down,0.00571198615604435,0.156508420675615
31,WP_VASOPRESSINREGULATED_WATER_REABSORPTION,34,Down,0.00657226825503561,0.174271113085138
32,WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3,9,Up,0.00692302308820563,0.174291489784317
33,WP_NOTCH1_REGULATION_OF_ENDOTHELIAL_CELL_CALCIFICATION,7,Down,0.00699710360447987,0.174291489784317
34,WP_WNTBETACATENIN_SIGNALING_IN_LEUKEMIA,11,Down,0.00751217124028779,0.178685298538263
35,WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,10,Down,0.00760825480394063,0.178685298538263
36,WP_DISORDERS_OF_FRUCTOSE_METABOLISM,10,Down,0.00836401275921152,0.19097829133533
37,WP_DOPAMINE_METABOLISM,7,Down,0.00885465608106879,0.196716954017258
