gene,logFC,logCPM,LR,PValue,FDR
DUSP2,-1.64395615753353,1.85961110241857,40.0239511150091,2.50867910374197e-10,2.8282848215587e-06
NREP,1.34342239942119,2.08448493563487,37.8871398024869,7.49577239326614e-10,4.22536689808412e-06
EMP1,1.99655779675031,2.47826141935626,33.9519333900898,5.64905234648138e-09,1.85458563528988e-05
PPBP,4.86884060356092,3.73757594298413,33.6551497298185,6.58004482983816e-09,1.85458563528988e-05
RPH3A,-2.32606429136078,0.485841462125149,32.7801749862963,1.03191917027547e-08,2.14242294594139e-05
CDCA7L,-1.27079767391919,4.49969200489033,32.5862367903468,1.140193159096e-08,2.14242294594139e-05
SELL,1.86216140552026,0.498845745473558,31.695739429443,1.80317344710079e-08,2.90413963465918e-05
LILRB2,-0.738300223501584,4.59237125939102,31.0862220251288,2.46817138477208e-08,3.47827052399005e-05
C3,-2.93001624111784,2.85630251714486,29.5514219581624,5.44526905574192e-08,6.82110703715937e-05
PADI2,-4.22309155829054,3.40331392014573,28.712217907868,8.39722750619601e-08,9.46703429048539e-05
VMO1,-1.38042113423934,7.38619647297931,28.1895511515455,1.0999678013566e-07,0.000112736699931767
HLA-DQA2,-5.83352560327786,7.40055222464921,27.796173731551,1.3479242958465e-07,0.000126637487594779
SVIP,-1.02587694521689,3.18530579408154,26.9031172601473,2.13913584017775e-07,0.000185512442016646
KLHDC7B,1.23430670386402,1.49399207108991,25.6093815211765,4.18002186480106e-07,0.000336611189312623
ECE1,1.52539929539602,0.935113947765972,25.3937318296968,4.67434475209481e-07,0.000351323751567446
RBM6,-0.494668929123248,5.49223495048903,25.072084809042,5.52265894936233e-07,0.000389140356219443
NUAK2,-1.94818282803765,0.134177713490639,24.7613587291395,6.48852919959813e-07,0.00043030398938982
CAVIN3,0.896721389474961,2.85305362585536,24.1395000810702,8.96033812278713e-07,0.000561215844423901
RALGDS,0.530667419075965,5.11071132439539,23.6733424424848,1.14152850791351e-06,0.000677346968327205
DLG2,1.79219585063684,0.393600118373509,23.4532912680648,1.27983581070626e-06,0.000693039145520447
PLEKHG2,-1.7887247493552,1.23253882854519,23.4367030699648,1.29091911086832e-06,0.000693039145520447
LINC00685,-1.18664261958913,3.7249294278386,23.2078694057804,1.4540111622729e-06,0.000745114629248394
EGFL7,0.935253865525354,2.6240938204427,22.7761122006654,1.82014096892397e-06,0.000892185621028209
MGST1,1.43820252252309,6.00549043623803,22.1761501966574,2.48744646345467e-06,0.00116847797620783
CCND3,0.418440419776746,7.4924598699421,21.9401302192109,2.81289810907387e-06,0.00122204794084167
WFDC2,-1.43931054712822,1.0868795201044,21.8866858634741,2.89233734067114e-06,0.00122204794084167
CSPG4,1.69438708735418,1.60938412802458,21.8640411838698,2.92667149217004e-06,0.00122204794084167
CCR1,1.04918820985015,5.87182463465617,21.6422219321568,3.28539542435702e-06,0.00132284100050718
AQP3,0.746650294787311,7.68761834858293,21.179676277372,4.18175509087333e-06,0.00157873618063441
HELLS,-1.08115099596056,1.48428898224397,21.1708760153648,4.20100101286433e-06,0.00157873618063441
RMI2,-1.77116079094205,0.98836709514268,20.948781205975,4.71727851599279e-06,0.00171556767707428
AR,-1.19444704700362,3.95762153138693,20.8033962434402,5.08926345295787e-06,0.00179301113027022
FCN1,-2.10471364434795,4.27813470919026,20.1008486079951,7.34640723873897e-06,0.00238543726058703
CDA,-2.36694529230828,1.64570092222767,20.0407075178411,7.58110194425013e-06,0.00238543726058703
YPEL2,-0.552077510198246,4.75791429813616,20.0374233387599,7.59413272536358e-06,0.00238543726058703
HMGB2,-0.665029328587477,5.70038425166947,20.0316362094225,7.61714931533912e-06,0.00238543726058703
ARHGAP24,-1.04457498270425,4.84037005783168,19.9355836458963,8.00956153405982e-06,0.00239425175790955
NBPF14,-1.23633531894414,2.16429613207335,19.9212029283095,8.07003430907957e-06,0.00239425175790955
CCDC88C,1.44777462585304,0.753355912634482,19.8607808386921,8.32916680663492e-06,0.00240776991225646
NAA38,-0.426000536580885,6.63315545099531,19.6574068347406,9.26435012983374e-06,0.00261115708409364
ADGRE3,-0.964329754455036,4.88311178546025,19.3632672309944,1.08065826214631e-05,0.00293809539434775
CAPN11,-1.3239995709464,1.31252488473462,19.3388695259879,1.09455389890549e-05,0.00293809539434775
TNNI2,0.643851428630042,6.98137439717291,19.0283367878907,1.28791586146831e-05,0.00337673567957995
GATM,-1.61446102679211,1.08903837076728,18.2166639286003,1.9714636860173e-05,0.00492403981308746
